SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
OFSS, EQ, 17-Sep-2021,4807.3,4849.25,4849.25,4721.7,4760.0,4790.8,4771.3,300913,25854,200529,66.64
OFSS, EQ, 20-Sep-2021,4790.8,4786.55,4815.0,4690.0,4709.0,4694.65,4740.3,90924,12906,33889,37.27
OFSS, EQ, 21-Sep-2021,4694.65,4694.65,4713.0,4606.6,4680.0,4668.9,4664.91,99480,14737,47300,47.55
OFSS, EQ, 22-Sep-2021,4668.9,4700.0,4733.0,4633.1,4681.4,4672.9,4690.64,114862,17296,54066,47.07
OFSS, EQ, 23-Sep-2021,4672.9,4715.0,4730.0,4663.05,4709.95,4698.05,4698.73,96759,18331,47696,49.29
OFSS, EQ, 24-Sep-2021,4698.05,4715.0,4849.0,4680.0,4700.0,4710.4,4766.72,254974,31184,78008,30.59
OFSS, EQ, 27-Sep-2021,4710.4,4714.95,4739.9,4549.1,4566.0,4584.85,4608.36,143564,24918,73378,51.11
OFSS, EQ, 28-Sep-2021,4584.85,4575.0,4617.6,4480.0,4580.0,4578.25,4555.89,73541,12209,29064,39.52
OFSS, EQ, 29-Sep-2021,4578.25,4550.0,4591.55,4427.9,4577.0,4533.65,4510.64,647138,45064,345812,53.44
OFSS, EQ, 30-Sep-2021,4533.65,4571.0,4648.45,4530.0,4539.0,4555.95,4579.68,148890,15486,59783,40.15
OFSS, EQ, 01-Oct-2021,4555.95,4550.0,4550.0,4485.05,4514.0,4512.25,4513.93,56021,9182,25739,45.95
OFSS, EQ, 04-Oct-2021,4512.25,4534.0,4633.9,4493.1,4610.0,4622.25,4593.24,116287,15350,55932,48.1
OFSS, EQ, 05-Oct-2021,4622.25,4622.25,4720.0,4571.2,4695.05,4703.05,4662.11,106387,16613,37091,34.86
OFSS, EQ, 06-Oct-2021,4703.05,4739.9,4760.0,4626.8,4633.1,4660.25,4699.96,142811,15247,70728,49.53
OFSS, EQ, 07-Oct-2021,4660.25,4670.1,4772.25,4629.45,4735.0,4742.7,4729.77,188073,20766,67409,35.84
OFSS, EQ, 08-Oct-2021,4742.7,4764.95,4855.9,4730.75,4790.0,4789.65,4809.7,235977,27103,103956,44.05
OFSS, EQ, 11-Oct-2021,4789.65,4780.0,4780.95,4665.65,4753.85,4745.05,4729.65,86184,13574,30820,35.76
OFSS, EQ, 12-Oct-2021,4745.05,4740.0,4769.45,4672.4,4765.0,4737.45,4715.12,78441,11425,29331,37.39
OFSS, EQ, 13-Oct-2021,4737.45,4780.0,4781.4,4700.0,4752.4,4743.8,4728.24,97935,14542,42753,43.65
OFSS, EQ, 14-Oct-2021,4743.8,4799.6,4897.7,4711.65,4764.0,4777.7,4789.97,437602,43020,191932,43.86
OFSS, EQ, 18-Oct-2021,4777.7,4777.1,4826.45,4713.6,4730.9,4729.45,4764.99,88730,14302,41640,46.93
OFSS, EQ, 19-Oct-2021,4729.45,4760.0,5145.0,4744.9,4920.0,4944.0,4980.29,1105420,110722,336342,30.43
OFSS, EQ, 20-Oct-2021,4944.0,4949.9,4977.0,4666.55,4693.0,4684.5,4786.38,315975,41999,128192,40.57
OFSS, EQ, 21-Oct-2021,4684.5,4735.0,4735.0,4505.5,4550.0,4544.4,4570.4,318021,33654,157601,49.56
OFSS, EQ, 22-Oct-2021,4544.4,4540.0,4680.4,4491.05,4545.0,4548.8,4573.75,147504,21183,59434,40.29
OFSS, EQ, 25-Oct-2021,4548.8,4593.3,4593.3,4339.45,4448.0,4450.75,4426.98,154946,18277,55248,35.66
OFSS, EQ, 26-Oct-2021,4450.75,4465.0,4625.0,4455.45,4539.0,4544.35,4542.82,102115,14835,27024,26.46
OFSS, EQ, 27-Oct-2021,4544.35,4570.0,4714.0,4505.45,4651.25,4663.5,4628.07,164552,19195,59181,35.96
