SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
OIL, EQ, 17-Sep-2021,211.5,212.0,215.0,197.5,198.4,199.8,203.62,2810995,32659,1798005,63.96
OIL, EQ, 20-Sep-2021,199.8,199.7,203.85,193.3,196.0,195.15,198.9,1052258,16162,439077,41.73
OIL, EQ, 21-Sep-2021,195.15,198.9,210.85,198.3,209.0,208.9,205.36,3430744,49210,860566,25.08
OIL, EQ, 22-Sep-2021,208.9,210.0,219.8,209.2,219.8,217.0,214.03,2820662,29159,767854,27.22
OIL, EQ, 23-Sep-2021,217.0,221.0,222.7,212.85,215.2,213.85,217.46,1711197,24895,474908,27.75
OIL, EQ, 24-Sep-2021,213.85,216.3,219.45,214.65,216.2,217.0,217.52,1672423,25897,622590,37.23
OIL, EQ, 27-Sep-2021,217.0,219.6,220.95,217.1,219.05,219.3,218.97,983630,16272,341770,34.75
OIL, EQ, 28-Sep-2021,219.3,220.55,234.9,218.3,232.5,233.25,228.37,5413923,65955,1570068,29.0
OIL, EQ, 29-Sep-2021,233.25,232.4,265.0,229.0,255.0,254.45,251.2,10418003,124282,1699638,16.31
OIL, EQ, 30-Sep-2021,254.45,256.95,266.7,254.45,258.5,260.2,261.76,7095683,99429,1907481,26.88
OIL, EQ, 01-Oct-2021,260.2,261.0,267.8,247.95,248.5,250.05,257.69,4935553,67080,1357640,27.51
OIL, EQ, 04-Oct-2021,250.05,249.95,250.0,240.05,240.55,241.6,243.81,1611701,22320,575823,35.73
OIL, EQ, 05-Oct-2021,241.6,244.4,251.95,242.05,242.3,242.95,247.25,4519649,54180,1355037,29.98
OIL, EQ, 06-Oct-2021,242.95,246.3,255.95,244.1,248.85,248.55,249.33,4800440,61753,1725728,35.95
OIL, EQ, 07-Oct-2021,248.55,250.9,251.85,241.4,242.0,242.45,246.46,1309185,20960,523518,39.99
OIL, EQ, 08-Oct-2021,242.45,246.85,248.95,239.1,239.95,239.75,243.21,1575282,22710,638942,40.56
OIL, EQ, 11-Oct-2021,239.75,241.6,243.6,238.05,239.6,239.4,240.71,975925,15115,441634,45.25
OIL, EQ, 12-Oct-2021,239.4,239.4,240.55,234.45,235.0,234.95,235.81,1000681,15526,483661,48.33
OIL, EQ, 13-Oct-2021,234.95,235.1,235.5,229.0,229.8,229.7,232.15,1075013,21722,631270,58.72
OIL, EQ, 14-Oct-2021,229.7,230.0,243.0,229.95,235.1,235.2,237.71,2072136,31929,720947,34.79
OIL, EQ, 18-Oct-2021,235.2,241.0,241.55,234.65,235.0,235.55,238.77,1521018,28383,939495,61.77
OIL, EQ, 19-Oct-2021,235.55,236.0,238.95,232.4,233.8,233.5,235.03,701969,14989,341934,48.71
OIL, EQ, 20-Oct-2021,233.5,232.9,233.55,225.1,229.0,228.35,228.34,741784,16315,333465,44.95
OIL, EQ, 21-Oct-2021,228.35,232.0,234.05,211.05,225.2,217.0,217.17,12381349,79325,7454695,60.21
OIL, EQ, 22-Oct-2021,217.0,221.0,222.0,207.7,208.9,209.45,213.78,1422076,23460,605500,42.58
OIL, EQ, 25-Oct-2021,209.45,210.55,228.45,210.55,226.9,225.2,220.81,3508937,52537,934487,26.63
OIL, EQ, 26-Oct-2021,225.2,225.95,227.1,216.2,220.0,220.5,219.62,2279317,31059,867654,38.07
OIL, EQ, 27-Oct-2021,220.5,218.8,224.65,217.15,220.45,222.15,220.59,1340242,20876,619291,46.21
OIL, EQ, 28-Oct-2021,222.15,217.05,223.75,215.0,217.6,218.25,219.27,1162716,17362,554930,47.73
OIL, EQ, 29-Oct-2021,218.25,218.0,227.0,217.0,224.65,225.05,223.56,2424541,35977,1346000,55.52
OIL, EQ, 01-Nov-2021,225.05,219.0,227.85,219.0,226.0,225.35,225.72,970108,19342,467637,48.2
OIL, EQ, 02-Nov-2021,225.35,225.9,227.9,220.0,220.5,220.95,221.45,1394460,15699,856030,61.39
OIL, EQ, 03-Nov-2021,220.95,220.95,221.5,216.1,218.35,217.2,217.86,1260488,10335,863255,68.49
OIL, EQ, 08-Nov-2021,220.25,221.0,223.9,218.05,222.75,222.25,221.37,530880,10266,230168,43.36
OIL, EQ, 09-Nov-2021,222.25,223.45,229.0,219.35,221.95,221.75,222.34,1101940,21225,660257,59.92
OIL, EQ, 10-Nov-2021,221.75,222.2,226.2,220.0,222.0,221.95,224.08,726050,13285,279667,38.52
OIL, EQ, 11-Nov-2021,221.95,219.4,224.95,216.1,217.25,216.65,220.06,1213208,19375,359243,29.61
OIL, EQ, 12-Nov-2021,216.65,223.1,223.9,220.95,221.85,221.9,222.33,2027151,19199,1283021,63.29
OIL, EQ, 15-Nov-2021,221.9,221.9,226.0,220.25,221.8,221.8,222.77,555941,9092,221090,39.77
OIL, EQ, 16-Nov-2021,221.8,223.0,224.0,220.2,224.0,222.95,221.97,444852,10764,201822,45.37
OIL, EQ, 17-Nov-2021,222.95,220.6,224.2,218.2,219.55,220.0,221.03,578796,18863,327004,56.5
OIL, EQ, 18-Nov-2021,220.0,219.3,219.75,212.25,213.0,213.0,214.36,920702,18310,386619,41.99
OIL, EQ, 22-Nov-2021,213.0,213.4,214.95,194.1,195.5,195.45,199.87,2008015,42096,871328,43.39
OIL, EQ, 23-Nov-2021,195.45,195.9,200.0,191.9,197.95,197.3,196.37,906746,17464,224365,24.74
OIL, EQ, 24-Nov-2021,197.3,200.0,205.1,199.1,203.25,202.95,202.73,992252,15401,262222,26.43
OIL, EQ, 25-Nov-2021,202.95,204.7,208.6,202.2,203.9,203.45,205.47,692419,10979,237856,34.35
OIL, EQ, 26-Nov-2021,203.45,202.75,205.9,197.0,200.05,198.55,201.31,1388100,26633,858524,61.85
OIL, EQ, 29-Nov-2021,198.55,192.2,204.95,190.0,203.15,203.25,200.74,1411926,31974,609285,43.15
OIL, EQ, 30-Nov-2021,203.25,203.25,214.1,203.15,212.0,211.65,209.65,1891970,30718,965757,51.05
OIL, EQ, 01-Dec-2021,211.65,213.0,220.55,212.05,215.0,214.35,215.38,1404024,34171,567948,40.45
OIL, EQ, 02-Dec-2021,214.35,214.0,219.9,211.75,216.85,218.75,217.95,1046171,32478,521545,49.85
