SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PFC, EQ, 17-Sep-2021,136.35,136.9,139.5,135.15,137.75,138.3,137.97,12305024,47978,6905821,56.12
PFC, EQ, 20-Sep-2021,138.3,136.5,138.2,132.5,132.75,133.45,135.78,4894867,21799,1665634,34.03
PFC, EQ, 21-Sep-2021,133.45,133.45,134.5,130.85,133.4,133.4,132.47,3808229,24976,857105,22.51
PFC, EQ, 22-Sep-2021,133.4,133.4,136.45,133.4,134.5,135.0,135.27,2867668,18949,843884,29.43
PFC, EQ, 23-Sep-2021,135.0,135.4,139.55,135.4,138.2,138.25,138.27,5909114,29771,1980225,33.51
PFC, EQ, 24-Sep-2021,138.25,138.7,139.9,134.5,135.0,135.15,136.73,3610642,19416,1111382,30.78
PFC, EQ, 27-Sep-2021,135.15,136.3,136.9,134.55,135.7,135.75,135.6,2675749,16248,1145202,42.8
PFC, EQ, 28-Sep-2021,135.75,136.45,144.65,136.2,143.6,143.1,142.36,24428879,122690,6396860,26.19
PFC, EQ, 29-Sep-2021,143.1,143.45,148.15,140.35,144.2,144.25,145.67,14522007,79376,3563933,24.54
PFC, EQ, 30-Sep-2021,144.25,145.45,146.4,141.0,142.3,142.1,143.13,7490532,40598,3098112,41.36
PFC, EQ, 01-Oct-2021,142.1,141.9,142.1,138.2,139.85,139.9,139.77,6161694,42783,2211899,35.9
PFC, EQ, 04-Oct-2021,139.9,141.4,142.35,140.15,142.2,141.85,141.37,4516157,29831,1460696,32.34
PFC, EQ, 05-Oct-2021,141.85,142.25,144.85,141.55,142.6,142.45,143.28,5720158,32413,2524517,44.13
PFC, EQ, 06-Oct-2021,142.45,143.2,143.8,139.1,139.65,139.75,141.38,3950299,22405,1499569,37.96
PFC, EQ, 07-Oct-2021,139.75,140.65,142.8,140.2,140.8,141.05,141.71,3563922,18708,1544232,43.33
PFC, EQ, 08-Oct-2021,141.05,141.5,141.65,138.75,139.7,139.8,139.86,2749949,18156,1025069,37.28
PFC, EQ, 11-Oct-2021,139.8,140.65,144.0,140.2,142.35,142.05,142.31,5918474,31689,2657580,44.9
