SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PGHH, EQ, 17-Sep-2021,14073.6,14174.0,14186.7,13881.0,13939.85,13923.2,14002.9,4730,2021,2629,55.58
PGHH, EQ, 20-Sep-2021,13923.2,13921.0,13927.15,13745.05,13900.0,13862.75,13814.91,3823,1815,1623,42.45
PGHH, EQ, 21-Sep-2021,13862.75,13862.75,14150.0,13751.0,14080.0,14066.8,13974.99,4136,1960,1669,40.35
PGHH, EQ, 22-Sep-2021,14066.8,14079.0,14160.0,13950.35,14120.0,14072.55,14065.61,2859,1265,1593,55.72
PGHH, EQ, 23-Sep-2021,14072.55,14140.0,14500.0,13991.4,14325.7,14269.75,14186.61,4607,2187,3074,66.72
PGHH, EQ, 24-Sep-2021,14269.75,14449.8,14449.8,13725.05,14099.0,14065.45,14143.2,5615,2845,1921,34.21
PGHH, EQ, 27-Sep-2021,14065.45,14140.0,14190.6,13499.95,13700.0,13659.9,13789.1,6018,1792,2983,49.57
PGHH, EQ, 28-Sep-2021,13659.9,13723.3,13899.0,13625.05,13780.65,13780.15,13797.69,3900,1908,1300,33.33
PGHH, EQ, 29-Sep-2021,13780.15,13838.5,13974.45,13630.2,13738.0,13697.35,13736.76,10065,4360,4577,45.47
PGHH, EQ, 30-Sep-2021,13697.35,13794.0,14288.0,13694.0,14049.0,14073.8,13935.76,6277,2490,3218,51.27
PGHH, EQ, 01-Oct-2021,14073.8,14099.0,14100.0,13911.0,14100.0,14048.3,14007.18,2244,1339,917,40.86
PGHH, EQ, 04-Oct-2021,14048.3,14199.0,14202.35,13850.0,14000.0,13972.35,14035.24,2475,1391,1010,40.81
PGHH, EQ, 05-Oct-2021,13972.35,13972.0,14048.8,13786.2,13863.4,13844.85,13863.83,2825,1484,1556,55.08
PGHH, EQ, 06-Oct-2021,13844.85,13967.35,13967.4,13775.0,13950.0,13856.0,13847.35,8184,1089,7114,86.93
PGHH, EQ, 07-Oct-2021,13856.0,13970.0,14054.15,13730.2,13750.0,13776.2,13862.11,2580,1471,1356,52.56
PGHH, EQ, 08-Oct-2021,13776.2,13853.0,13888.0,13645.0,13800.0,13742.65,13727.33,5148,2459,2227,43.26
PGHH, EQ, 11-Oct-2021,13742.65,13777.0,13903.45,13665.0,13720.0,13686.75,13762.84,1734,1022,824,47.52
PGHH, EQ, 12-Oct-2021,13686.75,13809.0,13810.0,13650.0,13775.0,13778.55,13721.6,2529,1005,1265,50.02
PGHH, EQ, 13-Oct-2021,13778.55,13850.0,13860.0,13621.15,13725.0,13715.15,13713.4,3960,1677,2204,55.66
PGHH, EQ, 14-Oct-2021,13715.15,13715.15,13900.0,13561.95,13800.0,13789.3,13716.37,6981,2904,3080,44.12
PGHH, EQ, 18-Oct-2021,13789.3,13900.0,14098.0,13828.55,14025.0,14058.2,13955.93,6859,2330,4383,63.9
PGHH, EQ, 19-Oct-2021,14058.2,14130.15,14311.9,13953.45,14025.0,14045.35,14074.22,4311,2232,2146,49.78
PGHH, EQ, 20-Oct-2021,14045.35,14100.0,14400.0,13901.4,14300.6,14318.0,14179.84,10312,4752,4080,39.57
PGHH, EQ, 21-Oct-2021,14318.0,14337.0,14824.0,13929.95,14450.0,14706.15,14432.48,15283,6381,5879,38.47
PGHH, EQ, 22-Oct-2021,14706.15,14685.0,14695.85,14300.05,14500.3,14517.95,14501.3,5662,2920,2822,49.84
PGHH, EQ, 25-Oct-2021,14517.95,14520.0,14592.95,14118.0,14527.95,14501.55,14455.27,5109,1981,3194,62.52
PGHH, EQ, 26-Oct-2021,14501.55,14501.55,14560.0,14350.0,14399.95,14420.7,14486.01,4864,2597,3220,66.2
PGHH, EQ, 27-Oct-2021,14420.7,14205.0,14483.0,13980.05,14000.0,14054.75,14262.42,7135,2532,4334,60.74
PGHH, EQ, 28-Oct-2021,14054.75,13966.0,14199.0,13965.0,14000.6,14000.35,14024.37,5136,1820,3486,67.87
PGHH, EQ, 29-Oct-2021,14000.35,14090.0,14455.0,13562.3,14455.0,14227.85,14000.7,4743,2311,2120,44.7
PGHH, EQ, 01-Nov-2021,14227.85,14494.95,14654.7,14131.05,14567.0,14434.05,14366.21,5315,2987,1951,36.71
PGHH, EQ, 02-Nov-2021,14434.05,14560.0,14711.1,14201.0,14262.0,14337.3,14435.53,6691,3322,1221,18.25
PGHH, EQ, 03-Nov-2021,14337.3,14350.0,14650.95,14080.1,14510.0,14459.25,14342.09,5789,2860,2450,42.32
PGHH, EQ, 08-Nov-2021,14411.5,14546.95,14546.95,14246.6,14350.0,14370.6,14398.8,1682,1064,648,38.53
PGHH, EQ, 09-Nov-2021,14370.6,14478.35,14478.35,14245.6,14400.0,14401.95,14395.89,11531,1423,9837,85.31
PGHH, EQ, 10-Nov-2021,14401.95,14235.0,14539.0,14235.0,14459.0,14453.9,14443.8,19430,1457,17803,91.63
PGHH, EQ, 11-Nov-2021,14453.9,14545.0,14799.0,14500.0,14775.0,14644.95,14674.58,20864,4635,12143,58.2
PGHH, EQ, 12-Nov-2021,14644.95,14754.85,14940.0,14700.05,14940.0,14867.3,14870.62,16118,2540,12528,77.73
PGHH, EQ, 15-Nov-2021,14867.3,14975.0,15248.8,14750.65,15100.0,15133.0,15102.19,21601,3158,14532,67.27
PGHH, EQ, 16-Nov-2021,15133.0,15150.0,15243.7,15098.0,15101.0,15100.0,15158.52,8023,1433,6626,82.59
PGHH, EQ, 17-Nov-2021,15100.0,15099.0,15173.2,14957.5,15101.0,15042.0,15067.05,19555,2212,17662,90.32
PGHH, EQ, 18-Nov-2021,15042.0,15042.0,15530.55,15000.0,15100.0,15106.4,15214.36,23757,7816,7486,31.51
PGHH, EQ, 22-Nov-2021,15106.4,15150.0,15225.65,14840.55,15149.0,15085.6,15024.69,28035,2493,4707,16.79
PGHH, EQ, 23-Nov-2021,15085.6,15111.3,15530.0,14959.75,15502.6,15264.75,15126.64,5233,1529,3841,73.4
PGHH, EQ, 24-Nov-2021,15264.75,15301.0,15339.8,15073.25,15100.0,15106.2,15124.87,8824,1523,6636,75.2
PGHH, EQ, 25-Nov-2021,15106.2,15100.0,15349.8,14964.45,15100.0,15209.7,15105.17,23326,1332,20587,88.26
PGHH, EQ, 26-Nov-2021,15209.7,15209.7,15323.9,15001.0,15140.0,15118.05,15140.64,6970,2849,4178,59.94
PGHH, EQ, 29-Nov-2021,15118.05,15011.0,15324.0,14758.0,15167.0,15067.2,15101.05,4867,2043,2738,56.26
PGHH, EQ, 30-Nov-2021,15067.2,15160.0,15188.95,14716.3,15084.0,15040.1,14951.94,11467,3639,7451,64.98
PGHH, EQ, 01-Dec-2021,15040.1,15150.65,15220.9,15052.7,15133.0,15124.95,15131.89,5558,2372,3610,64.95
PGHH, EQ, 02-Dec-2021,15124.95,15200.0,15395.0,15100.0,15151.6,15272.4,15204.79,6690,2648,4563,68.21
PGHH, EQ, 03-Dec-2021,15272.4,15152.0,15332.2,15054.0,15130.0,15123.3,15148.27,2547,1600,1439,56.5
