SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PGHL, EQ, 17-Sep-2021,5486.65,5524.0,5539.0,5365.8,5399.0,5399.65,5449.72,16640,2774,13250,79.63
PGHL, EQ, 20-Sep-2021,5399.65,5399.0,5426.65,5355.6,5374.9,5376.05,5385.73,7431,2756,4341,58.42
PGHL, EQ, 21-Sep-2021,5376.05,5366.65,5411.0,5309.0,5330.0,5324.7,5338.27,9614,2837,7145,74.32
PGHL, EQ, 22-Sep-2021,5324.7,5340.0,5399.0,5339.6,5379.0,5371.5,5373.88,5321,2090,3351,62.98
PGHL, EQ, 23-Sep-2021,5371.5,5400.0,5444.45,5340.0,5369.55,5361.3,5388.29,16910,3653,10239,60.55
PGHL, EQ, 24-Sep-2021,5361.3,5400.0,5418.95,5371.2,5376.0,5386.7,5389.55,14917,2071,12552,84.15
PGHL, EQ, 27-Sep-2021,5386.7,5398.0,5440.0,5356.0,5358.0,5367.3,5397.94,10371,2813,6700,64.6
PGHL, EQ, 28-Sep-2021,5367.3,5394.0,5400.0,5361.0,5399.95,5392.9,5383.66,6062,1607,4218,69.58
PGHL, EQ, 29-Sep-2021,5392.9,5396.6,5480.0,5380.0,5470.0,5453.05,5444.26,16204,4056,10347,63.85
PGHL, EQ, 30-Sep-2021,5453.05,5489.9,5493.7,5374.0,5435.0,5403.6,5440.63,12201,2351,7693,63.05
PGHL, EQ, 01-Oct-2021,5403.6,5427.85,5535.0,5403.0,5522.0,5518.6,5475.44,12658,3079,7715,60.95
PGHL, EQ, 04-Oct-2021,5518.6,5540.0,5785.0,5535.0,5783.0,5772.0,5684.14,55706,10194,26564,47.69
PGHL, EQ, 05-Oct-2021,5772.0,5800.0,5851.75,5720.0,5760.0,5746.55,5792.39,17275,5299,8653,50.09
PGHL, EQ, 06-Oct-2021,5746.55,5757.0,5806.0,5720.0,5736.25,5730.65,5765.87,9561,2734,5287,55.3
PGHL, EQ, 07-Oct-2021,5730.65,5749.5,5791.35,5734.0,5758.95,5752.85,5761.78,8595,2888,4616,53.71
PGHL, EQ, 08-Oct-2021,5752.85,5753.0,5795.0,5731.0,5740.1,5747.65,5767.65,9043,3221,5145,56.89
PGHL, EQ, 11-Oct-2021,5747.65,5780.0,5800.0,5685.05,5697.0,5697.8,5735.28,9596,3935,5688,59.27
PGHL, EQ, 12-Oct-2021,5697.8,5724.95,5738.0,5590.0,5636.0,5632.9,5639.22,17188,5291,10273,59.77
PGHL, EQ, 13-Oct-2021,5632.9,5673.9,5699.0,5580.0,5590.0,5598.35,5639.26,11789,3709,7554,64.08
PGHL, EQ, 14-Oct-2021,5598.35,5632.05,5674.75,5623.75,5636.0,5636.9,5638.57,5156,1622,3098,60.09
PGHL, EQ, 18-Oct-2021,5636.9,5636.9,5675.0,5556.0,5570.0,5564.6,5582.93,13419,5487,9031,67.3
PGHL, EQ, 19-Oct-2021,5564.6,5611.8,5611.8,5530.0,5535.0,5544.0,5553.45,10825,3106,7453,68.85
PGHL, EQ, 20-Oct-2021,5544.0,5530.0,5564.65,5449.0,5490.0,5486.25,5481.28,10884,3222,6231,57.25
PGHL, EQ, 21-Oct-2021,5486.25,5474.0,5546.65,5455.7,5493.95,5496.55,5492.1,8937,2150,5783,64.71
PGHL, EQ, 22-Oct-2021,5496.55,5524.05,5527.45,5405.0,5454.0,5421.5,5444.21,10486,2337,6691,63.81
PGHL, EQ, 25-Oct-2021,5421.5,5459.5,5460.05,5346.0,5385.0,5387.15,5389.8,8589,2135,6168,71.81
PGHL, EQ, 26-Oct-2021,5387.15,5390.0,5609.95,5386.0,5604.95,5599.5,5516.18,51830,5577,44158,85.2
