SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PNCINFRA, EQ, 17-Sep-2021,370.35,368.0,388.0,362.65,363.1,372.65,373.11,3512964,29847,2962019,84.32
PNCINFRA, EQ, 20-Sep-2021,372.65,364.35,368.7,352.8,355.7,355.7,360.95,718438,10593,512686,71.36
PNCINFRA, EQ, 21-Sep-2021,355.7,353.4,357.9,347.0,356.0,355.2,352.89,289048,11320,160980,55.69
PNCINFRA, EQ, 22-Sep-2021,355.2,351.0,364.05,351.0,356.9,359.55,357.3,860377,9065,710563,82.59
PNCINFRA, EQ, 23-Sep-2021,359.55,359.35,362.05,352.25,353.6,354.85,358.6,253398,9337,119441,47.14
PNCINFRA, EQ, 24-Sep-2021,354.85,357.65,370.5,355.4,368.0,368.05,365.6,424186,13511,173912,41.0
PNCINFRA, EQ, 27-Sep-2021,368.05,370.45,377.65,356.6,360.6,362.05,364.8,383067,14816,90126,23.53
PNCINFRA, EQ, 28-Sep-2021,362.05,362.8,364.8,353.0,355.0,355.5,358.71,136894,5661,43759,31.97
PNCINFRA, EQ, 29-Sep-2021,355.5,351.0,357.65,349.85,354.5,355.25,355.19,75492,3626,26127,34.61
PNCINFRA, EQ, 30-Sep-2021,355.25,354.0,394.95,354.0,393.9,382.85,374.66,998651,26510,243403,24.37
PNCINFRA, EQ, 01-Oct-2021,382.85,390.0,392.9,366.15,368.0,371.45,377.57,734834,25496,222312,30.25
PNCINFRA, EQ, 04-Oct-2021,371.45,369.3,369.3,357.0,359.5,359.1,361.36,484099,17440,214030,44.21
PNCINFRA, EQ, 05-Oct-2021,359.1,357.0,379.9,356.45,372.0,370.4,370.89,577035,18993,128750,22.31
PNCINFRA, EQ, 06-Oct-2021,370.4,372.95,376.25,358.55,363.5,363.45,368.78,289958,13354,105311,36.32
PNCINFRA, EQ, 07-Oct-2021,363.45,366.0,370.2,361.6,364.0,363.85,365.74,222079,6950,103647,46.67
PNCINFRA, EQ, 08-Oct-2021,363.85,362.25,366.85,355.8,359.5,357.4,359.22,620005,11564,505569,81.54
PNCINFRA, EQ, 11-Oct-2021,357.4,359.5,373.0,359.35,369.2,368.7,366.77,274798,8678,133934,48.74
PNCINFRA, EQ, 12-Oct-2021,368.7,365.0,368.0,360.15,364.3,365.2,363.5,158542,5338,56206,35.45
PNCINFRA, EQ, 13-Oct-2021,365.2,365.0,395.9,364.3,389.95,391.35,380.7,1033704,24400,529560,51.23
PNCINFRA, EQ, 14-Oct-2021,391.35,392.0,392.65,374.2,377.9,377.5,381.36,714661,19273,368988,51.63
PNCINFRA, EQ, 18-Oct-2021,377.5,379.85,380.6,368.0,370.0,371.65,373.39,282812,20455,173809,61.46
PNCINFRA, EQ, 19-Oct-2021,371.65,374.9,374.9,354.0,356.35,356.55,362.13,206059,8782,118825,57.67
PNCINFRA, EQ, 20-Oct-2021,356.55,356.9,360.25,345.7,360.0,358.1,353.41,396724,12354,242807,61.2
PNCINFRA, EQ, 21-Oct-2021,358.1,363.5,368.75,355.0,359.0,358.4,363.07,274072,9905,125197,45.68
PNCINFRA, EQ, 22-Oct-2021,358.4,359.0,359.9,338.15,342.0,342.15,346.9,243566,9832,112273,46.1
PNCINFRA, EQ, 25-Oct-2021,342.15,345.6,345.6,327.1,331.65,330.75,334.83,355769,13042,117103,32.92
PNCINFRA, EQ, 26-Oct-2021,330.75,330.85,344.55,330.85,337.0,335.95,338.46,190386,8913,67227,35.31
PNCINFRA, EQ, 27-Oct-2021,335.95,339.0,348.9,336.3,340.0,339.05,342.01,138854,5819,40035,28.83
PNCINFRA, EQ, 28-Oct-2021,339.05,332.9,338.75,329.0,331.0,331.15,332.7,95932,7751,44000,45.87
PNCINFRA, EQ, 29-Oct-2021,331.15,331.9,338.65,323.0,324.7,324.4,329.09,182789,11565,66887,36.59
PNCINFRA, EQ, 01-Nov-2021,324.4,325.15,332.15,323.75,325.0,326.3,327.47,264337,10523,167119,63.22
PNCINFRA, EQ, 02-Nov-2021,326.3,327.0,330.05,324.35,325.0,325.05,326.1,178739,7507,116992,65.45
PNCINFRA, EQ, 03-Nov-2021,325.05,326.7,338.0,324.4,333.0,333.75,331.94,323093,21207,149367,46.23
PNCINFRA, EQ, 08-Nov-2021,341.65,342.9,345.45,331.95,339.9,337.1,337.02,269146,9170,202559,75.26
PNCINFRA, EQ, 09-Nov-2021,337.1,338.5,344.9,334.3,339.0,338.05,338.96,428431,16116,307283,71.72
PNCINFRA, EQ, 10-Nov-2021,338.05,339.3,341.0,335.1,339.5,336.95,337.45,120493,7847,57041,47.34
PNCINFRA, EQ, 11-Nov-2021,336.95,336.3,342.5,335.0,338.4,337.45,337.58,219581,7516,123590,56.28
PNCINFRA, EQ, 12-Nov-2021,337.45,339.95,344.0,338.0,340.9,338.5,339.87,147154,5598,70982,48.24
PNCINFRA, EQ, 15-Nov-2021,338.5,340.0,342.85,326.3,327.0,328.8,335.0,268543,7911,162591,60.55
PNCINFRA, EQ, 16-Nov-2021,328.8,332.0,336.25,322.05,326.0,324.65,328.24,348014,12018,206807,59.42
PNCINFRA, EQ, 17-Nov-2021,324.65,329.9,329.9,315.05,317.4,318.35,321.2,343390,12160,210304,61.24
PNCINFRA, EQ, 18-Nov-2021,318.35,315.05,317.3,301.3,304.8,303.5,306.61,1078696,28964,693929,64.33
PNCINFRA, EQ, 22-Nov-2021,303.5,305.5,311.0,298.65,304.0,307.85,306.01,1056082,31874,568981,53.88
PNCINFRA, EQ, 23-Nov-2021,307.85,307.8,312.75,303.0,304.1,304.45,307.58,394506,13029,170029,43.1
