SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
POLYPLEX, EQ, 17-Sep-2021,1773.05,1777.95,1807.15,1701.1,1740.0,1743.4,1753.74,238813,21024,72180,30.22
POLYPLEX, EQ, 20-Sep-2021,1743.4,1728.0,1737.75,1677.05,1707.35,1694.3,1714.99,126045,12630,64119,50.87
POLYPLEX, EQ, 21-Sep-2021,1694.3,1693.65,1735.05,1660.0,1715.0,1722.55,1694.54,200573,18918,64705,32.26
POLYPLEX, EQ, 22-Sep-2021,1722.55,1730.0,1748.0,1713.05,1726.0,1726.75,1734.07,78791,8309,28783,36.53
POLYPLEX, EQ, 23-Sep-2021,1726.75,1728.5,1794.0,1728.5,1752.0,1747.6,1766.31,312760,21205,106161,33.94
POLYPLEX, EQ, 24-Sep-2021,1747.6,1747.0,1747.0,1701.0,1705.1,1705.0,1721.61,123585,9407,72502,58.67
POLYPLEX, EQ, 27-Sep-2021,1705.0,1713.8,1716.6,1676.0,1680.0,1680.1,1687.73,83752,9769,43959,52.49
POLYPLEX, EQ, 28-Sep-2021,1680.1,1687.5,1748.9,1670.45,1710.0,1712.95,1715.01,197597,19395,45726,23.14
POLYPLEX, EQ, 29-Sep-2021,1712.95,1710.0,1764.8,1697.0,1751.0,1743.7,1743.68,172984,13608,62406,36.08
POLYPLEX, EQ, 30-Sep-2021,1743.7,1754.15,1764.55,1720.0,1721.1,1727.3,1736.69,66193,8333,28340,42.81
POLYPLEX, EQ, 01-Oct-2021,1727.3,1718.7,1770.0,1711.65,1769.0,1768.1,1757.94,130899,15223,65489,50.03
POLYPLEX, EQ, 04-Oct-2021,1768.1,1770.0,1787.0,1743.0,1750.0,1748.1,1763.97,73429,8085,39803,54.21
POLYPLEX, EQ, 05-Oct-2021,1748.1,1750.1,1805.0,1750.1,1792.0,1790.15,1789.79,124415,10499,61164,49.16
POLYPLEX, EQ, 06-Oct-2021,1790.15,1815.1,1853.0,1791.45,1800.0,1801.2,1827.07,192493,17466,73062,37.96
POLYPLEX, EQ, 07-Oct-2021,1801.2,1817.45,1849.0,1805.0,1835.0,1839.0,1830.91,114726,8668,57148,49.81
POLYPLEX, EQ, 08-Oct-2021,1839.0,1854.85,1868.0,1812.5,1825.75,1835.5,1837.14,144881,14957,63846,44.07
POLYPLEX, EQ, 11-Oct-2021,1835.5,1836.0,1868.0,1821.35,1847.2,1851.15,1845.14,95589,7527,41724,43.65
POLYPLEX, EQ, 12-Oct-2021,1851.15,1855.0,1895.0,1825.1,1836.0,1837.0,1859.43,145365,11629,57263,39.39
POLYPLEX, EQ, 13-Oct-2021,1837.0,1854.7,1854.75,1830.05,1847.0,1841.9,1840.7,52124,5197,26817,51.45
POLYPLEX, EQ, 14-Oct-2021,1841.9,1849.45,1870.0,1830.1,1830.1,1834.95,1850.6,85861,8134,37491,43.66
POLYPLEX, EQ, 18-Oct-2021,1834.95,1845.0,1944.6,1835.05,1929.95,1932.45,1920.94,276063,22365,138807,50.28
POLYPLEX, EQ, 19-Oct-2021,1932.45,1949.9,1963.65,1790.0,1816.0,1811.95,1884.52,170267,18564,80022,47.0
POLYPLEX, EQ, 20-Oct-2021,1811.95,1825.1,1845.0,1750.05,1816.0,1811.15,1802.56,132208,14111,49209,37.22
POLYPLEX, EQ, 21-Oct-2021,1811.15,1815.0,1832.15,1671.2,1714.3,1688.7,1719.63,384477,21976,226348,58.87
POLYPLEX, EQ, 22-Oct-2021,1688.7,1700.0,1733.0,1665.0,1699.0,1698.05,1700.26,141936,13549,61901,43.61
POLYPLEX, EQ, 25-Oct-2021,1698.05,1700.0,1729.55,1638.1,1698.0,1701.15,1687.36,133018,18045,50165,37.71
POLYPLEX, EQ, 26-Oct-2021,1701.15,1708.95,1745.0,1675.9,1700.0,1697.6,1702.76,176322,15016,84155,47.73
POLYPLEX, EQ, 27-Oct-2021,1697.6,1709.0,1723.8,1695.0,1709.5,1710.4,1709.09,60487,7741,27887,46.1
POLYPLEX, EQ, 28-Oct-2021,1710.4,1719.0,1723.95,1677.65,1690.0,1694.95,1702.17,66823,9392,27142,40.62
POLYPLEX, EQ, 29-Oct-2021,1694.95,1694.95,1709.9,1660.1,1687.0,1686.2,1690.18,91645,12001,45234,49.36
POLYPLEX, EQ, 01-Nov-2021,1686.2,1700.0,1719.8,1671.1,1675.0,1675.7,1688.94,63877,8555,37892,59.32
POLYPLEX, EQ, 02-Nov-2021,1675.7,1682.0,1728.45,1675.1,1679.9,1680.05,1700.36,87273,10485,40477,46.38
POLYPLEX, EQ, 03-Nov-2021,1680.05,1686.0,1696.9,1665.0,1665.0,1678.7,1679.33,54324,6719,30591,56.31
POLYPLEX, EQ, 08-Nov-2021,1714.15,1738.95,1758.95,1724.75,1730.6,1729.65,1738.16,129789,15195,70071,53.99
POLYPLEX, EQ, 09-Nov-2021,1729.65,1736.7,1750.0,1730.0,1731.0,1734.5,1739.59,53429,5915,34703,64.95
POLYPLEX, EQ, 10-Nov-2021,1734.5,1737.9,1745.0,1713.2,1719.0,1723.55,1726.85,39007,4287,20126,51.6
POLYPLEX, EQ, 11-Nov-2021,1723.55,1730.0,1745.1,1707.0,1717.1,1721.05,1726.78,64779,7020,35370,54.6
POLYPLEX, EQ, 12-Nov-2021,1721.05,1734.6,1737.95,1699.6,1715.0,1711.4,1713.46,79986,6339,42402,53.01
POLYPLEX, EQ, 15-Nov-2021,1711.4,1725.0,1737.95,1685.0,1707.0,1703.0,1710.39,107317,9887,54456,50.74
POLYPLEX, EQ, 16-Nov-2021,1703.0,1715.0,1715.0,1683.0,1688.85,1694.4,1697.44,70993,9019,45827,64.55
POLYPLEX, EQ, 17-Nov-2021,1694.4,1697.0,1705.75,1675.0,1684.0,1688.95,1691.04,61057,9303,37257,61.02
POLYPLEX, EQ, 18-Nov-2021,1688.95,1689.8,1728.45,1651.1,1680.0,1693.05,1689.28,184162,19218,75253,40.86
POLYPLEX, EQ, 22-Nov-2021,1693.05,1699.0,1720.0,1662.25,1686.0,1687.3,1693.37,119943,14756,55787,46.51
POLYPLEX, EQ, 23-Nov-2021,1687.3,1680.0,1748.2,1676.05,1737.0,1735.65,1721.62,135926,13333,72439,53.29
POLYPLEX, EQ, 24-Nov-2021,1735.65,1736.0,1798.8,1721.0,1744.6,1745.95,1757.02,196128,19193,74434,37.95
POLYPLEX, EQ, 25-Nov-2021,1745.95,1780.0,1800.0,1760.8,1790.5,1791.15,1781.16,163463,15582,75716,46.32
POLYPLEX, EQ, 26-Nov-2021,1791.15,1780.0,1838.8,1765.3,1800.0,1788.05,1798.39,197989,16646,91774,46.35
