SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RALLIS, EQ, 17-Sep-2021,292.9,295.3,297.4,285.55,291.0,291.65,292.68,371265,7958,164969,44.43
RALLIS, EQ, 20-Sep-2021,291.65,290.0,293.35,285.3,287.0,286.85,289.36,258003,5486,116093,45.0
RALLIS, EQ, 21-Sep-2021,286.85,285.0,289.0,281.35,288.95,287.15,285.25,358363,7029,165502,46.18
RALLIS, EQ, 22-Sep-2021,287.15,288.0,293.85,288.0,291.1,290.95,291.03,195064,4754,91589,46.95
RALLIS, EQ, 23-Sep-2021,290.95,291.95,293.3,286.1,287.9,287.2,289.25,360639,6551,224397,62.22
RALLIS, EQ, 24-Sep-2021,287.2,288.0,296.8,285.75,287.0,286.8,290.11,708933,12154,348913,49.22
RALLIS, EQ, 27-Sep-2021,286.8,287.2,292.0,283.85,285.9,285.65,287.36,301289,6265,148115,49.16
RALLIS, EQ, 28-Sep-2021,285.65,286.1,289.25,281.0,283.35,283.65,284.73,309915,7137,166497,53.72
RALLIS, EQ, 29-Sep-2021,283.65,283.65,288.8,283.1,285.2,285.35,286.33,309133,5994,130703,42.28
RALLIS, EQ, 30-Sep-2021,285.35,286.95,293.75,284.6,286.0,285.9,287.31,1122212,8222,818450,72.93
RALLIS, EQ, 01-Oct-2021,285.9,285.0,286.75,284.0,285.0,284.8,285.3,163540,3416,85141,52.06
RALLIS, EQ, 04-Oct-2021,284.8,285.9,286.75,283.0,284.95,285.3,284.91,279713,4818,147183,52.62
RALLIS, EQ, 05-Oct-2021,285.3,284.95,293.0,284.6,290.25,290.15,289.05,710207,15385,333847,47.01
RALLIS, EQ, 06-Oct-2021,290.15,296.0,298.75,288.2,288.2,291.95,294.65,897502,17650,326264,36.35
