SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RCF, EQ, 17-Sep-2021,75.6,75.85,76.15,72.8,74.05,74.05,73.95,1652546,10390,575789,34.84
RCF, EQ, 20-Sep-2021,74.05,72.2,75.6,72.2,73.1,73.15,74.1,1503711,10752,459653,30.57
RCF, EQ, 21-Sep-2021,73.15,73.0,74.35,72.5,73.7,73.65,73.4,1171538,8039,349014,29.79
RCF, EQ, 22-Sep-2021,73.65,74.2,75.3,73.75,74.0,74.1,74.27,958295,6008,290333,30.3
RCF, EQ, 23-Sep-2021,74.1,74.75,75.2,73.8,74.3,74.15,74.44,908362,6888,330089,36.34
RCF, EQ, 24-Sep-2021,74.15,74.45,87.0,74.1,82.4,82.5,83.06,42494244,170637,7561897,17.8
RCF, EQ, 27-Sep-2021,82.5,82.55,88.9,80.15,85.3,85.6,85.97,33040900,144451,5258136,15.91
RCF, EQ, 28-Sep-2021,85.6,86.25,87.8,83.25,84.2,84.3,85.18,6927100,36263,1732269,25.01
RCF, EQ, 29-Sep-2021,84.3,83.8,85.95,83.05,83.6,83.6,84.08,4329673,20082,872386,20.15
RCF, EQ, 30-Sep-2021,83.6,84.05,84.4,82.3,82.65,82.7,83.28,2598805,14319,824829,31.74
RCF, EQ, 01-Oct-2021,82.7,82.1,82.45,79.9,80.6,80.7,81.12,4306521,20174,1339194,31.1
RCF, EQ, 04-Oct-2021,80.7,81.4,84.7,81.1,82.8,82.6,82.94,4500253,22459,975617,21.68
RCF, EQ, 05-Oct-2021,82.6,82.8,84.75,82.45,83.3,83.6,83.54,4170170,18251,1113278,26.7
RCF, EQ, 06-Oct-2021,83.6,83.85,84.5,81.9,82.25,82.35,83.32,2873704,14734,938059,32.64
RCF, EQ, 07-Oct-2021,82.35,83.2,83.9,82.4,82.7,82.65,83.08,2380702,11365,698505,29.34
RCF, EQ, 08-Oct-2021,82.65,83.4,86.55,80.5,83.6,84.3,83.54,7917447,35650,1578735,19.94
RCF, EQ, 11-Oct-2021,84.3,83.85,84.0,82.05,82.4,82.3,83.0,2253541,12591,1096758,48.67
RCF, EQ, 12-Oct-2021,82.3,82.5,86.2,81.3,82.65,82.9,83.08,5693096,25929,1053899,18.51
RCF, EQ, 13-Oct-2021,82.9,83.9,84.5,82.6,83.05,83.05,83.46,2750921,12013,1107392,40.26
RCF, EQ, 14-Oct-2021,83.05,83.4,84.8,82.7,83.0,82.9,83.29,2199196,11437,654078,29.74
RCF, EQ, 18-Oct-2021,82.9,83.8,84.25,83.05,83.5,83.45,83.69,2023947,10439,998063,49.31
RCF, EQ, 19-Oct-2021,83.45,83.95,85.7,82.45,82.6,82.8,84.14,4957157,22939,1500232,30.26
RCF, EQ, 20-Oct-2021,82.8,81.95,82.45,80.05,80.65,80.5,81.13,2315140,13338,763014,32.96
RCF, EQ, 21-Oct-2021,80.5,80.5,83.1,80.05,82.8,82.55,81.63,2644988,12422,1072750,40.56
RCF, EQ, 22-Oct-2021,82.55,82.95,82.95,80.0,80.1,80.25,81.1,1740024,10762,792714,45.56
RCF, EQ, 25-Oct-2021,80.25,80.85,80.85,77.1,77.9,78.0,78.46,2087742,13719,592221,28.37
RCF, EQ, 26-Oct-2021,78.0,78.2,80.2,78.15,78.55,78.55,79.01,2008365,12797,574114,28.59
RCF, EQ, 27-Oct-2021,78.55,78.75,79.65,77.8,78.0,78.1,78.71,1472353,8976,476856,32.39
RCF, EQ, 28-Oct-2021,78.1,78.15,78.2,76.5,76.6,76.8,77.3,1228902,8778,469246,38.18
RCF, EQ, 29-Oct-2021,76.8,76.6,77.4,75.5,76.9,76.65,76.53,1391783,10324,369378,26.54
RCF, EQ, 01-Nov-2021,76.65,76.9,77.9,76.65,77.4,77.5,77.35,890640,6777,311304,34.95
RCF, EQ, 02-Nov-2021,77.5,77.9,81.2,77.5,79.5,79.55,79.41,3148989,19669,825446,26.21
RCF, EQ, 03-Nov-2021,79.55,80.0,80.2,77.5,78.15,78.1,78.7,1170647,8463,466311,39.83
RCF, EQ, 08-Nov-2021,78.65,79.05,81.0,78.55,79.95,79.95,79.94,1963417,11643,662396,33.74
RCF, EQ, 09-Nov-2021,79.95,79.6,81.0,79.6,80.3,80.4,80.48,1040572,8130,446128,42.87
RCF, EQ, 10-Nov-2021,80.4,80.0,82.35,79.45,80.85,81.05,81.2,1764140,10726,695028,39.4
RCF, EQ, 11-Nov-2021,81.05,80.2,80.3,79.0,79.45,79.35,79.59,1501931,9676,608959,40.55
RCF, EQ, 12-Nov-2021,79.35,79.95,80.6,79.1,79.75,80.0,79.81,1101821,10334,448004,40.66
RCF, EQ, 15-Nov-2021,80.0,80.1,80.1,78.7,79.0,78.85,79.16,746829,5680,287505,38.5
RCF, EQ, 16-Nov-2021,78.85,78.8,80.1,78.55,78.85,79.0,79.27,1116165,9978,345054,30.91
RCF, EQ, 17-Nov-2021,79.0,78.4,79.25,77.8,78.0,77.95,78.53,993069,8003,430968,43.4
RCF, EQ, 18-Nov-2021,77.95,77.9,78.25,74.85,75.9,75.9,76.27,1444692,11976,492105,34.06
RCF, EQ, 22-Nov-2021,75.9,76.1,76.45,71.55,73.3,73.5,73.92,1842683,15755,730661,39.65
RCF, EQ, 23-Nov-2021,73.5,73.1,75.25,72.55,75.1,75.0,74.38,1010164,7695,243230,24.08
RCF, EQ, 24-Nov-2021,75.0,74.5,76.35,74.25,74.6,74.75,75.42,1022829,7683,323742,31.65
RCF, EQ, 25-Nov-2021,74.75,74.6,76.75,74.4,75.65,75.8,75.54,1389948,11270,341382,24.56
RCF, EQ, 26-Nov-2021,75.8,74.8,75.3,72.5,72.65,72.8,73.61,1241006,9665,373486,30.1
RCF, EQ, 29-Nov-2021,72.8,71.75,72.3,66.0,69.3,69.45,70.4,1640822,14420,438161,26.7
RCF, EQ, 30-Nov-2021,69.45,70.6,71.9,69.35,69.85,69.85,70.69,1320782,9304,326861,24.75
RCF, EQ, 01-Dec-2021,69.85,74.0,74.4,72.55,73.15,73.3,73.17,3615677,21458,572149,15.82
RCF, EQ, 02-Dec-2021,73.3,73.3,73.65,72.45,73.25,73.2,73.12,849493,5885,325621,38.33
RCF, EQ, 03-Dec-2021,73.2,73.0,74.8,73.0,73.45,73.5,73.82,1454825,10413,363075,24.96
RCF, EQ, 06-Dec-2021,73.5,73.4,73.8,71.85,72.0,72.0,72.98,790192,6177,250767,31.73
RCF, EQ, 07-Dec-2021,72.0,72.5,73.9,72.25,73.55,73.45,73.29,1067308,9077,333454,31.24
