SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RELIGARE, EQ, 17-Sep-2021,171.05,171.1,177.75,166.15,174.0,174.4,172.22,3916859,28450,1931000,49.3
RELIGARE, EQ, 20-Sep-2021,174.4,171.9,180.05,168.15,168.15,169.9,173.73,3205065,16536,1998072,62.34
RELIGARE, EQ, 21-Sep-2021,169.9,168.0,173.45,160.9,170.7,170.4,167.25,1868243,14216,840054,44.96
RELIGARE, EQ, 22-Sep-2021,170.4,171.0,177.0,169.65,174.5,174.7,174.06,2338635,14424,1347533,57.62
RELIGARE, EQ, 23-Sep-2021,174.7,175.6,184.0,174.0,179.4,179.5,179.47,6040756,28315,3788966,62.72
RELIGARE, EQ, 24-Sep-2021,179.5,180.4,194.8,176.2,187.0,187.8,186.06,5815949,40068,2941685,50.58
RELIGARE, EQ, 27-Sep-2021,187.8,187.8,189.05,180.45,182.5,181.9,185.09,1474696,12646,666088,45.17
RELIGARE, EQ, 28-Sep-2021,181.9,183.0,184.4,175.0,180.4,180.75,180.29,2088693,18819,779928,37.34
RELIGARE, EQ, 29-Sep-2021,180.75,179.6,186.0,179.05,183.25,183.85,182.79,1575211,10007,709795,45.06
RELIGARE, EQ, 30-Sep-2021,183.85,185.35,185.95,176.5,177.0,177.55,181.79,2862310,16184,1553023,54.26
RELIGARE, EQ, 01-Oct-2021,177.55,175.0,178.6,172.45,178.0,177.6,175.49,1612649,14141,674973,41.85
RELIGARE, EQ, 04-Oct-2021,177.6,178.0,183.8,176.65,182.0,182.15,180.6,948004,10494,483666,51.02
RELIGARE, EQ, 05-Oct-2021,182.15,182.5,185.4,176.0,179.0,178.95,180.2,1459000,14492,746082,51.14
RELIGARE, EQ, 06-Oct-2021,178.95,179.9,182.4,174.5,179.9,180.55,178.51,1732019,15300,891456,51.47
RELIGARE, EQ, 07-Oct-2021,180.55,182.3,185.2,178.8,182.0,181.75,181.75,1274149,15142,630839,49.51
RELIGARE, EQ, 08-Oct-2021,181.75,182.1,182.7,178.0,178.4,179.35,179.35,1122289,8319,630125,56.15
RELIGARE, EQ, 11-Oct-2021,179.35,180.7,182.85,176.05,177.2,177.05,179.39,1229931,9990,654016,53.18
RELIGARE, EQ, 12-Oct-2021,177.05,178.0,179.7,174.35,175.5,175.45,176.38,901519,10174,491466,54.52
RELIGARE, EQ, 13-Oct-2021,175.45,176.3,177.8,172.05,172.1,173.3,174.91,799862,13803,373325,46.67
RELIGARE, EQ, 14-Oct-2021,173.3,174.3,175.7,170.55,173.0,172.2,172.89,810472,12054,449558,55.47
RELIGARE, EQ, 18-Oct-2021,172.2,173.1,176.45,166.75,168.8,168.6,172.41,2030862,13736,1337222,65.85
