SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RITES, EQ, 17-Sep-2021,282.35,283.55,284.8,275.65,280.2,280.2,279.79,264667,9882,138561,52.35
RITES, EQ, 20-Sep-2021,280.2,277.5,278.9,273.1,277.0,276.9,276.15,226376,11535,132350,58.46
RITES, EQ, 21-Sep-2021,276.9,277.0,277.0,270.25,275.85,275.3,274.37,168058,13268,105773,62.94
RITES, EQ, 22-Sep-2021,275.3,275.35,279.9,273.5,275.75,275.9,275.62,173032,7992,111302,64.32
RITES, EQ, 23-Sep-2021,275.9,275.95,278.9,273.5,274.6,274.75,275.44,157113,9692,97850,62.28
RITES, EQ, 24-Sep-2021,274.75,275.0,278.35,273.6,276.35,276.2,275.83,185321,10659,125602,67.78
RITES, EQ, 27-Sep-2021,276.2,277.25,278.5,272.1,277.0,276.65,275.41,179290,9934,91311,50.93
RITES, EQ, 28-Sep-2021,276.65,276.65,277.95,271.7,272.9,272.65,275.26,212196,12596,125387,59.09
RITES, EQ, 29-Sep-2021,272.65,270.0,274.8,270.0,273.9,273.45,273.22,184189,8900,109650,59.53
RITES, EQ, 30-Sep-2021,273.45,274.0,274.7,271.5,272.5,273.45,272.99,145694,10435,78411,53.82
RITES, EQ, 01-Oct-2021,273.45,271.5,279.3,270.1,275.6,275.25,274.52,181247,8541,93627,51.66
RITES, EQ, 04-Oct-2021,275.25,275.0,279.5,274.65,277.2,277.0,276.66,117405,4520,72351,61.63
RITES, EQ, 05-Oct-2021,277.0,275.0,294.75,275.0,293.7,291.5,288.25,1194071,23998,455292,38.13
RITES, EQ, 06-Oct-2021,291.5,294.9,299.0,284.9,287.0,288.0,294.19,1462420,31879,420260,28.74
RITES, EQ, 07-Oct-2021,288.0,289.3,292.55,281.2,283.8,283.3,286.92,460312,15785,221714,48.17
RITES, EQ, 08-Oct-2021,283.3,284.8,288.05,280.55,281.0,281.9,284.52,168856,4901,69129,40.94
RITES, EQ, 11-Oct-2021,281.9,282.1,286.75,281.3,281.8,281.9,283.33,382749,7223,225528,58.92
RITES, EQ, 12-Oct-2021,281.9,281.0,289.8,281.0,286.25,285.95,286.76,422717,9385,176357,41.72
RITES, EQ, 13-Oct-2021,285.95,289.0,291.6,286.25,290.0,289.8,289.75,716949,12371,534810,74.6
RITES, EQ, 14-Oct-2021,289.8,289.9,291.8,283.4,283.55,284.1,286.02,272022,7360,160876,59.14
RITES, EQ, 18-Oct-2021,284.1,287.4,291.9,281.45,287.0,286.8,288.68,302023,7779,146343,48.45
RITES, EQ, 19-Oct-2021,286.8,290.0,302.2,281.1,285.65,287.35,292.94,1014410,27659,285029,28.1
RITES, EQ, 20-Oct-2021,287.35,282.0,286.65,280.0,285.8,284.1,283.79,192278,8929,90902,47.28
RITES, EQ, 21-Oct-2021,284.1,284.1,290.0,281.65,284.2,285.25,285.97,274042,25105,134474,49.07
RITES, EQ, 22-Oct-2021,285.25,286.4,317.0,284.9,313.7,309.0,306.81,2692723,44515,749101,27.82
RITES, EQ, 25-Oct-2021,309.0,316.5,317.9,278.15,283.8,284.9,300.59,1893149,46846,636537,33.62
RITES, EQ, 26-Oct-2021,284.9,284.5,291.4,281.1,283.45,283.05,285.49,455258,12813,117265,25.76
RITES, EQ, 27-Oct-2021,283.05,280.2,286.9,280.2,282.9,282.1,283.5,184165,5546,86246,46.83
RITES, EQ, 28-Oct-2021,282.1,281.3,291.6,278.25,283.5,284.15,286.82,659832,18914,262659,39.81
RITES, EQ, 29-Oct-2021,284.15,278.0,284.75,275.0,282.6,283.25,281.24,285007,10788,80135,28.12
RITES, EQ, 01-Nov-2021,283.25,283.9,285.5,279.3,280.95,281.8,282.04,144831,4717,73501,50.75
RITES, EQ, 02-Nov-2021,281.8,282.0,286.2,281.35,281.6,282.0,283.19,94197,2890,38843,41.24
RITES, EQ, 03-Nov-2021,282.0,282.0,286.0,280.5,281.0,281.2,283.3,149378,4732,71537,47.89
RITES, EQ, 08-Nov-2021,283.2,284.95,296.0,281.4,288.9,289.05,287.35,440130,7091,282599,64.21
RITES, EQ, 09-Nov-2021,289.05,286.35,290.6,285.0,285.5,285.5,287.71,184260,4756,58974,32.01
RITES, EQ, 10-Nov-2021,285.5,285.7,289.2,284.5,285.8,285.85,285.81,132807,2449,85205,64.16
RITES, EQ, 11-Nov-2021,285.85,286.0,292.45,285.25,285.5,286.3,287.71,135985,3840,58772,43.22
RITES, EQ, 12-Nov-2021,286.3,292.0,298.0,289.3,293.5,294.05,294.29,761332,17685,321763,42.26
RITES, EQ, 15-Nov-2021,294.05,297.0,297.0,287.85,291.15,291.5,291.3,158067,4995,70640,44.69
RITES, EQ, 16-Nov-2021,291.5,292.5,294.45,286.1,286.3,286.75,289.58,143286,4264,74551,52.03
RITES, EQ, 17-Nov-2021,286.75,288.0,292.75,285.55,288.85,287.85,288.8,154589,4020,59244,38.32
RITES, EQ, 18-Nov-2021,287.85,289.9,291.95,280.3,284.9,285.05,283.52,211761,7838,112049,52.91
RITES, EQ, 22-Nov-2021,285.05,287.0,288.95,278.0,279.0,281.2,282.33,168745,8550,92271,54.68
RITES, EQ, 23-Nov-2021,281.2,279.9,290.35,276.25,284.95,283.8,283.81,233915,8277,60942,26.05
RITES, EQ, 24-Nov-2021,283.8,282.0,289.0,281.05,281.1,281.95,284.57,114047,3423,41884,36.73
RITES, EQ, 25-Nov-2021,281.95,283.0,284.75,281.0,281.8,281.6,282.12,113063,4056,72709,64.31
RITES, EQ, 26-Nov-2021,281.6,280.0,284.0,269.0,272.7,274.4,278.66,225988,15949,115853,51.27
RITES, EQ, 29-Nov-2021,274.4,273.0,276.45,262.0,275.0,273.65,268.72,226150,19761,98087,43.37
RITES, EQ, 30-Nov-2021,273.65,276.8,285.95,274.45,275.95,277.65,278.49,179445,8008,83684,46.63
RITES, EQ, 01-Dec-2021,277.65,278.8,279.65,274.8,276.2,276.35,277.36,104568,2917,60045,57.42
RITES, EQ, 02-Dec-2021,276.35,276.2,276.5,273.0,274.9,274.5,274.68,167731,6123,86856,51.78
RITES, EQ, 03-Dec-2021,274.5,274.6,277.85,272.05,272.55,272.7,274.8,153527,4714,48790,31.78
RITES, EQ, 06-Dec-2021,272.7,274.9,274.9,254.0,264.1,264.45,266.55,224000,6746,131333,58.63
RITES, EQ, 07-Dec-2021,264.45,265.2,270.9,265.2,270.3,270.15,268.76,102422,3254,49401,48.23
RITES, EQ, 08-Dec-2021,270.15,271.2,273.85,269.6,271.0,270.2,271.87,159362,6284,103210,64.76
RITES, EQ, 09-Dec-2021,270.2,271.5,272.65,266.7,268.3,268.05,269.32,99024,3495,55358,55.9
RITES, EQ, 10-Dec-2021,268.05,269.4,271.5,267.95,268.8,268.95,269.82,79063,3315,41351,52.3
RITES, EQ, 13-Dec-2021,268.95,271.8,277.0,270.0,274.0,272.2,273.68,221892,5907,69879,31.49
RITES, EQ, 14-Dec-2021,272.2,272.95,273.0,253.4,267.85,267.65,268.36,77806,2484,40318,51.82
RITES, EQ, 15-Dec-2021,267.65,268.4,273.8,265.1,266.0,266.5,268.37,208936,13282,95882,45.89
RITES, EQ, 16-Dec-2021,266.5,267.8,269.9,265.05,267.0,267.2,266.76,124181,4794,54743,44.08
RITES, EQ, 17-Dec-2021,267.2,268.55,269.15,260.65,267.0,266.45,266.33,253048,8054,108593,42.91
RITES, EQ, 20-Dec-2021,266.45,268.0,268.0,258.45,261.05,261.2,260.94,177682,9185,90393,50.87
RITES, EQ, 21-Dec-2021,261.2,264.0,264.8,259.5,262.85,262.65,261.7,147414,7828,92524,62.76
RITES, EQ, 22-Dec-2021,262.65,264.0,264.75,262.0,263.0,262.55,263.35,45229,1777,19720,43.6
RITES, EQ, 23-Dec-2021,262.55,263.0,267.9,262.0,262.85,262.7,264.71,76495,2035,32660,42.7
RITES, EQ, 24-Dec-2021,262.7,263.65,263.65,258.25,258.45,259.3,259.9,89090,4125,54529,61.21
RITES, EQ, 27-Dec-2021,259.3,259.95,261.75,256.0,257.4,257.3,259.22,174109,3724,110756,63.61
RITES, EQ, 28-Dec-2021,257.3,258.0,263.05,258.0,259.7,259.3,259.81,103972,3185,36043,34.67
RITES, EQ, 29-Dec-2021,259.3,259.5,262.6,258.65,259.1,259.3,260.34,157740,2210,130531,82.75
RITES, EQ, 30-Dec-2021,259.3,260.0,261.95,254.5,255.5,255.35,257.68,182286,5240,106230,58.28
RITES, EQ, 31-Dec-2021,255.35,256.65,266.0,256.65,265.05,264.25,262.29,181643,4245,92043,50.67
RITES, EQ, 03-Jan-2022,264.25,267.7,272.2,264.1,270.5,271.55,269.39,172702,5982,92687,53.67
RITES, EQ, 04-Jan-2022,271.55,272.5,272.5,265.0,267.4,266.4,266.99,115367,3640,60717,52.63
RITES, EQ, 05-Jan-2022,266.4,266.5,272.5,266.5,269.6,269.95,271.0,160122,5140,75178,46.95
RITES, EQ, 06-Jan-2022,269.95,270.0,275.9,268.0,272.2,271.65,272.96,152910,5005,59475,38.9
RITES, EQ, 07-Jan-2022,271.65,272.8,274.95,269.05,272.3,273.05,272.35,70199,3045,29996,42.73
RITES, EQ, 10-Jan-2022,273.05,275.0,275.0,270.05,272.25,271.9,271.67,163252,6592,90414,55.38
RITES, EQ, 11-Jan-2022,271.9,270.5,278.45,270.5,272.35,272.1,274.28,195225,5512,56860,29.13
RITES, EQ, 12-Jan-2022,272.1,278.4,278.85,274.9,278.1,277.95,277.16,260233,11898,100549,38.64
RITES, EQ, 13-Jan-2022,277.95,280.45,280.45,274.9,275.35,275.55,277.44,92824,3346,36784,39.63
RITES, EQ, 14-Jan-2022,275.55,276.9,277.75,274.0,274.2,275.55,276.07,88976,6474,51143,57.48
RITES, EQ, 17-Jan-2022,275.55,274.8,277.4,273.45,274.25,274.8,275.26,83843,2322,40730,48.58
RITES, EQ, 18-Jan-2022,274.8,276.1,276.1,266.8,268.0,267.75,270.68,245062,4723,148238,60.49
RITES, EQ, 19-Jan-2022,267.75,269.8,275.0,268.0,273.7,273.35,271.09,204807,4933,74729,36.49
RITES, EQ, 20-Jan-2022,273.35,276.0,280.5,273.8,275.9,276.7,277.04,278086,7969,117727,42.33
RITES, EQ, 21-Jan-2022,276.7,277.8,277.8,269.5,270.9,270.7,273.07,107976,3876,45576,42.21
RITES, EQ, 24-Jan-2022,270.7,270.0,270.0,261.05,263.0,262.7,264.34,173371,10412,88777,51.21
RITES, EQ, 25-Jan-2022,262.7,263.0,272.0,257.5,270.05,268.55,265.05,116781,4830,66362,56.83
RITES, EQ, 27-Jan-2022,268.55,268.55,272.0,265.0,267.35,267.1,266.99,98936,3580,54086,54.67
RITES, EQ, 28-Jan-2022,267.1,268.0,273.85,267.1,267.1,267.95,270.58,100109,3056,48445,48.39
RITES, EQ, 31-Jan-2022,267.95,271.0,275.5,269.3,274.45,274.45,273.1,128569,5489,66094,51.41
RITES, EQ, 01-Feb-2022,274.45,275.95,278.4,271.0,272.45,273.05,274.52,207589,9434,110776,53.36
RITES, EQ, 02-Feb-2022,273.05,274.4,275.5,269.5,269.75,270.2,271.58,164906,6500,102341,62.06
RITES, EQ, 03-Feb-2022,270.2,271.3,271.75,263.5,264.8,264.65,266.22,222407,8455,139557,62.75
RITES, EQ, 04-Feb-2022,264.65,266.0,266.9,262.7,264.1,263.3,264.19,116732,3020,65470,56.09
RITES, EQ, 07-Feb-2022,263.3,264.8,267.9,264.05,265.95,264.95,265.98,79655,3069,32588,40.91
RITES, EQ, 08-Feb-2022,264.95,267.0,267.85,258.0,263.65,263.2,263.51,57740,2781,29908,51.8
RITES, EQ, 09-Feb-2022,263.2,267.0,268.6,264.0,265.1,265.65,266.28,171244,4624,59274,34.61
RITES, EQ, 10-Feb-2022,265.65,264.6,267.7,259.7,261.7,261.1,262.46,137821,5045,81749,59.32
RITES, EQ, 11-Feb-2022,261.1,261.1,262.0,255.6,259.6,259.55,258.23,129450,5420,60766,46.94
RITES, EQ, 14-Feb-2022,259.55,258.9,258.9,252.35,256.0,256.1,255.01,127412,4647,62234,48.84
RITES, EQ, 15-Feb-2022,256.1,257.4,258.85,252.5,257.25,257.0,255.5,86309,4305,46653,54.05
RITES, EQ, 16-Feb-2022,257.0,258.3,260.95,256.1,257.0,256.9,258.33,51815,2236,21955,42.37
RITES, EQ, 17-Feb-2022,256.9,256.9,259.2,254.0,254.8,254.65,255.43,111586,3298,54412,48.76
RITES, EQ, 18-Feb-2022,254.65,254.0,256.75,250.0,250.5,250.65,251.6,129016,3875,76439,59.25
RITES, EQ, 21-Feb-2022,250.65,250.65,253.0,245.75,251.4,249.9,249.32,88308,7773,45564,51.6
RITES, EQ, 22-Feb-2022,249.9,248.0,251.75,245.75,251.0,251.0,248.95,112390,4489,56387,50.17
RITES, EQ, 23-Feb-2022,251.0,251.0,255.5,249.5,253.75,254.35,252.76,106100,3300,50946,48.02
