SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ROUTE, EQ, 17-Sep-2021,2048.9,2054.0,2058.95,1985.0,2007.0,2007.35,2009.2,324892,24297,113594,34.96
ROUTE, EQ, 20-Sep-2021,2007.35,1995.0,2039.0,1955.55,1972.9,1967.1,1997.57,330248,25167,97343,29.48
ROUTE, EQ, 21-Sep-2021,1967.1,1968.9,1988.8,1916.0,1938.0,1949.65,1947.98,197565,18278,61641,31.2
ROUTE, EQ, 22-Sep-2021,1949.65,1962.8,2000.0,1948.1,1984.0,1981.35,1981.62,364841,25091,115909,31.77
ROUTE, EQ, 23-Sep-2021,1981.35,1996.7,2010.0,1960.0,1990.0,1997.3,1999.37,140835,11145,64801,46.01
ROUTE, EQ, 24-Sep-2021,1997.3,1997.7,2034.0,1981.1,1988.0,1995.85,2009.89,243247,18883,76216,31.33
ROUTE, EQ, 27-Sep-2021,1995.85,2008.7,2013.0,1950.0,1972.0,1966.0,1976.12,115401,11058,60543,52.46
ROUTE, EQ, 28-Sep-2021,1966.0,1972.0,1974.6,1940.0,1944.0,1943.7,1948.78,83050,7708,44136,53.14
ROUTE, EQ, 29-Sep-2021,1943.7,1931.7,1980.05,1915.0,1970.0,1965.05,1950.59,96634,9847,39932,41.32
ROUTE, EQ, 30-Sep-2021,1965.05,1972.0,1973.95,1935.0,1958.0,1949.85,1950.48,71600,6992,41037,57.31
ROUTE, EQ, 01-Oct-2021,1949.85,1942.0,2064.85,1935.1,2044.0,2042.15,2021.33,382657,29210,190141,49.69
ROUTE, EQ, 04-Oct-2021,2042.15,2050.0,2063.75,2030.0,2058.0,2051.65,2047.19,186243,16161,93800,50.36
ROUTE, EQ, 05-Oct-2021,2051.65,2049.7,2098.7,1995.5,2004.95,2005.65,2042.58,239657,21156,121823,50.83
ROUTE, EQ, 06-Oct-2021,2005.65,2014.3,2030.0,1995.0,2016.15,2009.2,2014.66,100496,9853,48066,47.83
ROUTE, EQ, 07-Oct-2021,2009.2,2026.7,2060.0,2003.35,2055.05,2054.1,2037.83,171024,14366,94863,55.47
ROUTE, EQ, 08-Oct-2021,2054.1,2065.0,2142.9,2037.4,2113.0,2116.45,2105.28,822446,52216,287918,35.01
ROUTE, EQ, 11-Oct-2021,2116.45,2164.9,2332.0,2151.0,2290.1,2296.05,2248.53,1695624,105548,537295,31.69
ROUTE, EQ, 12-Oct-2021,2296.05,2310.0,2389.0,2275.2,2303.3,2306.95,2339.34,1009926,74849,301596,29.86
ROUTE, EQ, 13-Oct-2021,2306.95,2327.8,2338.0,2242.0,2258.95,2259.65,2269.15,366238,32102,151387,41.34
ROUTE, EQ, 14-Oct-2021,2259.65,2269.85,2279.75,2209.0,2223.0,2223.1,2226.16,319471,21686,191590,59.97
ROUTE, EQ, 18-Oct-2021,2223.1,2243.0,2337.65,2240.0,2258.45,2264.25,2280.8,318814,28046,125060,39.23
ROUTE, EQ, 19-Oct-2021,2264.25,2344.9,2350.2,2130.0,2170.0,2168.3,2237.98,480584,50766,202041,42.04
ROUTE, EQ, 20-Oct-2021,2168.3,2179.4,2184.0,2045.0,2094.85,2083.45,2096.25,210215,27190,95906,45.62
ROUTE, EQ, 21-Oct-2021,2083.45,2095.0,2111.15,2000.0,2025.0,2021.55,2036.65,162349,20335,87149,53.68
ROUTE, EQ, 22-Oct-2021,2021.55,2036.7,2069.55,1980.0,1983.8,1985.75,2017.54,136387,17193,71244,52.24
ROUTE, EQ, 25-Oct-2021,1985.75,1994.7,1996.0,1890.0,1922.1,1920.0,1929.11,119586,14953,55239,46.19
ROUTE, EQ, 26-Oct-2021,1920.0,1920.0,1980.0,1919.0,1976.0,1968.8,1962.43,99437,11392,39354,39.58
ROUTE, EQ, 27-Oct-2021,1968.8,1982.0,1982.0,1925.5,1940.0,1939.75,1940.88,184615,20330,101496,54.98
ROUTE, EQ, 28-Oct-2021,1939.75,1943.0,1948.0,1881.0,1893.5,1891.0,1904.32,137411,21480,83797,60.98
ROUTE, EQ, 29-Oct-2021,1891.0,1885.0,1895.95,1835.0,1889.0,1877.65,1867.38,160892,18608,78884,49.03
ROUTE, EQ, 01-Nov-2021,1877.65,1896.7,1979.95,1892.0,1955.0,1954.0,1950.21,141607,17156,71111,50.22
