SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SAIL, EQ, 17-Sep-2021,119.6,120.5,120.5,114.35,115.35,115.15,115.99,49076581,202253,22124174,45.08
SAIL, EQ, 20-Sep-2021,115.15,111.0,113.25,105.0,105.3,105.8,109.23,64945986,241871,28220781,43.45
SAIL, EQ, 21-Sep-2021,105.8,106.0,111.7,105.3,111.5,111.2,108.15,65576034,196607,16361367,24.95
SAIL, EQ, 22-Sep-2021,111.2,111.8,113.6,109.1,111.0,111.3,110.77,55010096,141040,13643419,24.8
SAIL, EQ, 23-Sep-2021,111.3,112.95,113.4,109.5,110.2,110.45,111.23,37099971,106595,10494877,28.29
SAIL, EQ, 24-Sep-2021,110.45,110.7,111.5,106.65,108.1,108.15,108.96,41761741,122354,8433962,20.2
SAIL, EQ, 27-Sep-2021,108.15,108.45,109.8,107.5,109.05,109.25,108.91,23012292,65892,6299493,27.37
SAIL, EQ, 28-Sep-2021,109.25,109.3,111.5,109.05,110.1,110.35,110.31,26139871,74490,6261530,23.95
SAIL, EQ, 29-Sep-2021,110.35,112.4,115.4,110.6,113.95,114.4,114.06,79833166,178566,30409206,38.09
SAIL, EQ, 30-Sep-2021,114.4,115.0,117.95,113.2,113.5,113.65,115.24,59107985,141321,14613311,24.72
SAIL, EQ, 01-Oct-2021,113.65,112.95,115.85,110.8,114.95,114.8,113.89,50198724,140281,10956754,21.83
SAIL, EQ, 04-Oct-2021,114.8,115.8,120.95,114.0,120.2,120.3,118.24,86400828,200496,32527826,37.65
SAIL, EQ, 05-Oct-2021,120.3,119.8,121.25,118.3,119.15,119.35,119.91,43299836,127623,12258924,28.31
SAIL, EQ, 06-Oct-2021,119.35,119.8,122.0,115.0,115.6,115.75,118.14,52648409,147824,15544887,29.53
