SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SCI, EQ, 17-Sep-2021,114.6,115.55,116.0,111.2,112.15,112.05,113.22,2006855,13314,979767,48.82
SCI, EQ, 20-Sep-2021,112.05,114.0,118.5,113.15,114.45,114.05,116.21,4990585,31214,1998603,40.05
SCI, EQ, 21-Sep-2021,114.05,115.0,116.2,112.15,115.6,115.85,114.51,1986209,12238,844693,42.53
SCI, EQ, 22-Sep-2021,115.85,116.9,117.4,115.2,115.7,115.75,116.16,1509803,9989,799568,52.96
SCI, EQ, 23-Sep-2021,115.75,116.35,117.75,115.75,116.0,116.15,116.46,1618250,11536,872665,53.93
SCI, EQ, 24-Sep-2021,116.15,117.0,117.65,113.25,114.25,114.35,115.3,1758715,12110,688212,39.13
SCI, EQ, 27-Sep-2021,114.35,115.0,116.9,113.05,113.9,114.0,114.66,1545471,10654,668873,43.28
SCI, EQ, 28-Sep-2021,114.0,114.8,115.5,112.5,112.9,113.05,113.67,980539,7897,486668,49.63
SCI, EQ, 29-Sep-2021,113.05,113.3,118.4,112.65,116.85,117.45,117.02,4423208,25553,2105708,47.61
SCI, EQ, 30-Sep-2021,117.45,118.4,124.0,118.35,121.45,121.25,121.76,10457594,54466,4756914,45.49
SCI, EQ, 01-Oct-2021,121.25,121.1,128.0,120.45,125.6,125.1,125.45,9396914,50007,3239325,34.47
SCI, EQ, 04-Oct-2021,125.1,126.2,133.4,126.0,131.65,131.7,130.43,10921728,53994,3483393,31.89
SCI, EQ, 05-Oct-2021,131.7,132.85,133.25,127.8,128.15,128.25,129.68,3875912,22461,1802257,46.5
SCI, EQ, 06-Oct-2021,128.25,129.25,129.5,122.3,123.0,123.0,125.4,3071811,20372,1407219,45.81
SCI, EQ, 07-Oct-2021,123.0,124.95,126.2,123.6,123.8,124.1,124.7,1464521,10138,519812,35.49
SCI, EQ, 08-Oct-2021,124.1,125.5,127.95,124.5,125.75,125.45,125.94,2836846,18389,1187538,41.86
SCI, EQ, 11-Oct-2021,125.45,127.0,140.0,127.0,139.05,139.05,136.05,15499136,88133,5162705,33.31
SCI, EQ, 12-Oct-2021,139.05,139.35,141.25,136.5,140.55,140.5,139.49,7198257,44592,2565180,35.64
SCI, EQ, 13-Oct-2021,140.5,141.45,143.0,137.0,142.6,141.6,140.42,6117603,35309,1970791,32.22
SCI, EQ, 14-Oct-2021,141.6,144.0,145.5,139.8,141.8,142.0,142.3,4839337,31916,1934201,39.97
