SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SJVN, EQ, 17-Sep-2021,27.55,27.65,27.7,27.0,27.2,27.2,27.3,2865147,13330,2057851,71.82
SJVN, EQ, 20-Sep-2021,27.2,27.15,27.55,27.05,27.2,27.25,27.38,2235460,12340,1531371,68.5
SJVN, EQ, 21-Sep-2021,27.25,27.0,27.15,26.8,26.9,26.95,26.9,722408,3668,424317,58.74
SJVN, EQ, 22-Sep-2021,26.95,26.9,27.0,26.8,26.85,26.85,26.9,658613,3856,438920,66.64
SJVN, EQ, 23-Sep-2021,26.85,27.0,27.2,26.85,27.0,27.0,26.99,10066835,4678,8905680,88.47
SJVN, EQ, 24-Sep-2021,27.0,27.05,27.2,26.6,26.9,26.9,26.98,1249858,4496,831634,66.54
SJVN, EQ, 27-Sep-2021,26.9,28.0,28.35,27.3,27.45,27.4,27.64,4486696,11674,2001854,44.62
SJVN, EQ, 28-Sep-2021,27.4,27.55,27.55,27.1,27.2,27.2,27.38,4158049,5989,1870062,44.97
SJVN, EQ, 29-Sep-2021,27.2,27.2,29.3,27.2,28.4,28.35,28.45,22430813,31401,6415705,28.6
SJVN, EQ, 30-Sep-2021,28.35,28.6,28.9,28.1,28.25,28.15,28.41,4990232,11787,2521166,50.52
SJVN, EQ, 01-Oct-2021,28.15,28.15,28.6,27.95,28.4,28.4,28.24,3902018,11110,1926277,49.37
SJVN, EQ, 04-Oct-2021,28.4,28.75,28.75,28.2,28.45,28.45,28.4,2750109,8513,1449387,52.7
SJVN, EQ, 05-Oct-2021,28.45,28.5,28.75,28.05,28.15,28.1,28.26,5580954,12211,3307094,59.26
SJVN, EQ, 06-Oct-2021,28.1,28.4,28.65,27.9,28.1,28.0,28.29,4260519,10756,2387903,56.05
SJVN, EQ, 07-Oct-2021,28.0,28.25,28.4,28.05,28.15,28.1,28.2,2831978,6684,1700005,60.03
SJVN, EQ, 08-Oct-2021,28.1,28.2,28.3,27.9,27.95,27.95,28.06,2461540,7165,1465077,59.52
SJVN, EQ, 11-Oct-2021,27.95,28.15,28.65,28.0,28.2,28.2,28.25,4286918,9758,2288180,53.38
SJVN, EQ, 12-Oct-2021,28.2,28.3,28.5,28.15,28.2,28.25,28.27,2119763,5598,1380075,65.11
SJVN, EQ, 13-Oct-2021,28.25,28.45,28.5,28.15,28.3,28.2,28.25,2494769,7639,1542706,61.84
SJVN, EQ, 14-Oct-2021,28.2,28.4,28.95,28.2,28.4,28.35,28.48,6995135,12550,2739859,39.17
SJVN, EQ, 18-Oct-2021,28.35,28.75,33.75,28.5,32.65,32.55,31.42,52983314,75060,15013147,28.34
SJVN, EQ, 19-Oct-2021,32.55,33.2,33.65,30.7,30.95,31.05,32.12,15985580,33262,6460078,40.41
SJVN, EQ, 20-Oct-2021,31.05,31.15,31.15,29.4,30.0,30.0,30.25,5844162,14126,2658236,45.49
SJVN, EQ, 21-Oct-2021,30.0,30.05,30.5,29.05,29.2,29.2,29.62,5298862,10967,3288895,62.07
SJVN, EQ, 22-Oct-2021,29.2,29.35,30.2,28.95,29.1,29.1,29.48,6802595,15335,3043321,44.74
SJVN, EQ, 25-Oct-2021,29.1,29.15,29.35,28.65,28.8,28.75,28.88,3598668,10113,1668978,46.38
SJVN, EQ, 26-Oct-2021,28.75,28.8,29.2,28.7,28.95,28.8,28.93,2577567,7102,1272324,49.36
SJVN, EQ, 27-Oct-2021,28.8,28.95,29.6,28.8,28.9,29.0,29.17,3503229,8378,1590680,45.41
SJVN, EQ, 28-Oct-2021,29.0,29.0,29.0,28.4,28.5,28.5,28.65,2451857,9033,1319183,53.8
SJVN, EQ, 29-Oct-2021,28.5,28.5,28.6,28.1,28.4,28.35,28.36,2302929,6371,865982,37.6
SJVN, EQ, 01-Nov-2021,28.35,28.65,28.9,28.35,28.7,28.6,28.62,2309534,6571,858544,37.17
SJVN, EQ, 02-Nov-2021,28.6,28.6,28.9,28.5,28.6,28.6,28.66,1599085,7101,826676,51.7
SJVN, EQ, 03-Nov-2021,28.6,28.75,28.9,28.55,28.6,28.65,28.72,1234776,5263,588699,47.68
SJVN, EQ, 08-Nov-2021,29.4,30.45,30.6,29.85,30.0,29.9,30.09,5588691,18060,2226479,39.84
SJVN, EQ, 09-Nov-2021,29.9,30.15,30.9,30.05,30.65,30.6,30.48,3968763,16553,1896652,47.79
SJVN, EQ, 10-Nov-2021,30.6,30.75,30.95,30.1,30.3,30.25,30.57,2316488,10326,1210884,52.27
SJVN, EQ, 11-Nov-2021,30.25,30.3,30.5,29.85,30.0,29.9,30.06,2059217,11334,1018094,49.44
SJVN, EQ, 12-Nov-2021,29.9,30.1,30.4,29.45,29.5,29.7,29.95,6377687,13383,2097256,32.88
SJVN, EQ, 15-Nov-2021,29.7,29.75,29.75,28.65,28.7,28.75,29.04,3446215,14218,1823949,52.93
SJVN, EQ, 16-Nov-2021,28.75,28.85,29.55,28.7,29.25,29.25,29.17,3669481,10415,1294169,35.27
SJVN, EQ, 17-Nov-2021,29.25,29.25,29.45,28.6,28.75,28.65,28.97,2452973,10562,1269186,51.74
SJVN, EQ, 18-Nov-2021,28.65,28.75,28.9,28.35,28.5,28.5,28.55,1843971,6914,872239,47.3
SJVN, EQ, 22-Nov-2021,28.5,28.85,28.9,27.7,28.0,27.95,28.17,3243139,11145,1692667,52.19
SJVN, EQ, 23-Nov-2021,27.95,27.9,28.45,27.75,28.35,28.3,28.23,2076029,7422,850088,40.95
SJVN, EQ, 24-Nov-2021,28.3,28.7,28.7,28.35,28.6,28.5,28.57,1654838,7860,833041,50.34
SJVN, EQ, 25-Nov-2021,28.5,28.85,29.1,28.6,28.8,28.8,28.8,1750334,9240,622646,35.57
SJVN, EQ, 26-Nov-2021,28.8,28.55,28.7,28.0,28.05,28.1,28.26,2101861,8591,1170200,55.67
SJVN, EQ, 29-Nov-2021,28.1,28.0,28.1,27.25,27.55,27.55,27.61,2661725,9089,1156043,43.43
SJVN, EQ, 30-Nov-2021,27.55,27.6,28.35,27.0,27.8,27.85,28.04,2084423,8367,783161,37.57
SJVN, EQ, 01-Dec-2021,27.85,27.9,28.25,27.8,28.05,28.0,27.97,1404626,5424,677166,48.21
SJVN, EQ, 02-Dec-2021,28.0,28.1,28.3,27.8,28.0,27.9,27.97,1897173,9822,913189,48.13
SJVN, EQ, 03-Dec-2021,27.9,28.05,28.4,28.0,28.25,28.2,28.22,1385122,7467,638857,46.12
SJVN, EQ, 06-Dec-2021,28.2,28.25,28.4,28.05,28.3,28.25,28.23,1506986,5386,739376,49.06
SJVN, EQ, 07-Dec-2021,28.25,28.4,28.7,28.15,28.3,28.3,28.37,1392168,7546,717110,51.51
SJVN, EQ, 08-Dec-2021,28.3,28.5,28.6,28.35,28.6,28.5,28.46,1194107,4603,667731,55.92
SJVN, EQ, 09-Dec-2021,28.5,28.7,28.75,28.4,28.55,28.5,28.54,1641700,5063,772384,47.05
SJVN, EQ, 10-Dec-2021,28.5,28.5,28.8,28.45,28.6,28.6,28.59,1126678,4285,517709,45.95
SJVN, EQ, 13-Dec-2021,28.6,29.0,29.55,28.9,29.0,29.05,29.18,2399052,10525,1232128,51.36
SJVN, EQ, 14-Dec-2021,29.05,29.05,29.15,28.75,29.05,29.0,29.0,1357576,6227,679742,50.07
SJVN, EQ, 15-Dec-2021,29.0,29.1,29.15,28.6,28.7,28.7,28.91,1188837,5900,672790,56.59
SJVN, EQ, 16-Dec-2021,28.7,28.95,29.2,28.65,28.9,28.8,28.95,1555783,5567,775435,49.84
SJVN, EQ, 17-Dec-2021,28.8,28.95,29.0,28.3,28.45,28.4,28.53,1446029,6129,568208,39.29
SJVN, EQ, 20-Dec-2021,28.4,28.3,28.3,27.05,27.5,27.5,27.59,2337481,9678,1301648,55.69
SJVN, EQ, 21-Dec-2021,27.5,27.7,28.05,27.5,27.9,27.85,27.79,1475185,6417,702602,47.63
SJVN, EQ, 22-Dec-2021,27.85,28.1,28.35,27.9,28.35,28.3,28.23,1020457,4163,634303,62.16
SJVN, EQ, 23-Dec-2021,28.3,28.4,28.6,28.25,28.5,28.4,28.4,1098598,4393,564444,51.38
SJVN, EQ, 24-Dec-2021,28.4,28.9,28.9,28.4,28.55,28.5,28.6,2101821,7045,707920,33.68
SJVN, EQ, 27-Dec-2021,28.5,28.8,28.85,28.6,28.75,28.75,28.73,1454790,6831,860356,59.14
SJVN, EQ, 28-Dec-2021,28.75,28.85,29.4,28.85,29.3,29.2,29.15,2291466,7965,1337508,58.37
SJVN, EQ, 29-Dec-2021,29.2,29.6,30.75,29.45,29.7,29.65,29.96,7225894,18432,2794685,38.68
SJVN, EQ, 30-Dec-2021,29.65,30.0,30.4,29.65,29.95,30.05,29.99,8067720,14691,3361344,41.66
SJVN, EQ, 31-Dec-2021,30.05,30.4,31.0,30.15,30.7,30.65,30.65,5098783,13728,3037047,59.56
SJVN, EQ, 03-Jan-2022,30.65,31.25,31.25,30.9,31.0,30.95,31.01,3325751,12902,2004639,60.28
SJVN, EQ, 04-Jan-2022,30.95,31.3,31.35,30.1,30.6,30.4,30.66,4554961,13920,2311139,50.74
SJVN, EQ, 05-Jan-2022,30.4,30.5,30.5,29.85,30.0,29.95,30.01,2687534,8201,1260087,46.89
SJVN, EQ, 06-Jan-2022,29.95,29.7,31.1,29.6,30.5,30.45,30.4,3889882,9889,1340385,34.46
SJVN, EQ, 07-Jan-2022,30.45,30.8,31.1,30.05,30.2,30.2,30.55,5224580,18851,2599176,49.75
SJVN, EQ, 10-Jan-2022,30.2,30.9,32.4,30.65,31.5,31.8,31.73,23661820,46122,9424209,39.83
