SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SPANDANA, EQ, 17-Sep-2021,650.2,650.2,660.5,624.0,631.0,629.15,643.25,167752,4138,133110,79.35
SPANDANA, EQ, 20-Sep-2021,629.15,617.0,635.0,601.0,606.0,605.8,613.9,80077,5165,41771,52.16
SPANDANA, EQ, 21-Sep-2021,605.8,606.0,615.0,585.0,592.65,592.0,593.32,91187,7124,46471,50.96
SPANDANA, EQ, 22-Sep-2021,592.0,601.0,621.6,586.0,590.0,589.7,592.19,132195,9197,55539,42.01
SPANDANA, EQ, 23-Sep-2021,589.7,599.9,599.9,588.35,592.45,592.05,592.08,77410,5137,36094,46.63
SPANDANA, EQ, 24-Sep-2021,592.05,592.45,595.95,582.35,586.0,587.4,591.08,65027,3905,36914,56.77
SPANDANA, EQ, 27-Sep-2021,587.4,592.7,597.0,581.0,581.1,584.4,587.53,34740,3243,18664,53.72
SPANDANA, EQ, 28-Sep-2021,584.4,585.0,590.0,575.0,578.95,576.85,578.32,50514,6001,23964,47.44
SPANDANA, EQ, 29-Sep-2021,576.85,580.0,588.05,570.0,575.0,572.45,574.61,52074,4772,24215,46.5
SPANDANA, EQ, 30-Sep-2021,572.45,577.4,580.0,567.45,569.15,569.85,570.62,155127,7115,40255,25.95
SPANDANA, EQ, 01-Oct-2021,569.85,569.85,574.45,555.7,567.0,565.55,565.19,91751,9364,51459,56.09
SPANDANA, EQ, 04-Oct-2021,565.55,553.0,563.35,548.15,552.05,552.6,555.03,180011,13851,75937,42.18
SPANDANA, EQ, 05-Oct-2021,552.6,552.05,582.0,552.05,555.0,556.5,560.8,181831,16787,91750,50.46
SPANDANA, EQ, 06-Oct-2021,556.5,557.05,564.7,550.05,551.7,552.6,556.22,82013,9545,45153,55.06
SPANDANA, EQ, 07-Oct-2021,552.6,552.65,560.4,542.0,553.2,554.45,551.19,143628,6597,104422,72.7
SPANDANA, EQ, 08-Oct-2021,554.45,559.2,572.0,552.25,556.5,556.3,560.13,58293,4333,26905,46.15
SPANDANA, EQ, 11-Oct-2021,556.3,560.0,564.85,555.95,557.1,558.65,560.16,45953,4410,24003,52.23
SPANDANA, EQ, 12-Oct-2021,558.65,562.4,563.35,550.1,555.0,555.15,558.04,39141,3433,21792,55.68
SPANDANA, EQ, 13-Oct-2021,555.15,559.95,561.85,552.0,555.7,553.4,554.76,47818,4101,25815,53.99
