SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STAR, EQ, 17-Sep-2021,618.5,621.0,621.75,598.7,610.1,609.4,609.75,523423,14869,182796,34.92
STAR, EQ, 20-Sep-2021,609.4,607.0,607.2,581.5,584.05,585.35,596.01,567253,15651,162148,28.58
STAR, EQ, 21-Sep-2021,585.35,587.95,593.0,571.5,587.8,586.7,582.47,547951,16185,113624,20.74
STAR, EQ, 22-Sep-2021,586.7,588.5,637.0,587.15,623.4,624.45,622.21,2437578,55786,507769,20.83
STAR, EQ, 23-Sep-2021,624.45,623.0,628.75,609.95,614.2,614.95,615.18,793763,26095,191738,24.16
STAR, EQ, 24-Sep-2021,614.95,615.0,619.25,593.8,596.6,597.5,603.7,622470,18563,208059,33.42
STAR, EQ, 27-Sep-2021,597.5,597.4,604.1,588.8,592.5,591.8,593.06,362074,10455,99565,27.5
STAR, EQ, 28-Sep-2021,591.8,593.0,597.65,580.15,586.7,585.85,586.97,490984,11972,171424,34.91
STAR, EQ, 29-Sep-2021,585.85,584.75,601.5,578.05,593.0,594.6,592.27,675148,17758,129915,19.24
STAR, EQ, 30-Sep-2021,594.6,597.5,599.9,586.0,588.4,589.5,591.85,637386,13326,189477,29.73
STAR, EQ, 01-Oct-2021,589.5,586.9,595.5,581.05,583.0,583.05,586.08,643796,16607,196945,30.59
STAR, EQ, 04-Oct-2021,583.05,586.0,602.0,584.45,588.3,589.45,593.61,825080,16926,232233,28.15
STAR, EQ, 05-Oct-2021,589.45,589.45,604.35,587.0,595.7,596.8,596.4,682741,14172,245024,35.89
STAR, EQ, 06-Oct-2021,596.8,598.7,599.8,580.2,582.5,584.2,588.42,484554,12468,199010,41.07
STAR, EQ, 07-Oct-2021,584.2,587.0,592.0,581.75,585.5,586.15,585.62,489746,10634,151933,31.02
STAR, EQ, 08-Oct-2021,586.15,589.95,598.6,583.4,585.25,586.75,590.07,539240,14305,161292,29.91
STAR, EQ, 11-Oct-2021,586.75,589.95,595.75,582.6,592.6,592.25,589.97,741864,13932,349139,47.06
STAR, EQ, 12-Oct-2021,592.25,593.5,608.95,590.2,601.3,600.65,601.11,1021626,26669,241541,23.64
STAR, EQ, 13-Oct-2021,600.65,601.1,605.5,592.1,596.5,595.95,596.89,392968,10702,171404,43.62
STAR, EQ, 14-Oct-2021,595.95,597.7,606.0,588.0,591.5,592.65,597.34,536393,13526,201522,37.57
STAR, EQ, 18-Oct-2021,592.65,594.9,598.05,578.05,578.55,580.2,583.39,794223,19485,409055,51.5
STAR, EQ, 19-Oct-2021,580.2,581.0,584.9,548.0,551.0,559.2,570.38,914250,21849,361067,39.49
STAR, EQ, 20-Oct-2021,559.2,555.0,555.0,537.6,542.0,542.7,544.52,1038888,25063,283400,27.28
STAR, EQ, 21-Oct-2021,542.7,548.0,579.95,546.45,557.45,557.1,566.6,3326396,71368,449194,13.5
STAR, EQ, 22-Oct-2021,557.1,560.0,563.0,542.4,546.1,546.9,552.71,459317,12203,113551,24.72
STAR, EQ, 25-Oct-2021,546.9,550.0,552.75,528.05,531.8,531.55,534.82,470155,12740,99689,21.2
STAR, EQ, 26-Oct-2021,531.55,535.0,543.75,530.7,540.45,538.15,537.64,662241,16373,169738,25.63
STAR, EQ, 27-Oct-2021,538.15,540.0,553.9,537.25,543.3,544.15,545.97,676008,17123,200494,29.66
STAR, EQ, 28-Oct-2021,544.15,544.9,547.9,518.75,519.5,522.55,529.65,703876,19619,206204,29.3
STAR, EQ, 29-Oct-2021,522.55,523.15,544.5,517.2,534.25,534.75,532.69,730141,21903,192473,26.36
STAR, EQ, 01-Nov-2021,534.75,535.8,545.75,529.35,541.6,542.3,536.15,472449,14044,140936,29.83
STAR, EQ, 02-Nov-2021,542.3,542.3,546.6,535.05,538.2,540.4,539.86,331598,9810,104669,31.57
STAR, EQ, 03-Nov-2021,540.4,541.0,546.75,531.5,538.1,537.45,538.27,309619,8599,101635,32.83
STAR, EQ, 08-Nov-2021,540.1,545.9,551.0,531.6,548.0,549.05,542.25,517221,12633,158798,30.7
STAR, EQ, 09-Nov-2021,549.05,552.0,559.8,546.3,549.4,551.0,552.44,647575,16062,124255,19.19
STAR, EQ, 10-Nov-2021,551.0,550.9,556.3,498.0,498.95,503.75,517.63,3388209,75616,923378,27.25
