SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STARCEMENT, EQ, 17-Sep-2021,107.8,108.5,109.8,107.15,108.45,108.65,108.5,669119,10100,398028,59.49
STARCEMENT, EQ, 20-Sep-2021,108.65,109.1,111.75,108.15,108.8,108.9,109.77,779248,11746,376894,48.37
STARCEMENT, EQ, 21-Sep-2021,108.9,111.0,111.0,106.1,106.85,106.85,107.41,417702,8447,205981,49.31
STARCEMENT, EQ, 22-Sep-2021,106.85,107.9,110.0,106.55,107.5,107.45,107.47,422840,5506,250526,59.25
STARCEMENT, EQ, 23-Sep-2021,107.45,109.3,109.3,107.1,107.2,108.0,108.31,312750,4719,163127,52.16
STARCEMENT, EQ, 24-Sep-2021,108.0,109.0,111.0,107.15,107.7,107.85,109.06,542077,7695,194657,35.91
STARCEMENT, EQ, 27-Sep-2021,107.85,108.4,108.8,107.4,108.0,107.9,108.03,210251,4369,110132,52.38
STARCEMENT, EQ, 28-Sep-2021,107.9,108.4,108.65,107.25,107.9,107.85,107.81,300401,5219,218937,72.88
STARCEMENT, EQ, 29-Sep-2021,107.85,107.75,108.5,106.7,107.0,106.95,107.51,278610,3298,182012,65.33
STARCEMENT, EQ, 30-Sep-2021,106.95,107.0,108.05,107.0,107.25,107.25,107.54,217308,2887,131868,60.68
STARCEMENT, EQ, 01-Oct-2021,107.25,107.95,107.95,107.1,107.5,107.25,107.35,213290,1999,118087,55.36
STARCEMENT, EQ, 04-Oct-2021,107.25,107.25,108.0,107.0,107.3,107.2,107.38,201539,2725,138735,68.84
STARCEMENT, EQ, 05-Oct-2021,107.2,107.3,109.5,107.3,108.25,108.1,108.47,386240,4647,218997,56.7
STARCEMENT, EQ, 06-Oct-2021,108.1,108.65,108.85,107.3,108.0,107.7,108.14,169061,2794,90558,53.57
STARCEMENT, EQ, 07-Oct-2021,107.7,108.75,108.75,107.2,107.55,107.35,107.75,127112,1706,83877,65.99
STARCEMENT, EQ, 08-Oct-2021,107.35,106.5,107.8,106.25,106.4,106.5,106.78,228376,6269,143762,62.95
STARCEMENT, EQ, 11-Oct-2021,106.5,108.0,108.15,107.25,108.0,107.75,107.9,290441,3318,226550,78.0
STARCEMENT, EQ, 12-Oct-2021,107.75,107.9,108.0,105.3,106.45,106.2,106.44,358809,6086,234262,65.29
STARCEMENT, EQ, 13-Oct-2021,106.2,106.0,106.55,104.85,105.3,105.5,105.49,608235,8943,361049,59.36
STARCEMENT, EQ, 14-Oct-2021,105.5,105.0,105.55,103.65,104.0,103.9,104.13,1017907,10898,603255,59.26
STARCEMENT, EQ, 18-Oct-2021,103.9,104.0,104.9,102.7,102.75,102.8,103.35,592200,10485,384856,64.99
STARCEMENT, EQ, 19-Oct-2021,102.8,103.2,104.6,102.7,103.3,103.35,103.66,351645,6228,179719,51.11
STARCEMENT, EQ, 20-Oct-2021,103.35,103.0,103.25,101.3,101.75,101.65,101.99,266888,4141,142463,53.38
STARCEMENT, EQ, 21-Oct-2021,101.65,102.5,104.2,100.0,101.95,101.75,102.18,292297,4731,100059,34.23
STARCEMENT, EQ, 22-Oct-2021,101.75,102.7,102.7,100.0,100.95,100.65,100.82,239524,4324,137670,57.48
STARCEMENT, EQ, 25-Oct-2021,100.65,100.95,101.3,96.6,97.75,97.65,98.24,326788,5760,165964,50.79
STARCEMENT, EQ, 26-Oct-2021,97.65,99.6,100.7,98.8,100.45,100.4,99.99,474916,4294,369594,77.82
STARCEMENT, EQ, 27-Oct-2021,100.4,101.0,103.0,100.3,100.55,101.05,101.49,250258,5580,91066,36.39
STARCEMENT, EQ, 28-Oct-2021,101.05,101.5,101.6,99.5,99.7,99.7,100.21,161365,3151,72577,44.98
STARCEMENT, EQ, 29-Oct-2021,99.7,102.0,102.0,97.0,100.55,99.8,99.7,311911,5295,74752,23.97
STARCEMENT, EQ, 01-Nov-2021,99.8,100.25,102.55,96.7,100.6,100.5,99.52,542192,8697,68166,12.57
STARCEMENT, EQ, 02-Nov-2021,100.5,97.2,101.95,97.2,100.1,100.05,99.19,341849,5286,112846,33.01
STARCEMENT, EQ, 03-Nov-2021,100.05,101.0,101.5,99.85,100.45,100.4,100.79,185067,3713,94098,50.85
STARCEMENT, EQ, 08-Nov-2021,100.6,101.4,102.8,100.3,102.4,101.85,101.8,194300,3993,93818,48.29
STARCEMENT, EQ, 09-Nov-2021,101.85,103.7,106.1,103.1,104.75,104.5,104.93,809188,11244,333413,41.2
STARCEMENT, EQ, 10-Nov-2021,104.5,104.65,105.15,103.0,103.2,103.8,104.38,163595,3005,90338,55.22
STARCEMENT, EQ, 11-Nov-2021,103.8,104.0,104.25,102.4,102.5,102.6,103.14,136153,2791,83983,61.68
STARCEMENT, EQ, 12-Nov-2021,102.6,102.2,102.85,101.6,102.05,102.15,102.21,101491,2153,55077,54.27
STARCEMENT, EQ, 15-Nov-2021,102.15,101.7,102.2,99.35,100.0,100.0,100.68,142846,3239,99091,69.37
STARCEMENT, EQ, 16-Nov-2021,100.0,100.0,101.9,100.0,100.25,100.2,100.84,118334,2695,65425,55.29
STARCEMENT, EQ, 17-Nov-2021,100.2,100.9,100.9,98.5,98.8,98.8,99.55,139215,2903,90806,65.23
STARCEMENT, EQ, 18-Nov-2021,98.8,99.9,99.9,96.3,97.6,97.5,98.06,182348,4046,99573,54.61
STARCEMENT, EQ, 22-Nov-2021,97.5,98.9,99.0,95.5,96.75,95.9,96.84,184042,3544,118676,64.48
STARCEMENT, EQ, 23-Nov-2021,95.9,95.9,97.5,95.0,97.1,97.2,96.64,114132,2427,62248,54.54
STARCEMENT, EQ, 24-Nov-2021,97.2,98.2,98.9,97.0,97.4,97.3,98.08,97561,2138,58859,60.33
STARCEMENT, EQ, 25-Nov-2021,97.3,97.5,97.5,95.9,96.95,96.55,96.52,109102,2484,59723,54.74
STARCEMENT, EQ, 26-Nov-2021,96.55,96.0,96.8,94.7,95.0,95.1,95.51,131165,3130,84258,64.24
STARCEMENT, EQ, 29-Nov-2021,95.1,95.0,95.35,88.45,94.0,93.65,92.07,273803,5555,127460,46.55
STARCEMENT, EQ, 30-Nov-2021,93.65,94.0,96.3,93.6,95.9,95.3,94.95,97988,2423,49940,50.97
STARCEMENT, EQ, 01-Dec-2021,95.3,96.0,96.2,94.45,96.0,95.75,95.34,87651,1664,49914,56.95
STARCEMENT, EQ, 02-Dec-2021,95.75,95.85,97.25,95.55,96.6,96.35,96.32,88245,2412,55787,63.22
STARCEMENT, EQ, 03-Dec-2021,96.35,97.0,97.6,96.45,97.6,97.35,97.16,96702,1560,56015,57.93
STARCEMENT, EQ, 06-Dec-2021,97.35,97.6,99.0,95.05,96.3,95.8,97.01,152012,2556,85199,56.05
STARCEMENT, EQ, 07-Dec-2021,95.8,97.45,98.0,96.0,97.85,97.35,97.19,89678,2330,44058,49.13
STARCEMENT, EQ, 08-Dec-2021,97.35,97.5,98.0,94.05,96.75,96.05,96.84,139188,2327,68190,48.99
STARCEMENT, EQ, 09-Dec-2021,96.05,97.0,97.35,95.85,97.05,96.9,96.77,92126,2106,48326,52.46
STARCEMENT, EQ, 10-Dec-2021,96.9,97.9,97.9,96.5,96.5,96.7,96.99,79383,1506,50756,63.94
STARCEMENT, EQ, 13-Dec-2021,96.7,97.7,98.4,96.7,98.4,97.7,97.39,106018,1962,61662,58.16
STARCEMENT, EQ, 14-Dec-2021,97.7,98.55,98.55,96.35,97.0,96.85,97.3,50737,1299,24444,48.18
STARCEMENT, EQ, 15-Dec-2021,96.85,98.8,98.8,96.35,96.5,96.75,97.22,71615,1678,36843,51.45
STARCEMENT, EQ, 16-Dec-2021,96.75,96.75,97.25,95.6,96.3,96.0,96.07,71171,1408,39533,55.55
STARCEMENT, EQ, 17-Dec-2021,96.0,96.0,96.05,94.2,94.9,94.5,94.68,64345,1835,37474,58.24
STARCEMENT, EQ, 20-Dec-2021,94.5,94.5,94.5,92.0,93.6,93.4,93.11,152301,2605,101079,66.37
STARCEMENT, EQ, 21-Dec-2021,93.4,93.9,95.0,93.15,94.4,94.3,94.18,57129,1509,36348,63.62
STARCEMENT, EQ, 22-Dec-2021,94.3,95.0,95.5,94.3,94.9,95.1,95.17,59563,1141,38209,64.15
STARCEMENT, EQ, 23-Dec-2021,95.1,95.1,96.05,95.0,95.1,95.1,95.37,62548,1013,39312,62.85
STARCEMENT, EQ, 24-Dec-2021,95.1,94.55,95.45,94.45,94.7,94.6,94.8,39713,1016,24636,62.04
STARCEMENT, EQ, 27-Dec-2021,94.6,95.9,95.9,94.1,94.5,94.65,94.78,68310,1350,39024,57.13
STARCEMENT, EQ, 28-Dec-2021,94.65,94.65,95.5,94.4,94.75,94.65,94.75,55674,1226,36529,65.61
STARCEMENT, EQ, 29-Dec-2021,94.65,95.7,95.7,94.1,94.25,94.35,94.63,41143,1091,26324,63.98
STARCEMENT, EQ, 30-Dec-2021,94.35,94.1,94.85,93.8,94.25,94.05,94.26,40237,984,26769,66.53
STARCEMENT, EQ, 31-Dec-2021,94.05,94.05,95.75,94.05,95.55,95.3,94.99,94958,1450,56989,60.01
STARCEMENT, EQ, 03-Jan-2022,95.3,96.6,96.75,94.6,95.7,95.6,95.74,192761,2465,110580,57.37
STARCEMENT, EQ, 04-Jan-2022,95.6,96.5,96.5,95.0,95.45,95.25,95.53,58482,1320,40466,69.19
STARCEMENT, EQ, 05-Jan-2022,95.25,95.75,96.5,94.8,95.0,95.15,95.58,137039,1979,83430,60.88
STARCEMENT, EQ, 06-Jan-2022,95.15,95.5,96.05,95.0,95.4,95.6,95.67,111759,1492,53056,47.47
STARCEMENT, EQ, 07-Jan-2022,95.6,96.0,102.8,95.5,102.15,102.15,100.42,1238387,13457,425709,34.38
STARCEMENT, EQ, 10-Jan-2022,102.15,102.15,103.2,96.0,99.85,99.6,99.33,740458,12570,280747,37.92
STARCEMENT, EQ, 11-Jan-2022,99.6,100.2,103.15,99.85,100.5,100.6,101.73,462279,5952,225976,48.88
STARCEMENT, EQ, 12-Jan-2022,100.6,101.75,101.75,99.15,99.85,99.65,100.43,90227,1879,52214,57.87
STARCEMENT, EQ, 13-Jan-2022,99.65,99.95,100.8,98.6,99.35,99.0,99.66,103210,2247,60492,58.61
STARCEMENT, EQ, 14-Jan-2022,99.0,99.1,101.75,98.65,100.2,100.1,100.51,267778,4356,89796,33.53
STARCEMENT, EQ, 17-Jan-2022,100.1,100.1,101.0,99.8,100.8,100.4,100.34,145269,2261,80054,55.11
STARCEMENT, EQ, 18-Jan-2022,100.4,101.0,101.0,97.2,97.6,98.05,99.09,118359,1890,78063,65.95
STARCEMENT, EQ, 19-Jan-2022,98.05,97.5,97.85,96.85,97.5,97.35,97.33,89604,1924,53336,59.52
STARCEMENT, EQ, 20-Jan-2022,97.35,97.35,98.6,96.55,97.05,97.0,97.27,127147,3444,66795,52.53
STARCEMENT, EQ, 21-Jan-2022,97.0,97.0,98.0,95.0,95.4,95.35,96.24,141500,3951,97600,68.98
STARCEMENT, EQ, 24-Jan-2022,95.35,97.0,97.0,92.4,93.3,93.4,94.32,139076,2923,75334,54.17
STARCEMENT, EQ, 25-Jan-2022,93.4,92.2,101.65,91.0,93.85,95.4,97.1,1466430,25459,283969,19.36
STARCEMENT, EQ, 27-Jan-2022,95.4,95.0,96.8,94.0,94.75,94.4,95.14,206661,5294,90650,43.86
STARCEMENT, EQ, 28-Jan-2022,94.4,95.1,95.7,94.15,94.4,94.3,94.88,161813,3837,89968,55.6
STARCEMENT, EQ, 31-Jan-2022,94.3,96.4,96.45,94.8,95.5,95.0,95.42,270213,4735,182845,67.67
STARCEMENT, EQ, 01-Feb-2022,95.0,96.25,97.0,95.0,95.4,95.5,96.11,435574,8049,187541,43.06
STARCEMENT, EQ, 02-Feb-2022,95.5,96.3,96.7,95.3,95.7,95.65,95.91,145630,3931,87638,60.18
STARCEMENT, EQ, 03-Feb-2022,95.65,96.5,96.5,94.8,95.1,95.05,95.57,121005,2296,74600,61.65
STARCEMENT, EQ, 04-Feb-2022,95.05,95.1,95.8,93.5,94.25,94.05,94.44,134431,2711,84958,63.2
STARCEMENT, EQ, 07-Feb-2022,94.05,94.75,94.75,93.15,93.8,93.8,93.72,107830,2777,63636,59.02
STARCEMENT, EQ, 08-Feb-2022,93.8,94.0,95.2,92.5,93.1,92.95,93.43,98590,3098,58149,58.98
STARCEMENT, EQ, 09-Feb-2022,92.95,93.5,95.0,92.75,93.5,93.3,93.38,86926,2921,50602,58.21
STARCEMENT, EQ, 10-Feb-2022,93.3,93.5,93.8,92.4,92.8,92.9,92.85,88664,2612,60311,68.02
STARCEMENT, EQ, 11-Feb-2022,92.9,92.75,93.1,92.0,92.3,92.25,92.34,83351,1688,42360,50.82
STARCEMENT, EQ, 14-Feb-2022,92.25,91.5,92.25,90.5,91.05,90.95,91.39,157455,2612,110650,70.27
STARCEMENT, EQ, 15-Feb-2022,90.95,90.4,92.85,90.4,92.5,92.5,91.49,200090,1944,153422,76.68
STARCEMENT, EQ, 16-Feb-2022,92.5,93.4,93.4,92.1,93.25,92.95,92.91,186412,2299,149729,80.32
STARCEMENT, EQ, 17-Feb-2022,92.95,93.7,96.0,92.45,93.15,93.2,94.06,309464,4959,174138,56.27
STARCEMENT, EQ, 18-Feb-2022,93.2,93.5,94.6,92.75,93.4,93.05,93.46,85804,3387,54278,63.26
STARCEMENT, EQ, 21-Feb-2022,93.05,93.3,93.4,90.5,90.6,90.6,91.26,71088,1702,46844,65.9
STARCEMENT, EQ, 22-Feb-2022,90.6,90.0,90.0,88.3,89.9,89.5,89.05,164431,2315,132392,80.52
STARCEMENT, EQ, 23-Feb-2022,89.5,90.95,90.95,87.15,89.9,89.2,89.29,192097,4304,94959,49.43
STARCEMENT, EQ, 24-Feb-2022,89.2,88.0,88.8,86.1,88.35,87.95,88.04,356377,3714,256219,71.9
STARCEMENT, EQ, 25-Feb-2022,87.95,88.85,90.2,87.6,89.5,89.7,89.4,140210,3339,72462,51.68
STARCEMENT, EQ, 28-Feb-2022,89.7,89.7,90.0,88.6,90.0,89.55,89.39,87014,2279,42961,49.37
STARCEMENT, EQ, 02-Mar-2022,89.55,89.0,91.0,89.0,89.95,89.6,89.81,122670,2468,53571,43.67
STARCEMENT, EQ, 03-Mar-2022,89.6,89.9,90.85,89.1,90.0,89.95,89.98,85883,1981,55023,64.07
STARCEMENT, EQ, 04-Mar-2022,89.95,89.25,90.0,87.15,88.2,88.35,88.7,71653,1906,43962,61.35
STARCEMENT, EQ, 08-Mar-2022,85.95,86.0,87.5,85.5,85.75,85.75,86.25,77850,2786,49312,63.34
STARCEMENT, EQ, 09-Mar-2022,85.75,86.4,87.65,85.8,86.9,86.65,86.58,199849,4425,154344,77.23
STARCEMENT, EQ, 10-Mar-2022,86.65,87.9,96.4,87.3,93.0,94.55,93.25,565215,4698,177691,31.44
STARCEMENT, EQ, 11-Mar-2022,94.55,93.25,95.9,90.35,91.9,91.9,93.64,346825,5244,104654,30.17
STARCEMENT, EQ, 14-Mar-2022,91.9,90.6,92.85,90.1,92.1,91.8,91.76,127450,2719,51123,40.11
