SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STLTECH, EQ, 17-Sep-2021,276.25,277.9,280.5,272.8,275.15,277.85,277.34,609058,17312,396974,65.18
STLTECH, EQ, 20-Sep-2021,277.85,272.9,279.9,270.15,274.6,272.8,274.83,464080,14560,251093,54.11
STLTECH, EQ, 21-Sep-2021,272.8,270.0,276.55,265.05,271.3,271.65,270.96,596888,22721,290395,48.65
STLTECH, EQ, 22-Sep-2021,271.65,271.7,275.6,269.25,270.6,272.5,272.14,726112,19434,309563,42.63
STLTECH, EQ, 23-Sep-2021,272.5,274.35,283.45,273.0,281.0,282.0,279.14,1956869,24963,1131912,57.84
STLTECH, EQ, 24-Sep-2021,282.0,285.0,299.35,282.0,289.65,291.3,290.56,2474649,42608,948318,38.32
STLTECH, EQ, 27-Sep-2021,291.3,292.05,292.05,283.0,286.8,285.95,286.42,708678,12799,302910,42.74
STLTECH, EQ, 28-Sep-2021,285.95,287.4,296.95,283.85,291.0,291.2,292.57,1258508,21491,560833,44.56
STLTECH, EQ, 29-Sep-2021,291.2,289.0,290.9,285.6,287.5,286.95,287.79,259961,6111,108736,41.83
STLTECH, EQ, 30-Sep-2021,286.95,288.45,294.55,284.8,285.3,286.05,289.51,376175,7791,119622,31.8
STLTECH, EQ, 01-Oct-2021,286.05,283.9,286.0,280.0,282.0,281.9,282.74,216225,6060,82646,38.22
STLTECH, EQ, 04-Oct-2021,281.9,283.9,288.25,282.0,286.25,286.5,285.42,327979,6578,120046,36.6
STLTECH, EQ, 05-Oct-2021,286.5,286.5,288.9,281.35,282.5,282.4,284.64,332997,7296,171172,51.4
STLTECH, EQ, 06-Oct-2021,282.4,284.75,286.55,276.0,277.45,277.85,281.7,232270,6342,124755,53.71
STLTECH, EQ, 07-Oct-2021,277.85,280.1,284.5,275.9,279.95,278.55,280.25,238752,6444,101393,42.47
STLTECH, EQ, 08-Oct-2021,278.55,280.1,288.5,278.1,283.3,284.25,283.36,486029,10570,186550,38.38
STLTECH, EQ, 11-Oct-2021,284.25,286.8,286.9,277.5,279.1,278.6,283.06,658534,9728,449378,68.24
STLTECH, EQ, 12-Oct-2021,278.6,279.45,285.5,276.6,278.5,277.6,278.79,287575,7367,133098,46.28
STLTECH, EQ, 13-Oct-2021,277.6,278.5,286.5,275.7,279.5,279.55,282.17,511734,10338,238783,46.66
STLTECH, EQ, 14-Oct-2021,279.55,281.5,286.9,280.3,283.0,282.6,283.3,397540,8706,185541,46.67
STLTECH, EQ, 18-Oct-2021,282.6,284.9,287.0,279.5,280.2,280.55,283.39,909026,22011,339703,37.37
STLTECH, EQ, 19-Oct-2021,280.55,282.0,283.9,270.1,273.0,273.5,278.58,511843,11143,209662,40.96
STLTECH, EQ, 20-Oct-2021,273.5,274.7,285.6,271.35,284.7,282.85,280.8,1284000,28278,449536,35.01
STLTECH, EQ, 21-Oct-2021,282.85,284.9,289.5,274.0,280.0,276.5,280.93,2624434,44121,1193898,45.49
STLTECH, EQ, 22-Oct-2021,276.5,277.0,303.5,277.0,302.95,300.7,294.73,4510955,75370,1355884,30.06
STLTECH, EQ, 25-Oct-2021,300.7,304.5,308.0,290.0,291.3,291.2,298.82,2500902,46468,739629,29.57
STLTECH, EQ, 26-Oct-2021,291.2,291.2,299.9,287.0,289.0,288.15,293.18,1190596,24275,286586,24.07
STLTECH, EQ, 27-Oct-2021,288.15,289.0,293.6,281.1,282.95,282.2,286.45,520534,12595,229603,44.11
STLTECH, EQ, 28-Oct-2021,282.2,283.95,284.45,271.75,273.95,273.35,276.26,482594,11716,214948,44.54
STLTECH, EQ, 29-Oct-2021,273.35,273.0,277.5,264.25,275.0,273.85,272.34,508258,14876,124686,24.53
STLTECH, EQ, 01-Nov-2021,273.85,274.3,278.7,270.1,273.5,273.0,273.77,555325,20045,194927,35.1
STLTECH, EQ, 02-Nov-2021,273.0,274.4,283.45,273.3,276.1,276.45,278.62,525213,13379,180121,34.29
STLTECH, EQ, 03-Nov-2021,276.45,278.75,280.95,271.15,272.0,272.4,274.59,298940,8308,136057,45.51
STLTECH, EQ, 08-Nov-2021,275.45,278.0,278.8,272.0,272.9,272.45,273.43,280195,6318,156020,55.68
STLTECH, EQ, 09-Nov-2021,272.45,273.0,277.65,271.6,272.5,272.4,274.13,229539,4718,124268,54.14
STLTECH, EQ, 10-Nov-2021,272.4,272.5,274.8,269.1,269.9,270.05,271.87,209013,4394,117548,56.24
STLTECH, EQ, 11-Nov-2021,270.05,270.9,272.8,267.1,268.0,267.65,269.54,198611,5493,105232,52.98
STLTECH, EQ, 12-Nov-2021,267.65,269.8,277.55,268.4,276.25,276.35,274.99,519634,10227,264769,50.95
STLTECH, EQ, 15-Nov-2021,276.35,277.5,287.0,276.65,286.0,285.5,281.91,1298988,20466,853856,65.73
STLTECH, EQ, 16-Nov-2021,285.5,286.8,311.5,283.25,303.1,304.35,304.06,5751333,72653,3173554,55.18
STLTECH, EQ, 17-Nov-2021,304.35,300.0,304.95,292.0,294.0,295.45,298.97,816755,19666,265905,32.56
STLTECH, EQ, 18-Nov-2021,295.45,299.95,299.95,282.75,288.0,287.75,288.26,713825,14341,247220,34.63
STLTECH, EQ, 22-Nov-2021,287.75,287.3,290.0,275.0,276.95,276.3,281.23,456719,11833,196783,43.09
STLTECH, EQ, 23-Nov-2021,276.3,275.0,280.0,271.55,277.15,277.6,277.41,385081,8355,170307,44.23
STLTECH, EQ, 24-Nov-2021,277.6,278.0,285.95,276.65,277.5,278.35,281.31,337884,7518,113306,33.53
STLTECH, EQ, 25-Nov-2021,278.35,278.9,285.1,278.0,279.0,278.7,280.03,266802,5942,105842,39.67
STLTECH, EQ, 26-Nov-2021,278.7,276.7,280.8,268.0,268.1,269.25,273.59,472622,12977,232637,49.22
STLTECH, EQ, 29-Nov-2021,269.25,271.15,272.6,260.6,266.6,268.3,267.77,437270,11342,167371,38.28
STLTECH, EQ, 30-Nov-2021,268.3,271.0,278.9,268.05,275.1,276.35,274.0,489347,12368,189636,38.75
STLTECH, EQ, 01-Dec-2021,276.35,278.9,278.9,268.85,270.95,270.8,271.79,274742,6885,120918,44.01
STLTECH, EQ, 02-Dec-2021,270.8,271.0,275.6,270.05,272.8,271.7,272.56,153013,4516,49107,32.09
STLTECH, EQ, 03-Dec-2021,271.7,272.9,288.0,272.8,287.0,285.2,281.94,892306,15778,330875,37.08
STLTECH, EQ, 06-Dec-2021,285.2,286.9,288.85,279.55,284.4,284.35,283.5,481453,9859,159107,33.05
STLTECH, EQ, 07-Dec-2021,284.35,285.0,287.0,283.0,284.5,284.2,284.46,222609,4425,105275,47.29
STLTECH, EQ, 08-Dec-2021,284.2,283.5,295.55,283.5,288.25,288.85,290.01,656767,11919,283682,43.19
STLTECH, EQ, 09-Dec-2021,288.85,288.85,298.0,288.85,294.15,293.7,293.94,477260,13391,202905,42.51
STLTECH, EQ, 10-Dec-2021,293.7,295.0,300.0,291.35,294.1,295.3,296.09,935612,13336,533757,57.05
STLTECH, EQ, 13-Dec-2021,295.3,302.0,317.4,295.75,299.4,299.9,309.73,3095537,56037,775729,25.06
STLTECH, EQ, 14-Dec-2021,299.9,299.75,307.7,296.0,304.8,305.2,302.25,720039,14732,237950,33.05
STLTECH, EQ, 15-Dec-2021,305.2,305.2,306.4,291.0,294.0,293.8,297.81,536947,11241,226332,42.15
STLTECH, EQ, 16-Dec-2021,293.8,295.8,296.6,287.0,288.9,288.95,290.56,417025,9533,155112,37.19
STLTECH, EQ, 17-Dec-2021,288.95,290.7,299.65,281.45,293.8,292.25,293.07,1343283,23956,449049,33.43
STLTECH, EQ, 20-Dec-2021,292.25,290.0,290.2,281.0,284.5,285.05,285.7,599799,13701,314717,52.47
STLTECH, EQ, 21-Dec-2021,285.05,289.45,294.35,285.7,288.35,289.35,290.77,401580,10605,195081,48.58
STLTECH, EQ, 22-Dec-2021,289.35,290.7,294.0,284.8,286.1,286.1,289.15,278623,7232,118628,42.58
STLTECH, EQ, 23-Dec-2021,286.1,289.0,291.35,284.15,284.15,284.8,287.24,174668,5174,63241,36.21
STLTECH, EQ, 24-Dec-2021,284.8,287.4,287.7,281.0,281.4,281.75,283.09,218332,6843,79446,36.39
STLTECH, EQ, 27-Dec-2021,281.75,281.45,286.55,279.1,280.85,280.8,282.81,241572,6265,75336,31.19
STLTECH, EQ, 28-Dec-2021,280.8,282.2,289.9,282.2,288.15,288.2,286.89,320215,6287,141644,44.23
STLTECH, EQ, 29-Dec-2021,288.2,290.9,293.9,287.8,292.9,292.2,290.85,989845,11194,677936,68.49
STLTECH, EQ, 30-Dec-2021,292.2,294.6,298.9,286.1,291.9,291.6,293.42,1420106,13886,988474,69.61
STLTECH, EQ, 31-Dec-2021,291.6,291.65,293.9,286.0,286.75,287.75,289.57,295081,6166,165398,56.05
STLTECH, EQ, 03-Jan-2022,287.75,287.95,292.7,284.1,284.55,284.65,288.2,942789,10931,626867,66.49
STLTECH, EQ, 04-Jan-2022,284.65,286.0,287.4,279.15,281.1,281.0,282.22,498527,13829,241428,48.43
STLTECH, EQ, 05-Jan-2022,281.0,281.8,285.5,279.0,279.8,280.4,282.72,1067393,19819,648699,60.77
STLTECH, EQ, 06-Jan-2022,280.4,280.25,280.25,274.45,274.5,274.95,276.4,521660,11114,291148,55.81
STLTECH, EQ, 07-Jan-2022,274.95,275.25,279.55,270.95,274.5,275.25,274.44,629045,18107,309194,49.15
STLTECH, EQ, 10-Jan-2022,275.25,273.0,281.7,273.0,273.2,273.7,277.14,922099,24613,572267,62.06
STLTECH, EQ, 11-Jan-2022,273.7,275.0,275.5,272.3,273.5,273.6,273.93,334328,6796,170203,50.91
STLTECH, EQ, 12-Jan-2022,273.6,275.85,277.9,273.4,273.55,274.25,275.25,308900,5592,159309,51.57
STLTECH, EQ, 13-Jan-2022,274.25,276.8,279.95,273.5,275.0,274.05,276.38,624112,9822,319161,51.14
STLTECH, EQ, 14-Jan-2022,274.05,274.0,277.75,272.5,273.85,274.05,274.88,510284,10619,297023,58.21
STLTECH, EQ, 17-Jan-2022,274.05,275.8,277.7,270.5,271.55,271.55,273.31,680572,14237,388885,57.14
STLTECH, EQ, 18-Jan-2022,271.55,273.9,277.5,267.0,269.45,269.25,272.64,970020,20447,376226,38.79
STLTECH, EQ, 19-Jan-2022,269.25,270.8,273.9,247.1,248.0,249.15,256.01,4860325,81590,1272850,26.19
STLTECH, EQ, 20-Jan-2022,249.15,242.0,246.2,217.6,222.0,221.95,225.28,7571750,105113,2607360,34.44
STLTECH, EQ, 21-Jan-2022,221.95,221.0,224.0,205.1,208.9,209.25,217.0,3567950,55940,1116210,31.28
