SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUDARSCHEM, EQ, 17-Sep-2021,677.0,677.95,683.0,655.0,657.4,658.0,665.21,312647,11826,135465,43.33
SUDARSCHEM, EQ, 20-Sep-2021,658.0,656.0,659.95,642.0,643.0,643.55,650.37,186108,6645,84566,45.44
SUDARSCHEM, EQ, 21-Sep-2021,643.55,646.45,653.5,630.0,648.0,645.75,640.75,183890,7965,68904,37.47
SUDARSCHEM, EQ, 22-Sep-2021,645.75,651.4,657.95,647.35,648.2,651.2,652.96,156630,5451,61564,39.31
SUDARSCHEM, EQ, 23-Sep-2021,651.2,654.3,667.5,654.3,664.1,664.35,663.73,212539,6439,105661,49.71
SUDARSCHEM, EQ, 24-Sep-2021,664.35,667.45,689.8,666.0,668.25,668.25,674.98,523469,20931,199442,38.1
SUDARSCHEM, EQ, 27-Sep-2021,668.25,671.6,674.0,657.35,666.8,667.35,666.31,159068,7822,66460,41.78
SUDARSCHEM, EQ, 28-Sep-2021,667.35,673.2,676.25,661.6,668.9,668.15,668.1,168444,8506,78958,46.87
SUDARSCHEM, EQ, 29-Sep-2021,668.15,668.0,669.25,661.0,666.2,665.6,664.85,113276,3600,58261,51.43
SUDARSCHEM, EQ, 30-Sep-2021,665.6,668.0,681.0,656.0,660.0,658.15,666.43,304716,11894,165180,54.21
SUDARSCHEM, EQ, 01-Oct-2021,658.15,661.0,661.6,651.0,654.55,654.45,656.79,102710,4908,52453,51.07
SUDARSCHEM, EQ, 04-Oct-2021,654.45,660.0,667.15,653.25,659.95,657.65,659.25,183594,7939,98711,53.77
SUDARSCHEM, EQ, 05-Oct-2021,657.65,659.6,700.0,658.0,685.4,690.15,686.22,1836012,46633,542497,29.55
SUDARSCHEM, EQ, 06-Oct-2021,690.15,688.0,714.9,676.6,678.0,681.5,698.21,1467800,45423,423371,28.84
SUDARSCHEM, EQ, 07-Oct-2021,681.5,686.85,692.5,676.55,681.0,680.9,682.53,331959,11288,118728,35.77
SUDARSCHEM, EQ, 08-Oct-2021,680.9,684.5,685.9,673.0,675.0,675.3,677.79,184105,7882,75489,41.0
SUDARSCHEM, EQ, 11-Oct-2021,675.3,677.0,680.95,665.6,668.6,669.3,673.83,178257,8935,86169,48.34
SUDARSCHEM, EQ, 12-Oct-2021,669.3,670.0,673.85,658.4,665.9,664.9,664.44,145367,6790,71174,48.96
SUDARSCHEM, EQ, 13-Oct-2021,664.9,670.9,682.9,665.0,667.85,666.5,671.27,137931,6936,61046,44.26
SUDARSCHEM, EQ, 14-Oct-2021,666.5,670.9,678.3,661.6,662.15,664.0,666.57,210272,11161,95546,45.44
SUDARSCHEM, EQ, 18-Oct-2021,664.0,665.0,676.5,658.05,661.5,661.2,665.2,192771,11091,90761,47.08
SUDARSCHEM, EQ, 19-Oct-2021,661.2,661.5,668.0,651.0,655.0,655.9,660.69,145749,7264,68244,46.82
SUDARSCHEM, EQ, 20-Oct-2021,655.9,654.0,657.55,639.0,642.25,641.15,644.87,199977,10213,123926,61.97
SUDARSCHEM, EQ, 21-Oct-2021,641.15,646.8,649.35,604.3,612.0,608.95,619.29,409714,18244,272034,66.4
SUDARSCHEM, EQ, 22-Oct-2021,608.95,611.0,627.5,603.15,611.95,606.75,617.1,234381,14822,86877,37.07
SUDARSCHEM, EQ, 25-Oct-2021,606.75,612.15,619.9,600.85,612.25,612.15,610.86,170376,8909,72813,42.74
SUDARSCHEM, EQ, 26-Oct-2021,612.15,614.9,618.3,601.0,607.9,605.9,608.57,119764,10482,56257,46.97
SUDARSCHEM, EQ, 27-Oct-2021,605.9,614.0,614.0,595.4,600.35,597.6,601.75,190569,9910,124992,65.59
SUDARSCHEM, EQ, 28-Oct-2021,597.6,601.8,604.5,577.55,580.0,579.55,586.54,204318,9108,112348,54.99
SUDARSCHEM, EQ, 29-Oct-2021,579.55,578.05,586.0,550.25,573.95,568.5,571.7,320861,18301,152984,47.68
SUDARSCHEM, EQ, 01-Nov-2021,568.5,581.0,594.0,573.2,587.0,586.65,585.8,184027,8628,57544,31.27
SUDARSCHEM, EQ, 02-Nov-2021,586.65,589.65,608.4,586.25,608.4,603.2,598.25,154735,10134,69145,44.69
SUDARSCHEM, EQ, 03-Nov-2021,603.2,607.0,607.5,593.0,600.0,599.95,599.18,137826,9196,49703,36.06
SUDARSCHEM, EQ, 08-Nov-2021,605.7,607.95,610.4,570.0,594.0,596.5,601.63,196479,7768,69751,35.5
SUDARSCHEM, EQ, 09-Nov-2021,596.5,596.5,610.0,592.9,606.0,605.35,603.28,95819,5033,29358,30.64
SUDARSCHEM, EQ, 10-Nov-2021,605.35,603.0,607.1,595.2,599.0,598.15,601.42,120329,5995,36326,30.19
SUDARSCHEM, EQ, 11-Nov-2021,598.15,596.1,604.95,595.0,600.0,598.9,599.69,57850,3457,30853,53.33
SUDARSCHEM, EQ, 12-Nov-2021,598.9,600.0,601.85,579.2,585.6,585.1,585.75,154301,8412,76832,49.79
