SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUPRAJIT, EQ, 17-Sep-2021,326.0,326.0,329.15,320.55,326.9,326.4,325.53,268145,9582,126837,47.3
SUPRAJIT, EQ, 20-Sep-2021,326.4,328.0,329.0,316.1,318.25,321.55,324.97,141879,5751,79397,55.96
SUPRAJIT, EQ, 21-Sep-2021,321.55,318.3,322.0,310.55,320.5,320.45,315.49,159158,7090,65751,41.31
SUPRAJIT, EQ, 22-Sep-2021,320.45,320.0,320.15,313.0,314.2,314.3,315.35,184681,6802,94392,51.11
SUPRAJIT, EQ, 23-Sep-2021,314.3,316.9,318.35,313.8,315.55,314.95,315.85,127280,4883,65714,51.63
SUPRAJIT, EQ, 24-Sep-2021,314.95,314.95,318.0,312.0,313.75,313.05,314.94,74456,4191,32344,43.44
SUPRAJIT, EQ, 27-Sep-2021,313.05,313.1,325.0,312.5,321.1,321.5,319.05,154595,6583,58271,37.69
SUPRAJIT, EQ, 28-Sep-2021,321.5,323.2,337.5,322.5,332.0,331.15,330.79,523384,18525,212361,40.57
SUPRAJIT, EQ, 29-Sep-2021,331.15,331.15,334.8,325.35,332.95,331.75,330.95,160890,8622,70927,44.08
SUPRAJIT, EQ, 30-Sep-2021,331.75,332.05,334.3,320.5,322.0,321.6,325.59,156534,11303,82947,52.99
SUPRAJIT, EQ, 01-Oct-2021,321.6,321.6,326.15,320.15,324.6,323.95,323.54,116278,5469,62954,54.14
SUPRAJIT, EQ, 04-Oct-2021,323.95,327.0,328.55,321.3,324.45,323.4,324.66,105790,5433,46669,44.11
SUPRAJIT, EQ, 05-Oct-2021,323.4,321.0,328.5,321.0,323.9,322.95,324.72,159594,8384,54061,33.87
SUPRAJIT, EQ, 06-Oct-2021,322.95,324.7,332.0,323.0,327.1,327.05,326.22,283047,9550,182078,64.33
SUPRAJIT, EQ, 07-Oct-2021,327.05,328.5,344.7,328.5,341.9,341.15,338.51,340463,16242,168592,49.52
SUPRAJIT, EQ, 08-Oct-2021,341.15,344.6,365.4,344.6,351.1,349.75,357.18,941032,43020,288952,30.71
SUPRAJIT, EQ, 11-Oct-2021,349.75,352.9,369.9,352.9,369.6,367.3,363.95,585305,22296,233712,39.93
SUPRAJIT, EQ, 12-Oct-2021,367.3,370.1,376.3,356.15,357.0,359.2,366.34,368017,17359,143482,38.99
SUPRAJIT, EQ, 13-Oct-2021,359.2,359.3,379.35,355.55,376.65,377.15,371.08,589680,19929,230598,39.11
SUPRAJIT, EQ, 14-Oct-2021,377.15,378.6,386.3,373.3,380.0,380.25,380.92,309303,13064,115785,37.43
SUPRAJIT, EQ, 18-Oct-2021,380.25,383.5,398.9,380.3,393.7,391.95,392.51,393385,16376,157986,40.16
SUPRAJIT, EQ, 19-Oct-2021,391.95,392.8,393.9,370.0,373.0,372.2,379.64,262207,14458,125658,47.92
SUPRAJIT, EQ, 20-Oct-2021,372.2,372.0,372.0,349.85,362.5,362.9,360.09,248567,15416,109924,44.22
SUPRAJIT, EQ, 21-Oct-2021,362.9,367.0,371.95,360.1,367.2,364.85,366.48,119200,6820,53073,44.52
SUPRAJIT, EQ, 22-Oct-2021,364.85,368.4,374.1,339.2,344.0,344.4,353.97,156565,9501,66420,42.42
SUPRAJIT, EQ, 25-Oct-2021,344.4,345.0,361.15,330.0,339.25,338.25,344.07,218069,12496,71601,32.83
SUPRAJIT, EQ, 26-Oct-2021,338.25,339.0,368.0,338.5,367.9,365.05,357.19,288597,13975,67496,23.39
SUPRAJIT, EQ, 27-Oct-2021,365.05,366.75,370.75,355.2,358.0,358.8,362.7,113876,8281,36460,32.02
SUPRAJIT, EQ, 28-Oct-2021,358.8,360.9,367.9,347.15,355.15,354.35,359.32,185348,10906,49510,26.71
SUPRAJIT, EQ, 29-Oct-2021,354.35,364.9,366.0,341.15,344.0,344.3,355.74,354825,16439,85152,24.0
SUPRAJIT, EQ, 01-Nov-2021,344.3,345.9,367.6,345.9,356.2,356.95,355.84,255834,14305,43457,16.99
SUPRAJIT, EQ, 02-Nov-2021,356.95,358.5,371.65,358.5,366.0,366.4,366.15,272891,12147,68317,25.03
SUPRAJIT, EQ, 03-Nov-2021,366.4,368.4,377.0,360.0,373.85,373.5,368.07,350988,18100,78429,22.35
SUPRAJIT, EQ, 08-Nov-2021,369.8,372.0,380.5,368.65,377.0,376.75,375.75,228901,9582,68905,30.1
SUPRAJIT, EQ, 09-Nov-2021,376.75,378.3,381.05,376.0,377.8,377.7,379.3,113356,3978,39276,34.65
SUPRAJIT, EQ, 10-Nov-2021,377.7,377.1,381.4,360.55,365.9,363.7,369.97,127032,6324,60898,47.94
SUPRAJIT, EQ, 11-Nov-2021,363.7,360.0,367.15,358.0,363.2,362.65,360.91,121953,7918,65293,53.54
SUPRAJIT, EQ, 12-Nov-2021,362.65,368.95,384.65,365.35,380.0,380.65,371.91,798561,15533,562343,70.42
SUPRAJIT, EQ, 15-Nov-2021,380.65,383.9,438.9,375.5,436.9,430.05,416.98,3064268,71464,489818,15.98
SUPRAJIT, EQ, 16-Nov-2021,430.05,431.15,474.9,430.5,453.0,455.3,455.39,5349658,147396,667546,12.48
SUPRAJIT, EQ, 17-Nov-2021,455.3,450.0,466.4,444.1,465.0,462.2,459.18,1146990,39777,230854,20.13
SUPRAJIT, EQ, 18-Nov-2021,462.2,466.0,467.1,442.5,455.3,448.65,453.55,642130,27064,167731,26.12
SUPRAJIT, EQ, 22-Nov-2021,448.65,454.0,454.0,412.0,436.4,435.8,438.63,265445,13661,140680,53.0
SUPRAJIT, EQ, 23-Nov-2021,435.8,442.0,446.0,425.2,442.5,439.3,439.05,254630,16149,92816,36.45
SUPRAJIT, EQ, 24-Nov-2021,439.3,445.5,449.0,425.0,426.9,428.7,439.69,179606,9292,103045,57.37
SUPRAJIT, EQ, 25-Nov-2021,428.7,433.0,466.0,431.5,460.15,461.7,450.54,385885,16017,170793,44.26
SUPRAJIT, EQ, 26-Nov-2021,461.7,455.2,470.0,441.0,441.05,445.7,452.64,442255,14278,279980,63.31
SUPRAJIT, EQ, 29-Nov-2021,445.7,441.0,441.0,420.0,426.5,426.1,430.01,150506,12845,83218,55.29
SUPRAJIT, EQ, 30-Nov-2021,426.1,429.75,450.0,402.0,407.0,415.85,427.52,1341097,36930,1008239,75.18
SUPRAJIT, EQ, 01-Dec-2021,415.85,409.7,425.0,407.9,414.75,413.35,416.74,194239,11288,77045,39.67
SUPRAJIT, EQ, 02-Dec-2021,413.35,416.9,424.55,411.6,417.0,419.15,417.04,129020,10248,52239,40.49
SUPRAJIT, EQ, 03-Dec-2021,419.15,419.8,435.85,415.0,416.2,415.9,422.18,175284,10615,55648,31.75
SUPRAJIT, EQ, 06-Dec-2021,415.9,418.0,419.55,400.15,403.9,402.45,407.58,123572,8119,54698,44.26
SUPRAJIT, EQ, 07-Dec-2021,402.45,408.0,410.25,401.1,405.6,404.95,405.42,82374,5905,32777,39.79
SUPRAJIT, EQ, 08-Dec-2021,404.95,408.95,417.9,404.05,405.8,406.65,410.29,137078,8902,54097,39.46
SUPRAJIT, EQ, 09-Dec-2021,406.65,408.7,425.15,404.05,408.1,408.4,408.79,139744,7583,46933,33.58
SUPRAJIT, EQ, 10-Dec-2021,408.4,409.4,423.0,408.8,414.5,416.5,416.86,288238,11949,78572,27.26
