SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUVIDHAA, EQ, 17-Sep-2021,18.8,19.15,19.25,17.5,17.7,17.7,18.04,623037,1065,356949,57.29
SUVIDHAA, EQ, 20-Sep-2021,17.7,17.7,18.7,17.5,18.1,18.25,17.96,253835,950,125240,49.34
SUVIDHAA, EQ, 21-Sep-2021,18.25,18.65,19.0,17.35,17.4,17.45,17.71,253166,756,139658,55.16
SUVIDHAA, EQ, 22-Sep-2021,17.45,17.45,19.0,17.45,17.6,17.75,18.08,319156,724,57526,18.02
SUVIDHAA, EQ, 23-Sep-2021,17.75,18.25,18.7,17.25,17.25,17.35,17.88,791800,877,328002,41.42
SUVIDHAA, EQ, 24-Sep-2021,17.35,17.65,17.95,16.9,17.1,17.3,17.26,528633,869,378519,71.6
SUVIDHAA, EQ, 27-Sep-2021,17.3,17.45,17.75,16.55,16.9,16.85,17.01,142280,523,90795,63.81
SUVIDHAA, EQ, 28-Sep-2021,16.85,17.25,17.25,16.65,16.8,16.85,16.88,41227,285,37026,89.81
SUVIDHAA, EQ, 29-Sep-2021,16.85,16.85,17.1,16.45,16.65,16.55,16.72,109871,395,87426,79.57
SUVIDHAA, EQ, 30-Sep-2021,16.55,16.45,17.1,15.7,15.9,15.95,16.2,287453,1034,196309,68.29
SUVIDHAA, EQ, 01-Oct-2021,15.95,16.15,16.9,15.5,15.8,15.9,16.01,754640,747,635883,84.26
SUVIDHAA, EQ, 04-Oct-2021,15.9,16.5,17.0,15.95,16.55,16.5,16.46,781355,796,629368,80.55
SUVIDHAA, EQ, 05-Oct-2021,16.5,17.4,18.15,16.8,17.0,17.0,17.57,2697766,4334,1137405,42.16
SUVIDHAA, EQ, 06-Oct-2021,17.0,17.45,17.8,16.1,16.3,16.3,16.59,656307,2370,463726,70.66
SUVIDHAA, EQ, 07-Oct-2021,16.3,16.7,17.7,16.3,16.75,16.75,16.77,919112,2406,306478,33.35
SUVIDHAA, EQ, 08-Oct-2021,16.75,17.05,17.55,16.65,16.8,16.7,16.83,533309,1394,262163,49.16
SUVIDHAA, EQ, 11-Oct-2021,16.7,17.2,17.65,16.25,16.4,16.4,16.64,1398622,1988,776263,55.5
SUVIDHAA, EQ, 12-Oct-2021,16.4,16.6,17.45,16.05,16.35,16.7,16.48,751738,1681,352982,46.96
SUVIDHAA, EQ, 13-Oct-2021,16.7,16.7,16.85,16.25,16.25,16.35,16.39,307979,1133,262183,85.13
SUVIDHAA, EQ, 14-Oct-2021,16.35,16.6,16.6,16.0,16.1,16.1,16.21,256982,1053,211703,82.38
SUVIDHAA, EQ, 18-Oct-2021,16.1,16.4,16.8,15.85,15.85,15.9,16.15,634445,1742,393415,62.01
SUVIDHAA, EQ, 19-Oct-2021,15.9,15.9,16.3,15.45,15.65,15.55,15.67,450464,1553,277899,61.69
SUVIDHAA, EQ, 20-Oct-2021,15.55,15.75,15.9,15.0,15.15,15.45,15.31,307656,1227,165915,53.93
SUVIDHAA, EQ, 21-Oct-2021,15.45,15.65,15.65,14.95,15.15,15.05,15.03,692770,907,635190,91.69
SUVIDHAA, EQ, 22-Oct-2021,15.05,15.35,15.9,15.05,15.2,15.15,15.27,495572,994,145684,29.4
SUVIDHAA, EQ, 25-Oct-2021,15.15,15.5,16.0,14.2,14.4,14.25,14.98,406162,1384,176881,43.55
SUVIDHAA, EQ, 26-Oct-2021,14.25,14.55,16.9,13.7,14.4,14.35,14.94,1263216,2586,306873,24.29
SUVIDHAA, EQ, 27-Oct-2021,14.35,14.55,14.85,14.15,14.4,14.3,14.42,194636,762,101662,52.23
SUVIDHAA, EQ, 28-Oct-2021,14.3,14.7,14.7,12.75,13.45,13.4,13.68,220485,887,200456,90.92
SUVIDHAA, EQ, 29-Oct-2021,13.4,13.45,14.2,11.95,12.5,12.5,12.83,600685,1933,288701,48.06
SUVIDHAA, EQ, 01-Nov-2021,12.5,12.75,13.4,12.35,12.6,12.65,12.75,248157,1236,121800,49.08
SUVIDHAA, EQ, 02-Nov-2021,12.65,12.95,13.0,12.6,12.7,12.75,12.74,192487,710,137987,71.69
SUVIDHAA, EQ, 03-Nov-2021,12.75,13.0,13.2,12.55,12.6,12.6,12.77,123110,659,77397,62.87
SUVIDHAA, EQ, 08-Nov-2021,12.95,13.1,13.8,12.85,13.7,13.65,13.5,207392,935,160324,77.3
SUVIDHAA, EQ, 09-Nov-2021,13.65,13.9,13.95,13.0,13.2,13.15,13.41,907660,1225,574055,63.25
SUVIDHAA, EQ, 10-Nov-2021,13.15,13.4,13.65,12.7,12.7,12.75,12.87,408677,1115,237196,58.04
SUVIDHAA, EQ, 11-Nov-2021,12.75,13.15,13.15,12.55,12.65,12.65,12.7,140859,670,103985,73.82
SUVIDHAA, EQ, 12-Nov-2021,12.65,12.45,13.0,12.45,12.7,12.75,12.81,105852,805,83923,79.28
SUVIDHAA, EQ, 15-Nov-2021,12.75,12.75,13.0,11.55,12.0,12.0,12.06,688768,1281,617508,89.65
SUVIDHAA, EQ, 16-Nov-2021,12.0,11.8,12.15,11.7,11.75,11.8,11.89,201656,883,172783,85.68
SUVIDHAA, EQ, 17-Nov-2021,11.8,12.0,12.3,11.65,11.75,11.7,11.87,227896,723,147828,64.87
SUVIDHAA, EQ, 18-Nov-2021,11.7,11.9,12.0,11.4,11.5,11.45,11.62,376446,799,250462,66.53
SUVIDHAA, EQ, 22-Nov-2021,11.45,11.45,11.8,10.6,10.8,10.75,10.96,230679,1004,158882,68.88
SUVIDHAA, EQ, 23-Nov-2021,10.75,10.75,12.9,10.5,11.6,11.85,11.83,1921374,2143,696002,36.22
SUVIDHAA, EQ, 24-Nov-2021,11.85,11.85,12.35,11.2,11.25,11.35,11.57,800963,2028,455648,56.89
SUVIDHAA, EQ, 25-Nov-2021,11.35,11.6,11.7,10.75,10.75,10.95,11.1,1018233,1481,575193,56.49
SUVIDHAA, EQ, 26-Nov-2021,10.95,11.0,11.2,10.7,10.7,10.75,10.9,274995,987,214337,77.94
SUVIDHAA, EQ, 29-Nov-2021,10.75,11.0,11.0,9.7,10.3,10.45,10.4,159569,1024,79268,49.68
SUVIDHAA, EQ, 30-Nov-2021,10.45,10.45,10.85,10.4,10.7,10.65,10.63,121562,610,79518,65.41
SUVIDHAA, EQ, 01-Dec-2021,10.65,10.9,10.9,10.4,10.6,10.65,10.66,86094,593,66047,76.71
SUVIDHAA, EQ, 02-Dec-2021,10.65,10.8,10.9,10.1,10.5,10.6,10.6,158904,633,112644,70.89
SUVIDHAA, EQ, 03-Dec-2021,10.6,10.3,10.8,10.3,10.65,10.6,10.57,137233,596,107736,78.51
SUVIDHAA, EQ, 06-Dec-2021,10.6,10.4,10.65,10.4,10.55,10.5,10.54,106379,605,69160,65.01
SUVIDHAA, EQ, 07-Dec-2021,10.5,10.65,12.0,10.25,10.3,10.5,10.74,1449434,1717,650798,44.9
SUVIDHAA, EQ, 08-Dec-2021,10.5,10.6,10.8,10.3,10.35,10.4,10.52,273399,904,176138,64.43
SUVIDHAA, EQ, 09-Dec-2021,10.4,10.6,10.6,10.35,10.45,10.45,10.49,183851,720,155913,84.8
SUVIDHAA, EQ, 10-Dec-2021,10.45,10.65,10.7,10.0,10.05,10.15,10.16,1022308,1632,586963,57.42
SUVIDHAA, EQ, 13-Dec-2021,10.15,10.45,10.45,10.15,10.25,10.35,10.26,316694,922,217031,68.53
SUVIDHAA, EQ, 14-Dec-2021,10.35,10.35,11.65,10.2,11.6,11.1,10.84,657254,1500,488073,74.26
SUVIDHAA, EQ, 15-Dec-2021,11.1,11.7,13.3,11.65,13.3,13.3,12.52,4754013,5809,1853679,38.99
SUVIDHAA, EQ, 16-Dec-2021,13.3,13.95,15.95,13.2,15.95,15.9,14.79,8686482,15190,3090583,35.58
SUVIDHAA, EQ, 17-Dec-2021,15.9,16.9,16.9,14.35,14.45,14.4,15.6,5167274,11029,2617916,50.66
SUVIDHAA, EQ, 20-Dec-2021,14.4,14.65,14.65,13.0,13.05,13.15,13.37,1173579,3542,700369,59.68
SUVIDHAA, EQ, 21-Dec-2021,13.15,13.05,14.45,13.05,13.65,13.6,13.95,1988658,3966,1100262,55.33
SUVIDHAA, EQ, 22-Dec-2021,13.6,14.0,14.4,12.65,13.0,12.8,13.2,2277509,3790,991077,43.52
SUVIDHAA, EQ, 23-Dec-2021,12.8,13.1,13.5,12.15,12.35,12.35,12.62,1522901,2716,770198,50.57
SUVIDHAA, EQ, 24-Dec-2021,12.35,12.4,12.55,11.8,12.0,11.9,12.02,1165687,2169,921655,79.07
SUVIDHAA, EQ, 27-Dec-2021,11.9,12.3,12.3,11.35,11.35,11.35,11.62,2132637,2761,1566072,73.43
SUVIDHAA, EQ, 28-Dec-2021,11.35,11.35,11.5,10.8,10.85,10.9,10.93,4262615,4699,3072397,72.08
SUVIDHAA, EQ, 29-Dec-2021,10.9,10.95,11.4,10.95,11.4,11.4,11.3,3711772,3354,1862596,50.18
SUVIDHAA, EQ, 30-Dec-2021,11.4,11.6,11.95,11.55,11.95,11.95,11.85,2046888,2491,1443711,70.53
SUVIDHAA, EQ, 31-Dec-2021,11.95,12.25,12.5,11.8,12.4,12.35,12.35,2885192,3505,1686856,58.47
SUVIDHAA, EQ, 03-Jan-2022,12.35,12.65,12.95,12.4,12.7,12.75,12.82,3544178,4566,2240054,63.2
SUVIDHAA, EQ, 04-Jan-2022,12.75,12.9,12.9,12.15,12.15,12.15,12.25,2471036,3937,1550802,62.76
SUVIDHAA, EQ, 05-Jan-2022,12.15,12.15,12.2,11.55,11.75,11.85,11.71,1971185,3104,1077510,54.66
SUVIDHAA, EQ, 06-Jan-2022,11.85,11.6,12.4,11.55,12.4,12.4,12.26,1885331,2619,1160052,61.53
SUVIDHAA, EQ, 07-Jan-2022,12.4,12.4,12.75,12.2,12.6,12.6,12.64,929777,2181,688127,74.01
SUVIDHAA, EQ, 10-Jan-2022,12.6,13.0,13.2,12.8,13.2,13.15,12.98,1181823,2471,947773,80.2
SUVIDHAA, EQ, 11-Jan-2022,13.15,13.7,13.75,12.9,13.0,13.05,13.22,1298627,3381,836274,64.4
SUVIDHAA, EQ, 12-Jan-2022,13.05,13.15,13.35,12.4,12.6,12.55,12.66,1523442,3087,976933,64.13
SUVIDHAA, EQ, 13-Jan-2022,12.55,12.75,12.8,12.3,12.7,12.65,12.6,621385,1434,378013,60.83
SUVIDHAA, EQ, 14-Jan-2022,12.65,12.75,12.9,12.6,12.8,12.85,12.77,507736,1438,377107,74.27
SUVIDHAA, EQ, 17-Jan-2022,12.85,13.0,13.25,12.5,12.7,12.75,12.81,588830,1618,386641,65.66
SUVIDHAA, EQ, 18-Jan-2022,12.75,12.9,13.05,12.15,12.25,12.25,12.65,677730,1473,447554,66.04
SUVIDHAA, EQ, 19-Jan-2022,12.25,12.5,12.85,12.2,12.8,12.75,12.66,1045016,1988,693781,66.39
SUVIDHAA, EQ, 20-Jan-2022,12.75,13.0,13.0,12.55,12.8,12.75,12.71,372629,1055,223366,59.94
SUVIDHAA, EQ, 21-Jan-2022,12.75,12.75,12.9,12.25,12.4,12.35,12.4,373182,1201,278764,74.7
SUVIDHAA, EQ, 24-Jan-2022,12.35,12.15,12.65,11.75,11.75,11.75,11.88,518385,1457,336428,64.9
SUVIDHAA, EQ, 25-Jan-2022,11.75,11.35,12.0,11.2,11.75,11.7,11.38,584538,1516,287234,49.14
SUVIDHAA, EQ, 27-Jan-2022,11.7,11.4,12.1,11.3,11.85,11.65,11.65,265944,928,182464,68.61
SUVIDHAA, EQ, 28-Jan-2022,11.65,11.65,12.2,11.25,12.15,12.1,12.11,571906,1195,344852,60.3
SUVIDHAA, EQ, 31-Jan-2022,12.1,12.4,12.45,11.9,12.05,12.1,12.15,241740,976,144791,59.9
SUVIDHAA, EQ, 01-Feb-2022,12.1,12.2,12.2,11.85,11.95,11.95,12.04,177041,720,119236,67.35
SUVIDHAA, EQ, 02-Feb-2022,11.95,12.1,12.5,11.45,11.55,11.6,11.83,1813843,2082,667626,36.81
SUVIDHAA, EQ, 03-Feb-2022,11.6,11.65,12.15,11.25,11.3,11.35,11.59,1656554,1744,629147,37.98
SUVIDHAA, EQ, 04-Feb-2022,11.35,11.45,11.65,11.25,11.6,11.55,11.46,369959,1007,234425,63.37
SUVIDHAA, EQ, 07-Feb-2022,11.55,11.7,11.8,11.2,11.45,11.3,11.45,255589,844,175036,68.48
SUVIDHAA, EQ, 08-Feb-2022,11.3,11.3,11.6,11.3,11.4,11.35,11.41,210703,689,145827,69.21
SUVIDHAA, EQ, 09-Feb-2022,11.35,11.6,11.6,11.3,11.5,11.4,11.39,135302,542,85300,63.04
SUVIDHAA, EQ, 10-Feb-2022,11.4,11.5,11.6,11.3,11.35,11.35,11.37,192097,641,116733,60.77
SUVIDHAA, EQ, 11-Feb-2022,11.35,11.25,11.4,11.05,11.25,11.15,11.18,209245,699,120293,57.49
SUVIDHAA, EQ, 14-Feb-2022,11.15,10.65,11.0,10.65,10.9,10.8,10.84,225572,870,157572,69.85
SUVIDHAA, EQ, 15-Feb-2022,10.8,10.9,11.0,10.6,10.8,10.8,10.71,201952,701,119621,59.23
SUVIDHAA, EQ, 16-Feb-2022,10.8,10.95,10.95,10.6,10.7,10.65,10.68,272714,768,160760,58.95
SUVIDHAA, EQ, 17-Feb-2022,10.65,10.7,10.8,10.6,10.8,10.75,10.71,76632,339,63673,83.09
SUVIDHAA, EQ, 18-Feb-2022,10.75,10.85,10.95,10.6,10.6,10.65,10.72,110047,468,85844,78.01
SUVIDHAA, EQ, 21-Feb-2022,10.65,10.6,10.65,10.15,10.15,10.15,10.22,249219,893,132789,53.28
SUVIDHAA, EQ, 22-Feb-2022,10.15,10.0,10.0,9.65,9.65,9.65,9.77,340412,1240,187688,55.14
SUVIDHAA, EQ, 23-Feb-2022,9.65,9.9,10.1,9.7,10.1,10.1,10.05,60794,198,47462,78.07
SUVIDHAA, EQ, 24-Feb-2022,10.1,9.65,10.45,9.6,9.6,9.6,9.73,373186,849,210166,56.32
SUVIDHAA, EQ, 25-Feb-2022,9.6,9.6,10.05,9.2,10.05,10.05,9.79,627709,1146,277356,44.19
SUVIDHAA, EQ, 28-Feb-2022,10.05,10.2,10.2,9.65,9.8,9.75,9.77,275816,710,145578,52.78
SUVIDHAA, EQ, 02-Mar-2022,9.75,9.7,10.0,9.65,9.95,9.9,9.87,103159,532,72805,70.58
SUVIDHAA, EQ, 03-Mar-2022,9.9,10.2,10.2,9.8,9.9,9.95,10.0,103974,554,73442,70.63
SUVIDHAA, EQ, 04-Mar-2022,9.95,9.6,10.15,9.6,9.8,9.85,9.85,161320,549,69858,43.3
SUVIDHAA, EQ, 08-Mar-2022,9.65,9.85,10.05,9.75,9.95,9.95,9.97,296500,693,166422,56.13
SUVIDHAA, EQ, 09-Mar-2022,9.95,10.15,10.15,9.85,10.1,10.1,10.07,166738,660,133222,79.9
SUVIDHAA, EQ, 10-Mar-2022,10.1,10.4,10.6,10.2,10.45,10.5,10.53,410160,886,184600,45.01
SUVIDHAA, EQ, 11-Mar-2022,10.5,10.5,10.5,10.3,10.4,10.35,10.37,160649,618,103646,64.52
SUVIDHAA, EQ, 14-Mar-2022,10.35,10.5,10.5,9.85,9.85,9.85,9.92,683725,861,593518,86.81
SUVIDHAA, EQ, 15-Mar-2022,9.85,9.9,9.9,9.4,9.4,9.4,9.42,724678,1108,468962,64.71
SUVIDHAA, EQ, 16-Mar-2022,9.4,9.5,9.6,9.1,9.25,9.25,9.27,319073,1192,247494,77.57
