SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TATAMOTORS, EQ, 17-Sep-2021,311.65,312.0,315.35,306.0,308.15,308.6,310.9,24972069,197846,7769130,31.11
TATAMOTORS, EQ, 20-Sep-2021,308.6,304.9,310.25,297.3,297.8,298.95,304.42,19632688,209600,5758398,29.33
TATAMOTORS, EQ, 21-Sep-2021,298.95,298.6,302.7,293.1,301.6,301.95,297.82,19439330,170991,3576840,18.4
TATAMOTORS, EQ, 22-Sep-2021,301.95,303.15,313.8,303.0,310.0,310.1,309.74,29545253,242987,7652282,25.9
TATAMOTORS, EQ, 23-Sep-2021,310.1,313.2,324.0,313.2,321.0,321.5,320.11,52701665,406763,19717115,37.41
TATAMOTORS, EQ, 24-Sep-2021,321.5,325.1,326.95,316.05,317.6,317.95,321.43,28901243,253775,6895772,23.86
TATAMOTORS, EQ, 27-Sep-2021,317.95,323.15,333.6,323.15,331.0,331.65,329.81,56305136,470501,14894214,26.45
TATAMOTORS, EQ, 28-Sep-2021,331.65,334.0,336.0,324.5,328.7,329.3,330.97,28497009,260259,6297165,22.1
TATAMOTORS, EQ, 29-Sep-2021,329.3,325.0,333.0,324.0,330.35,330.25,329.0,19740150,169614,3950402,20.01
TATAMOTORS, EQ, 30-Sep-2021,330.25,331.25,337.9,329.1,333.7,333.35,333.73,30268517,228396,6839602,22.6
TATAMOTORS, EQ, 01-Oct-2021,333.35,332.65,337.3,325.7,332.9,333.3,331.4,29877695,232828,4898283,16.39
TATAMOTORS, EQ, 04-Oct-2021,333.3,336.8,343.25,335.15,342.0,342.0,340.89,29553072,297645,8249669,27.91
TATAMOTORS, EQ, 05-Oct-2021,342.0,340.45,351.5,338.85,345.0,344.95,346.53,31861985,266202,7956502,24.97
TATAMOTORS, EQ, 06-Oct-2021,344.95,347.0,348.7,335.0,335.6,336.05,340.48,25272592,213910,8977040,35.52
TATAMOTORS, EQ, 07-Oct-2021,336.05,341.1,383.0,339.25,378.5,376.5,368.3,163238084,1028809,27569259,16.89
TATAMOTORS, EQ, 08-Oct-2021,376.5,385.9,397.55,380.0,382.8,382.95,386.46,93728117,714038,16364554,17.46
TATAMOTORS, EQ, 11-Oct-2021,382.95,390.15,420.9,388.0,417.8,415.75,411.01,113404983,834399,16741980,14.76
TATAMOTORS, EQ, 12-Oct-2021,415.75,423.0,435.7,413.6,421.25,420.85,424.35,97349265,797669,14527893,14.92
TATAMOTORS, EQ, 13-Oct-2021,420.85,462.9,523.85,462.9,509.7,506.9,497.76,197949387,1517162,52470394,26.51
TATAMOTORS, EQ, 14-Oct-2021,506.9,530.0,530.0,492.0,496.6,497.6,502.86,103630901,1128414,19686395,19.0
TATAMOTORS, EQ, 18-Oct-2021,497.6,507.0,525.0,503.6,509.8,509.6,515.47,72322623,803895,13212916,18.27
TATAMOTORS, EQ, 19-Oct-2021,509.6,512.45,517.4,476.05,484.75,481.9,498.07,57428637,649066,13555763,23.6
TATAMOTORS, EQ, 20-Oct-2021,481.9,481.8,497.0,471.25,489.7,486.9,484.21,55444814,547487,8894569,16.04
TATAMOTORS, EQ, 21-Oct-2021,486.9,491.75,510.4,485.75,508.95,508.0,497.29,52608672,492220,8485865,16.13
TATAMOTORS, EQ, 22-Oct-2021,508.0,509.9,510.7,487.4,490.6,490.9,496.34,42742785,465665,7261984,16.99
TATAMOTORS, EQ, 25-Oct-2021,490.9,493.9,496.0,473.25,478.8,479.9,480.93,33107841,378765,6772176,20.45
TATAMOTORS, EQ, 26-Oct-2021,479.9,483.5,510.0,483.25,508.2,508.65,500.54,58027770,574815,9434406,16.26
TATAMOTORS, EQ, 27-Oct-2021,508.65,505.75,506.55,496.0,496.8,497.9,501.37,30361263,301976,6045729,19.91
TATAMOTORS, EQ, 28-Oct-2021,497.9,493.9,493.9,478.55,481.8,481.05,486.77,25182748,320722,7381957,29.31
TATAMOTORS, EQ, 29-Oct-2021,481.05,482.0,491.6,467.7,484.45,483.7,483.64,31054342,338095,4831179,15.56
TATAMOTORS, EQ, 01-Nov-2021,483.7,486.45,489.7,469.8,486.4,485.7,481.98,34315690,394769,4506728,13.13
TATAMOTORS, EQ, 02-Nov-2021,485.7,506.5,510.0,486.5,488.05,487.85,494.31,51580720,475466,8434721,16.35
TATAMOTORS, EQ, 03-Nov-2021,487.85,483.8,495.0,481.6,485.2,484.9,488.21,22950198,255671,4376450,19.07
TATAMOTORS, EQ, 08-Nov-2021,489.7,493.9,504.85,490.25,501.0,501.4,499.44,31736426,329281,10187638,32.1
TATAMOTORS, EQ, 09-Nov-2021,501.4,505.0,520.65,503.5,511.0,509.65,513.35,50458762,476444,12955212,25.67
TATAMOTORS, EQ, 10-Nov-2021,509.65,506.25,515.95,500.2,511.0,510.75,510.99,26615777,406993,5103121,19.17
TATAMOTORS, EQ, 11-Nov-2021,510.75,510.0,519.0,501.0,504.5,503.45,508.46,29256213,309113,7747496,26.48
TATAMOTORS, EQ, 12-Nov-2021,503.45,506.95,509.55,497.35,507.35,507.05,503.75,20731808,227996,2793695,13.48
