SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
THOMASCOOK, EQ, 17-Sep-2021,64.45,65.1,67.85,64.0,64.5,64.85,66.33,2515767,15041,924557,36.75
THOMASCOOK, EQ, 20-Sep-2021,64.85,64.85,71.0,63.95,65.3,65.65,68.13,3320906,26801,1622694,48.86
THOMASCOOK, EQ, 21-Sep-2021,65.65,66.05,66.95,63.5,65.3,65.25,65.03,726958,5173,338311,46.54
THOMASCOOK, EQ, 22-Sep-2021,65.25,65.75,68.5,65.4,65.8,65.9,66.47,983848,7442,407098,41.38
THOMASCOOK, EQ, 23-Sep-2021,65.9,66.45,67.25,63.8,65.05,64.7,65.96,789521,6424,489600,62.01
THOMASCOOK, EQ, 24-Sep-2021,64.7,65.0,66.5,63.7,64.0,64.05,64.75,390256,3458,204281,52.35
THOMASCOOK, EQ, 27-Sep-2021,64.05,64.8,68.1,64.3,66.4,66.0,66.43,1256166,6789,420866,33.5
THOMASCOOK, EQ, 28-Sep-2021,66.0,66.2,67.2,65.0,65.7,65.8,66.05,546107,4813,308838,56.55
THOMASCOOK, EQ, 29-Sep-2021,65.8,65.0,66.35,65.0,65.5,65.45,65.64,307091,2263,165938,54.04
THOMASCOOK, EQ, 30-Sep-2021,65.45,65.85,67.0,65.25,65.6,65.6,65.93,1463553,4490,1216150,83.1
THOMASCOOK, EQ, 01-Oct-2021,65.6,65.6,66.4,64.5,66.0,65.9,65.52,571771,4431,358542,62.71
THOMASCOOK, EQ, 04-Oct-2021,65.9,66.65,69.0,66.2,67.5,67.25,67.7,700627,4969,397361,56.72
THOMASCOOK, EQ, 05-Oct-2021,67.25,67.0,72.15,66.6,72.0,71.05,70.28,2340844,19143,1231592,52.61
THOMASCOOK, EQ, 06-Oct-2021,71.05,73.0,73.9,66.2,68.3,68.4,71.49,1801435,15804,929137,51.58
THOMASCOOK, EQ, 07-Oct-2021,68.4,70.0,72.0,66.25,70.8,70.85,70.8,804654,7247,393919,48.96
THOMASCOOK, EQ, 08-Oct-2021,70.85,72.0,85.0,72.0,79.4,79.7,81.07,11422488,65261,2938267,25.72
THOMASCOOK, EQ, 11-Oct-2021,79.7,81.65,83.15,79.6,80.0,79.85,80.93,2493964,23052,1203080,48.24
THOMASCOOK, EQ, 12-Oct-2021,79.85,79.95,82.25,77.1,78.6,78.55,79.22,1305432,12450,528528,40.49
THOMASCOOK, EQ, 13-Oct-2021,78.55,79.5,85.5,79.45,82.0,81.35,82.32,2923957,24855,1025959,35.09
THOMASCOOK, EQ, 14-Oct-2021,81.35,82.6,83.8,80.1,80.7,80.6,81.79,900112,7907,419407,46.59
THOMASCOOK, EQ, 18-Oct-2021,80.6,82.95,83.35,79.6,79.7,80.05,81.43,1189870,10749,558714,46.96
THOMASCOOK, EQ, 19-Oct-2021,80.05,80.75,82.5,75.9,78.05,77.4,78.82,1291735,13228,511740,39.62
THOMASCOOK, EQ, 20-Oct-2021,77.4,77.4,80.0,75.6,76.05,76.0,77.49,945817,8879,446181,47.17
THOMASCOOK, EQ, 21-Oct-2021,76.0,76.45,77.15,74.55,76.3,75.75,75.81,600027,6362,287969,47.99
THOMASCOOK, EQ, 22-Oct-2021,75.75,77.0,80.95,76.4,77.25,77.4,78.5,1121597,11252,404819,36.09
THOMASCOOK, EQ, 25-Oct-2021,77.4,78.2,78.45,70.05,71.4,71.35,72.96,1401068,21306,626135,44.69
THOMASCOOK, EQ, 26-Oct-2021,71.35,71.4,74.6,70.6,74.1,73.8,73.56,563751,6453,251097,44.54
THOMASCOOK, EQ, 27-Oct-2021,73.8,74.0,75.55,72.55,73.25,72.8,74.11,315838,4633,145726,46.14
THOMASCOOK, EQ, 28-Oct-2021,72.8,73.2,73.95,70.8,72.0,71.3,72.24,381873,4963,196525,51.46
THOMASCOOK, EQ, 29-Oct-2021,71.3,71.7,71.8,68.0,70.95,70.2,70.19,465927,6465,197544,42.4
