SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
THYROCARE, EQ, 17-Sep-2021,1274.95,1300.0,1304.0,1255.0,1264.0,1268.75,1272.15,134004,7783,81117,60.53
THYROCARE, EQ, 20-Sep-2021,1268.75,1256.0,1270.0,1250.1,1258.4,1258.7,1261.88,52453,4242,27576,52.57
THYROCARE, EQ, 21-Sep-2021,1258.7,1254.0,1283.4,1237.85,1267.1,1269.4,1260.8,83376,7623,26377,31.64
THYROCARE, EQ, 22-Sep-2021,1269.4,1275.75,1275.8,1259.0,1275.5,1270.3,1268.54,40482,2970,19479,48.12
THYROCARE, EQ, 23-Sep-2021,1270.3,1284.95,1284.95,1250.0,1263.0,1263.6,1265.01,34001,3231,14800,43.53
THYROCARE, EQ, 24-Sep-2021,1263.6,1269.0,1289.65,1260.55,1269.8,1269.9,1275.41,257499,6815,217422,84.44
THYROCARE, EQ, 27-Sep-2021,1269.9,1288.9,1310.9,1240.0,1250.0,1247.6,1270.33,118070,10130,44138,37.38
THYROCARE, EQ, 28-Sep-2021,1247.6,1251.1,1260.7,1225.0,1228.0,1231.5,1240.34,71150,8599,36941,51.92
THYROCARE, EQ, 29-Sep-2021,1231.5,1228.0,1228.0,1161.4,1173.0,1178.5,1185.44,308628,24283,163200,52.88
THYROCARE, EQ, 30-Sep-2021,1178.5,1165.0,1189.0,1158.1,1169.6,1166.2,1170.91,138728,9712,75900,54.71
THYROCARE, EQ, 01-Oct-2021,1166.2,1166.2,1175.4,1153.0,1153.05,1155.65,1161.81,53143,5827,27227,51.23
THYROCARE, EQ, 04-Oct-2021,1155.65,1174.0,1198.65,1163.45,1190.0,1194.25,1185.07,72641,5893,33208,45.72
THYROCARE, EQ, 05-Oct-2021,1194.25,1199.0,1199.75,1166.0,1169.9,1173.7,1180.35,41224,3736,22678,55.01
THYROCARE, EQ, 06-Oct-2021,1173.7,1168.3,1176.0,1158.0,1170.0,1169.45,1166.41,56077,5970,32445,57.86
THYROCARE, EQ, 07-Oct-2021,1169.45,1181.0,1181.0,1151.25,1161.0,1158.55,1167.15,53722,4530,20818,38.75
THYROCARE, EQ, 08-Oct-2021,1158.55,1173.9,1174.5,1158.0,1166.9,1165.5,1165.32,47045,4282,29729,63.19
THYROCARE, EQ, 11-Oct-2021,1165.5,1165.5,1170.0,1151.1,1157.5,1155.4,1161.1,79559,7583,55706,70.02
THYROCARE, EQ, 12-Oct-2021,1155.4,1162.95,1162.95,1120.0,1125.0,1124.8,1134.37,123341,9006,79629,64.56
THYROCARE, EQ, 13-Oct-2021,1124.8,1120.05,1189.0,1120.0,1176.0,1169.15,1165.41,273235,15915,89137,32.62
THYROCARE, EQ, 14-Oct-2021,1169.15,1189.9,1189.9,1130.0,1143.0,1140.95,1150.96,108226,8975,56721,52.41
THYROCARE, EQ, 18-Oct-2021,1140.95,1157.95,1167.0,1136.0,1161.0,1162.75,1151.39,85540,7970,53735,62.82
THYROCARE, EQ, 19-Oct-2021,1162.75,1192.0,1192.0,1150.0,1152.0,1151.95,1157.18,72762,6508,37430,51.44
THYROCARE, EQ, 20-Oct-2021,1151.95,1170.0,1170.0,1125.0,1143.95,1134.0,1137.33,46657,5550,19969,42.8
THYROCARE, EQ, 21-Oct-2021,1134.0,1146.0,1200.0,1121.0,1150.0,1175.45,1161.03,199979,10169,122978,61.5
THYROCARE, EQ, 22-Oct-2021,1175.45,1185.9,1185.9,1141.9,1158.0,1149.1,1157.16,107373,7916,44685,41.62
THYROCARE, EQ, 25-Oct-2021,1149.1,1188.0,1188.0,1120.0,1150.0,1148.65,1144.55,42056,5471,17455,41.5
THYROCARE, EQ, 26-Oct-2021,1148.65,1148.0,1160.0,1137.0,1148.0,1150.5,1148.2,34277,5147,15988,46.64
THYROCARE, EQ, 27-Oct-2021,1150.5,1150.0,1171.2,1141.1,1145.05,1146.95,1151.67,31469,2990,13155,41.8
THYROCARE, EQ, 28-Oct-2021,1146.95,1147.0,1165.0,1100.0,1117.0,1116.5,1132.07,69824,8205,39282,56.26
THYROCARE, EQ, 29-Oct-2021,1116.5,1114.05,1172.9,1096.1,1145.05,1139.65,1125.18,37460,3966,17563,46.88
THYROCARE, EQ, 01-Nov-2021,1139.65,1153.5,1153.5,1115.05,1123.0,1121.4,1129.53,42388,4547,19910,46.97
THYROCARE, EQ, 02-Nov-2021,1121.4,1123.0,1161.0,1120.0,1150.0,1150.35,1143.0,48120,6372,21457,44.59
THYROCARE, EQ, 03-Nov-2021,1150.35,1149.5,1159.0,1135.75,1138.0,1143.4,1147.53,25925,3503,12804,49.39
THYROCARE, EQ, 08-Nov-2021,1153.9,1163.0,1168.4,1137.3,1162.0,1165.35,1157.38,55819,4983,29298,52.49
THYROCARE, EQ, 09-Nov-2021,1165.35,1165.0,1166.95,1137.15,1140.7,1140.45,1146.23,33419,4094,18137,54.27
THYROCARE, EQ, 10-Nov-2021,1140.45,1147.0,1151.4,1121.0,1125.9,1125.7,1134.38,30320,3982,16850,55.57
THYROCARE, EQ, 11-Nov-2021,1125.7,1116.0,1127.35,1109.05,1116.4,1118.0,1118.13,73577,4483,39114,53.16
THYROCARE, EQ, 12-Nov-2021,1118.0,1126.0,1135.0,1111.0,1130.0,1129.5,1126.4,33489,3689,15273,45.61
THYROCARE, EQ, 15-Nov-2021,1129.5,1200.0,1298.0,1170.1,1180.75,1182.4,1225.82,1743165,88520,408853,23.45
THYROCARE, EQ, 16-Nov-2021,1182.4,1187.0,1187.0,1138.4,1175.0,1171.95,1158.23,227089,18021,78530,34.58
THYROCARE, EQ, 17-Nov-2021,1171.95,1160.0,1250.0,1158.0,1211.05,1219.8,1221.96,454664,28798,147210,32.38
THYROCARE, EQ, 18-Nov-2021,1219.8,1230.0,1230.0,1175.5,1193.0,1187.45,1204.28,163459,14414,57498,35.18
THYROCARE, EQ, 22-Nov-2021,1187.45,1195.0,1195.0,1117.0,1130.5,1126.9,1139.63,128195,11151,49321,38.47
THYROCARE, EQ, 23-Nov-2021,1126.9,1122.0,1128.9,1100.5,1105.8,1105.05,1111.73,101469,10015,50932,50.19
THYROCARE, EQ, 24-Nov-2021,1105.05,1110.6,1143.95,1109.9,1116.0,1114.65,1122.93,62661,5884,19958,31.85
THYROCARE, EQ, 25-Nov-2021,1114.65,1118.8,1136.05,1113.8,1122.1,1121.45,1124.32,37022,4066,12967,35.03
THYROCARE, EQ, 26-Nov-2021,1121.45,1112.0,1187.95,1081.0,1098.5,1101.85,1148.01,316733,26751,66690,21.06
THYROCARE, EQ, 29-Nov-2021,1101.85,1112.05,1165.0,1105.0,1108.85,1111.4,1137.39,428920,33157,106378,24.8
THYROCARE, EQ, 30-Nov-2021,1111.4,1122.5,1138.9,1096.9,1102.0,1105.5,1114.8,128560,13019,34783,27.06
THYROCARE, EQ, 01-Dec-2021,1105.5,1108.8,1124.0,1080.0,1092.0,1085.95,1095.19,89356,7383,34427,38.53
THYROCARE, EQ, 02-Dec-2021,1085.95,1093.8,1104.65,1077.8,1092.0,1088.7,1091.35,70927,7226,27129,38.25
THYROCARE, EQ, 03-Dec-2021,1088.7,1109.95,1110.05,1086.0,1108.0,1103.1,1099.35,60445,5501,18337,30.34
THYROCARE, EQ, 06-Dec-2021,1103.1,1109.4,1125.0,1096.75,1106.9,1104.15,1110.83,90585,7383,23211,25.62
THYROCARE, EQ, 07-Dec-2021,1104.15,1108.0,1109.05,1081.05,1089.0,1085.4,1090.77,62083,5650,21837,35.17
THYROCARE, EQ, 08-Dec-2021,1085.4,1090.0,1090.0,1036.0,1046.0,1053.35,1063.71,132279,8847,79812,60.34
THYROCARE, EQ, 09-Dec-2021,1053.35,1053.35,1090.95,1052.25,1084.1,1082.85,1064.88,166050,12290,86107,51.86
THYROCARE, EQ, 10-Dec-2021,1082.85,1080.0,1105.0,1061.5,1100.25,1100.75,1087.18,116488,6056,62448,53.61
THYROCARE, EQ, 13-Dec-2021,1100.75,1090.0,1116.55,1078.55,1088.0,1085.25,1099.3,89532,6781,26614,29.73
THYROCARE, EQ, 14-Dec-2021,1085.25,1066.0,1096.85,1065.3,1072.95,1072.15,1079.91,30052,2572,12204,40.61
THYROCARE, EQ, 15-Dec-2021,1072.15,1076.0,1079.95,1057.0,1065.9,1067.9,1068.59,34301,3501,16131,47.03
THYROCARE, EQ, 16-Dec-2021,1067.9,1079.95,1083.8,1040.4,1043.85,1045.1,1050.3,74620,6344,29603,39.67
THYROCARE, EQ, 17-Dec-2021,1045.1,1040.0,1054.5,1016.75,1034.0,1029.0,1027.4,101762,7522,54351,53.41
THYROCARE, EQ, 20-Dec-2021,1029.0,1020.0,1025.0,970.0,977.5,981.35,985.0,205986,9313,156929,76.18
THYROCARE, EQ, 21-Dec-2021,981.35,980.0,997.6,945.0,970.0,960.5,966.56,198015,11075,105893,53.48
THYROCARE, EQ, 22-Dec-2021,960.5,962.0,1000.0,960.0,996.9,990.9,983.91,80465,5591,24733,30.74
THYROCARE, EQ, 23-Dec-2021,990.9,1002.8,1025.0,994.55,1001.2,1008.3,1011.38,110195,7678,23466,21.29
THYROCARE, EQ, 24-Dec-2021,1008.3,1014.8,1023.65,992.05,1007.0,1005.25,1008.9,92285,5405,13074,14.17
THYROCARE, EQ, 27-Dec-2021,1005.25,1009.95,1024.95,1001.15,1014.0,1013.7,1011.23,78877,3874,46273,58.66
THYROCARE, EQ, 28-Dec-2021,1013.7,1018.8,1023.95,1005.75,1017.0,1014.8,1011.98,40682,3701,16586,40.77
THYROCARE, EQ, 29-Dec-2021,1014.8,1020.8,1080.75,1017.0,1071.8,1072.9,1059.97,309729,16684,99268,32.05
THYROCARE, EQ, 30-Dec-2021,1072.9,1072.0,1115.0,1069.6,1105.0,1109.75,1099.67,246043,16488,87119,35.41
THYROCARE, EQ, 31-Dec-2021,1109.75,1112.0,1121.0,1095.2,1104.0,1107.55,1110.1,101983,7198,41069,40.27
THYROCARE, EQ, 03-Jan-2022,1107.55,1109.8,1132.0,1102.1,1110.0,1111.9,1116.66,97772,7166,46005,47.05
THYROCARE, EQ, 04-Jan-2022,1111.9,1119.0,1119.0,1089.1,1100.0,1093.6,1097.74,97675,5871,31678,32.43
THYROCARE, EQ, 05-Jan-2022,1093.6,1102.0,1108.0,1070.0,1083.0,1084.6,1094.34,125775,7595,77684,61.76
THYROCARE, EQ, 06-Jan-2022,1084.6,1080.0,1108.0,1068.8,1089.0,1086.55,1092.26,98107,7976,36322,37.02
THYROCARE, EQ, 07-Jan-2022,1086.55,1086.55,1091.15,1073.0,1081.0,1078.95,1080.07,51549,4124,25844,50.13
THYROCARE, EQ, 10-Jan-2022,1078.95,1086.0,1100.9,1073.0,1079.0,1076.7,1085.0,49196,4537,23385,47.53
THYROCARE, EQ, 11-Jan-2022,1076.7,1082.0,1089.9,1055.05,1060.75,1059.15,1069.49,62471,6130,35455,56.75
THYROCARE, EQ, 12-Jan-2022,1059.15,1061.0,1068.0,1049.8,1051.7,1051.55,1055.3,43664,3044,22058,50.52
THYROCARE, EQ, 13-Jan-2022,1051.55,1052.0,1060.0,1042.75,1043.7,1044.25,1049.69,80412,3543,51046,63.48
THYROCARE, EQ, 14-Jan-2022,1044.25,1041.65,1050.2,1029.0,1032.0,1031.9,1034.93,98791,3820,71467,72.34
THYROCARE, EQ, 17-Jan-2022,1031.9,1035.0,1043.95,1017.25,1023.0,1022.75,1023.14,53265,4550,24754,46.47
THYROCARE, EQ, 18-Jan-2022,1022.75,1026.0,1027.0,1000.0,1005.0,1002.6,1011.07,46454,3910,23303,50.16
THYROCARE, EQ, 19-Jan-2022,1002.6,1005.6,1016.0,986.75,1016.0,1012.7,1003.24,53045,5368,20888,39.38
THYROCARE, EQ, 20-Jan-2022,1012.7,1017.8,1020.0,994.0,998.6,997.95,1000.42,46363,4410,23432,50.54
THYROCARE, EQ, 21-Jan-2022,997.95,988.0,994.9,955.0,960.0,963.8,970.56,102600,8054,54883,53.49
THYROCARE, EQ, 24-Jan-2022,963.8,960.0,980.0,889.05,910.0,929.05,921.92,134713,11213,68516,50.86
THYROCARE, EQ, 25-Jan-2022,929.05,929.05,929.05,895.6,912.0,907.15,908.69,97289,7705,46876,48.18
THYROCARE, EQ, 27-Jan-2022,907.15,915.6,1087.0,908.9,1049.0,1057.05,1031.29,1375294,75177,189077,13.75
THYROCARE, EQ, 28-Jan-2022,1057.05,1046.5,1054.0,1005.0,1020.0,1014.15,1029.44,169838,14492,42202,24.85
THYROCARE, EQ, 31-Jan-2022,1014.15,1010.0,1014.9,964.0,965.95,971.35,978.95,137149,13702,54933,40.05
THYROCARE, EQ, 01-Feb-2022,971.35,985.0,988.0,960.35,965.0,965.75,972.03,62398,4413,18427,29.53
THYROCARE, EQ, 02-Feb-2022,965.75,965.95,984.9,965.8,977.8,974.0,975.73,51432,3723,18548,36.06
THYROCARE, EQ, 03-Feb-2022,974.0,975.0,975.0,960.0,962.0,963.65,967.5,30123,2284,13324,44.23
THYROCARE, EQ, 04-Feb-2022,963.65,968.4,977.85,960.55,972.0,969.5,970.66,29578,2692,10558,35.7
THYROCARE, EQ, 07-Feb-2022,969.5,973.5,1008.0,955.15,979.85,981.65,987.13,78324,8032,21029,26.85
THYROCARE, EQ, 08-Feb-2022,981.65,984.9,992.7,968.1,977.5,972.8,977.17,18502,3085,9106,49.22
THYROCARE, EQ, 09-Feb-2022,972.8,978.5,984.75,967.25,973.9,973.7,974.81,17013,2435,8303,48.8
THYROCARE, EQ, 10-Feb-2022,973.7,974.0,984.0,936.0,937.1,949.05,960.46,61310,8708,28200,46.0
THYROCARE, EQ, 11-Feb-2022,949.05,940.0,962.5,931.55,938.4,945.85,946.07,41305,7163,17503,42.38
THYROCARE, EQ, 14-Feb-2022,945.85,897.0,910.8,845.85,863.9,859.15,876.26,140306,16101,63560,45.3
THYROCARE, EQ, 15-Feb-2022,859.15,862.0,900.0,860.0,875.6,876.15,870.65,84698,11194,48138,56.83
THYROCARE, EQ, 16-Feb-2022,876.15,883.0,903.15,869.45,872.0,871.15,880.58,104649,8401,71050,67.89
THYROCARE, EQ, 17-Feb-2022,871.15,875.55,892.0,875.0,881.05,883.05,885.98,53093,6284,28151,53.02
THYROCARE, EQ, 18-Feb-2022,883.05,867.0,893.45,867.0,890.9,889.95,881.98,65290,6165,44326,67.89
THYROCARE, EQ, 21-Feb-2022,889.95,885.75,891.35,868.4,877.05,877.15,876.38,73910,12033,48719,65.92
THYROCARE, EQ, 22-Feb-2022,877.15,865.0,922.55,865.0,876.0,876.95,891.13,211514,20773,57038,26.97
THYROCARE, EQ, 23-Feb-2022,876.95,888.0,903.75,868.05,876.0,874.8,888.57,54016,5712,12917,23.91
THYROCARE, EQ, 24-Feb-2022,874.8,860.0,907.95,850.0,855.0,862.0,877.25,162612,10969,70009,43.05
THYROCARE, EQ, 25-Feb-2022,862.0,855.35,869.9,845.0,852.1,850.15,853.36,148973,10630,86242,57.89
THYROCARE, EQ, 28-Feb-2022,850.15,806.0,861.7,806.0,857.0,858.1,842.01,46366,4125,19763,42.62
THYROCARE, EQ, 02-Mar-2022,858.1,843.0,852.45,832.3,842.15,841.25,840.75,58993,4176,36068,61.14
THYROCARE, EQ, 03-Mar-2022,841.25,846.0,871.35,828.05,838.0,839.7,850.28,130174,12227,92287,70.9
THYROCARE, EQ, 04-Mar-2022,839.7,835.15,848.0,820.1,838.8,842.1,833.51,56686,5553,30429,53.68
THYROCARE, EQ, 08-Mar-2022,819.3,805.6,829.95,792.4,810.0,814.25,810.99,133432,11292,73291,54.93
THYROCARE, EQ, 09-Mar-2022,814.25,816.0,837.85,810.0,821.9,819.4,819.85,135425,7268,84071,62.08
THYROCARE, EQ, 10-Mar-2022,819.4,839.4,839.4,801.0,801.0,807.55,818.14,200408,12646,135367,67.55
THYROCARE, EQ, 11-Mar-2022,807.55,805.7,817.25,801.15,805.0,804.05,809.01,108293,3915,67235,62.09
THYROCARE, EQ, 14-Mar-2022,804.05,804.0,816.45,796.55,800.65,804.9,806.08,119121,7440,66804,56.08
THYROCARE, EQ, 15-Mar-2022,804.9,805.6,819.8,788.0,791.8,792.25,804.73,93617,6931,51672,55.2
THYROCARE, EQ, 16-Mar-2022,792.25,800.0,814.0,780.0,785.4,786.8,794.71,79337,5446,46715,58.88
