SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TIMETECHNO, EQ, 17-Sep-2021,72.15,72.8,74.7,70.4,74.4,74.1,73.26,1128268,9909,643704,57.05
TIMETECHNO, EQ, 20-Sep-2021,74.1,74.75,74.75,71.75,71.75,72.35,73.27,378787,4696,260265,68.71
TIMETECHNO, EQ, 21-Sep-2021,72.35,71.05,72.1,69.7,70.5,70.5,70.53,404102,4954,237408,58.75
TIMETECHNO, EQ, 22-Sep-2021,70.5,71.8,72.45,71.0,71.35,71.2,71.47,306022,5412,200465,65.51
TIMETECHNO, EQ, 23-Sep-2021,71.2,72.2,72.35,71.1,71.4,71.4,71.54,466599,5396,247898,53.13
TIMETECHNO, EQ, 24-Sep-2021,71.4,71.75,72.95,71.45,72.0,71.9,72.06,702388,4701,412820,58.77
TIMETECHNO, EQ, 27-Sep-2021,71.9,72.5,72.9,71.0,72.0,71.65,72.05,277324,3676,162058,58.44
TIMETECHNO, EQ, 28-Sep-2021,71.65,72.0,72.0,69.85,70.35,70.15,70.63,569889,4120,432430,75.88
TIMETECHNO, EQ, 29-Sep-2021,70.15,69.95,71.05,69.8,70.0,69.95,70.13,454028,6577,313034,68.95
TIMETECHNO, EQ, 30-Sep-2021,69.95,70.35,72.9,70.05,71.55,71.7,71.48,974160,10321,446075,45.79
TIMETECHNO, EQ, 01-Oct-2021,71.7,71.3,71.7,70.3,70.8,70.85,71.05,239067,3365,132388,55.38
TIMETECHNO, EQ, 04-Oct-2021,70.85,71.2,71.75,70.75,70.95,71.0,71.08,287181,3442,204704,71.28
TIMETECHNO, EQ, 05-Oct-2021,71.0,71.0,71.9,70.6,71.5,71.5,71.55,460064,4065,249086,54.14
TIMETECHNO, EQ, 06-Oct-2021,71.5,71.75,72.6,70.0,70.25,70.35,71.31,736477,5733,409621,55.62
TIMETECHNO, EQ, 07-Oct-2021,70.35,71.0,71.45,70.6,70.9,70.85,70.97,279500,2836,163794,58.6
TIMETECHNO, EQ, 08-Oct-2021,70.85,71.0,71.8,70.5,71.1,70.9,71.01,218006,2630,129714,59.5
TIMETECHNO, EQ, 11-Oct-2021,70.9,71.35,71.5,69.35,70.0,69.95,70.34,543538,4869,384280,70.7
TIMETECHNO, EQ, 12-Oct-2021,69.95,70.0,75.3,69.95,72.85,72.25,73.18,3088825,21259,1513402,49.0
TIMETECHNO, EQ, 13-Oct-2021,72.25,72.85,78.0,72.7,76.95,76.5,75.96,2809789,20287,1507596,53.66
TIMETECHNO, EQ, 14-Oct-2021,76.5,77.2,78.25,75.15,76.0,75.95,76.18,878324,7924,433994,49.41
TIMETECHNO, EQ, 18-Oct-2021,75.95,76.5,76.8,74.1,74.3,74.3,74.95,597464,5934,352544,59.01
TIMETECHNO, EQ, 19-Oct-2021,74.3,74.8,77.65,74.0,74.8,74.75,75.81,913105,9308,417341,45.71
TIMETECHNO, EQ, 20-Oct-2021,74.75,74.95,74.95,71.5,72.5,72.45,73.08,457669,4261,243277,53.16
TIMETECHNO, EQ, 21-Oct-2021,72.45,73.1,74.0,71.1,72.0,72.0,72.14,359565,3490,149605,41.61
TIMETECHNO, EQ, 22-Oct-2021,72.0,72.0,73.75,70.7,71.9,71.95,72.2,408584,6683,176698,43.25
TIMETECHNO, EQ, 25-Oct-2021,71.95,71.9,72.3,70.0,70.85,70.55,70.85,340218,4466,171579,50.43
TIMETECHNO, EQ, 26-Oct-2021,70.55,70.9,72.5,70.9,71.7,71.7,71.77,334013,5824,179021,53.6
TIMETECHNO, EQ, 27-Oct-2021,71.7,71.9,72.5,71.5,71.5,71.75,72.05,269025,8298,138940,51.65
TIMETECHNO, EQ, 28-Oct-2021,71.75,71.5,71.65,69.4,70.05,69.75,70.53,459278,6690,288973,62.92
TIMETECHNO, EQ, 29-Oct-2021,69.75,69.05,70.55,67.2,69.6,69.25,68.96,371221,5545,159400,42.94
TIMETECHNO, EQ, 01-Nov-2021,69.25,70.25,70.55,68.25,68.95,68.95,69.24,354433,3217,232254,65.53
TIMETECHNO, EQ, 02-Nov-2021,68.95,69.5,70.5,69.15,69.2,69.45,69.93,298643,4696,180512,60.44
TIMETECHNO, EQ, 03-Nov-2021,69.45,69.8,71.6,69.5,70.6,70.55,70.39,705536,7337,361428,51.23
TIMETECHNO, EQ, 08-Nov-2021,72.05,72.7,73.25,71.05,72.15,71.95,71.79,506862,8316,312255,61.61
TIMETECHNO, EQ, 09-Nov-2021,71.95,72.15,72.5,71.5,72.25,71.9,72.06,264336,3582,157879,59.73
TIMETECHNO, EQ, 10-Nov-2021,71.9,71.9,72.3,71.0,71.25,71.2,71.57,495695,4035,279430,56.37
TIMETECHNO, EQ, 11-Nov-2021,71.2,71.45,72.25,70.2,70.85,70.65,71.5,421604,4566,252486,59.89
TIMETECHNO, EQ, 12-Nov-2021,70.65,71.3,77.1,70.25,75.55,75.3,74.58,3559040,23101,1566420,44.01
TIMETECHNO, EQ, 15-Nov-2021,75.3,76.3,78.15,75.3,76.6,76.85,76.8,2008527,16057,989857,49.28
TIMETECHNO, EQ, 16-Nov-2021,76.85,77.0,79.4,75.2,77.0,77.25,77.27,2352113,14464,878790,37.36
TIMETECHNO, EQ, 17-Nov-2021,77.25,77.5,92.7,76.25,85.75,85.5,87.26,16450376,108494,4055529,24.65
TIMETECHNO, EQ, 18-Nov-2021,85.5,86.95,87.7,79.15,80.5,79.85,82.66,4035695,39802,1515314,37.55
TIMETECHNO, EQ, 22-Nov-2021,79.85,80.5,84.4,78.85,80.8,80.85,81.98,3177128,29021,1013968,31.91
TIMETECHNO, EQ, 23-Nov-2021,80.85,81.2,83.25,79.6,81.0,80.25,81.31,1783110,16236,641725,35.99
TIMETECHNO, EQ, 24-Nov-2021,80.25,80.95,84.95,80.7,81.9,81.9,82.93,2191412,19441,789277,36.02
TIMETECHNO, EQ, 25-Nov-2021,81.9,81.95,83.5,81.05,82.0,82.1,82.24,1107661,10418,481204,43.44
TIMETECHNO, EQ, 26-Nov-2021,82.1,80.95,82.0,76.5,79.5,77.6,79.49,1185727,15127,529829,44.68
TIMETECHNO, EQ, 29-Nov-2021,77.6,76.2,77.45,73.6,74.0,74.15,75.42,1040602,12093,516355,49.62
TIMETECHNO, EQ, 30-Nov-2021,74.15,75.0,77.8,73.1,73.4,73.45,75.18,747730,9370,265049,35.45
TIMETECHNO, EQ, 01-Dec-2021,73.45,74.25,77.35,73.6,76.5,76.3,75.37,718046,7727,238773,33.25
TIMETECHNO, EQ, 02-Dec-2021,76.3,76.35,76.9,74.6,75.1,75.05,75.22,477664,4086,274621,57.49
TIMETECHNO, EQ, 03-Dec-2021,75.05,75.5,79.3,75.05,76.85,76.65,77.53,1116965,9562,415699,37.22
