SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TINPLATE, EQ, 17-Sep-2021,285.8,287.75,288.55,276.0,283.05,282.05,281.95,583092,14907,249611,42.81
TINPLATE, EQ, 20-Sep-2021,282.05,281.5,289.3,275.0,277.5,276.4,283.45,865435,17868,313173,36.19
TINPLATE, EQ, 21-Sep-2021,276.4,275.9,278.5,267.0,271.35,272.05,271.13,515369,14450,176505,34.25
TINPLATE, EQ, 22-Sep-2021,272.05,274.2,282.0,274.15,279.5,279.85,278.62,453316,11733,196345,43.31
TINPLATE, EQ, 23-Sep-2021,279.85,286.0,295.25,285.0,285.5,285.65,289.85,1144529,22960,433695,37.89
TINPLATE, EQ, 24-Sep-2021,285.65,286.7,309.5,286.0,293.4,294.05,300.7,3410042,60357,812859,23.84
TINPLATE, EQ, 27-Sep-2021,294.05,298.0,303.7,294.5,299.25,299.85,299.33,968597,27292,365690,37.75
TINPLATE, EQ, 28-Sep-2021,299.85,301.0,301.55,289.0,290.8,290.5,292.72,529136,14370,210441,39.77
TINPLATE, EQ, 29-Sep-2021,290.5,286.0,294.6,285.15,290.0,290.4,290.94,351106,8557,109668,31.24
TINPLATE, EQ, 30-Sep-2021,290.4,291.8,294.8,286.0,287.65,287.2,290.71,346060,9080,124632,36.01
TINPLATE, EQ, 01-Oct-2021,287.2,281.7,300.3,281.7,291.75,291.85,291.96,725910,17053,187059,25.77
TINPLATE, EQ, 04-Oct-2021,291.85,294.0,314.7,292.7,309.9,309.8,308.44,2774245,45113,806046,29.05
TINPLATE, EQ, 05-Oct-2021,309.8,310.5,317.95,310.0,311.5,311.65,313.96,1499850,29503,551269,36.75
TINPLATE, EQ, 06-Oct-2021,311.65,313.7,320.8,304.35,307.1,307.45,314.28,1484351,27105,536494,36.14
