SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TRENT, EQ, 17-Sep-2021,995.75,1000.0,1000.0,964.0,979.45,982.45,982.76,562721,36615,216335,38.44
TRENT, EQ, 20-Sep-2021,982.45,971.0,1002.45,953.0,971.0,979.15,985.13,569477,45731,168869,29.65
TRENT, EQ, 21-Sep-2021,979.15,981.5,991.15,956.25,983.15,987.15,972.42,432370,26103,111783,25.85
TRENT, EQ, 22-Sep-2021,987.15,985.0,995.0,975.95,983.0,983.7,985.27,252879,13124,81126,32.08
TRENT, EQ, 23-Sep-2021,983.7,989.0,1031.8,986.1,1010.0,1006.55,1010.85,1207650,52889,491273,40.68
TRENT, EQ, 24-Sep-2021,1006.55,1017.3,1025.35,978.0,995.1,987.55,995.94,834581,36350,431008,51.64
TRENT, EQ, 27-Sep-2021,987.55,995.0,1008.0,982.7,1007.0,1003.3,997.19,314717,11243,111231,35.34
TRENT, EQ, 28-Sep-2021,1003.3,1009.0,1020.0,993.95,1008.1,1013.95,1008.76,612126,17966,278347,45.47
TRENT, EQ, 29-Sep-2021,1013.95,1013.95,1013.95,970.0,1005.0,1009.6,1003.83,415354,14576,136857,32.95
TRENT, EQ, 30-Sep-2021,1009.6,1013.0,1041.6,1001.25,1031.0,1025.85,1025.46,941677,35281,314216,33.37
TRENT, EQ, 01-Oct-2021,1025.85,1025.85,1090.0,1020.0,1039.95,1044.35,1066.96,3294173,106014,487437,14.8
TRENT, EQ, 04-Oct-2021,1044.35,1053.5,1057.4,1020.75,1048.0,1046.15,1037.31,1043541,47090,258307,24.75
TRENT, EQ, 05-Oct-2021,1046.15,1050.0,1068.0,1040.25,1046.8,1049.85,1053.85,675246,35986,138952,20.58
TRENT, EQ, 06-Oct-2021,1049.85,1059.95,1097.8,1036.05,1040.7,1044.55,1072.21,1324497,47241,186742,14.1
TRENT, EQ, 07-Oct-2021,1044.55,1059.0,1126.95,1055.05,1111.3,1108.85,1103.05,1988186,95451,472946,23.79
TRENT, EQ, 08-Oct-2021,1108.85,1119.95,1119.95,1088.1,1105.0,1103.35,1103.21,439597,17734,79291,18.04
