SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TTKPRESTIG, EQ, 17-Sep-2021,9150.45,9199.9,9250.6,9029.95,9164.95,9168.55,9129.82,4719,1848,2610,55.31
TTKPRESTIG, EQ, 20-Sep-2021,9168.55,9199.0,9199.0,9000.0,9034.0,9045.25,9073.81,1803,908,977,54.19
TTKPRESTIG, EQ, 21-Sep-2021,9045.25,9065.0,9122.05,8950.0,8997.3,8983.85,9022.15,3543,1544,1202,33.93
TTKPRESTIG, EQ, 22-Sep-2021,8983.85,8986.0,9092.25,8942.0,9050.0,9010.45,9034.38,1598,910,778,48.69
TTKPRESTIG, EQ, 23-Sep-2021,9010.45,9010.45,9080.0,8910.0,8950.0,8954.75,8993.41,2604,1178,1544,59.29
TTKPRESTIG, EQ, 24-Sep-2021,8954.75,9045.0,9045.0,8865.15,8865.25,8889.9,8934.45,2012,1165,1127,56.01
TTKPRESTIG, EQ, 27-Sep-2021,8889.9,8907.2,8952.55,8829.7,8899.0,8873.0,8889.9,1817,976,1046,57.57
TTKPRESTIG, EQ, 28-Sep-2021,8873.0,8917.4,9008.95,8810.0,8860.0,8847.25,8942.51,22648,1481,21100,93.16
TTKPRESTIG, EQ, 29-Sep-2021,8847.25,8860.0,9000.0,8765.0,8845.0,8827.25,8853.96,3120,1775,1128,36.15
TTKPRESTIG, EQ, 30-Sep-2021,8827.25,8850.0,8954.95,8805.0,8893.0,8883.4,8883.54,22815,837,912,4.0
TTKPRESTIG, EQ, 01-Oct-2021,8883.4,8884.0,8949.45,8829.05,8880.05,8878.4,8857.16,8849,1155,7885,89.11
TTKPRESTIG, EQ, 04-Oct-2021,8878.4,8950.0,8950.0,8831.0,8864.65,8867.9,8880.24,6846,1142,5969,87.19
TTKPRESTIG, EQ, 05-Oct-2021,8867.9,8888.8,9040.0,8851.6,8970.3,8973.35,8985.13,10213,3331,6953,68.08
TTKPRESTIG, EQ, 06-Oct-2021,8973.35,9000.6,9028.75,8782.05,8790.0,8799.3,8850.49,8061,2686,4731,58.69
TTKPRESTIG, EQ, 07-Oct-2021,8799.3,8900.0,8944.0,8805.05,8915.0,8910.0,8857.42,12924,1551,11414,88.32
TTKPRESTIG, EQ, 08-Oct-2021,8910.0,9000.0,9050.0,8558.3,8770.0,8767.05,8844.95,22142,4181,13273,59.94
TTKPRESTIG, EQ, 11-Oct-2021,8767.05,8896.0,8896.0,8768.0,8820.0,8832.8,8830.86,1457,787,697,47.84
TTKPRESTIG, EQ, 12-Oct-2021,8832.8,8818.0,8884.65,8800.0,8830.65,8806.1,8815.42,2628,1234,1832,69.71
TTKPRESTIG, EQ, 13-Oct-2021,8806.1,8825.0,9020.0,8806.1,8920.0,8908.9,8943.24,9496,3170,5265,55.44
TTKPRESTIG, EQ, 14-Oct-2021,8908.9,8989.0,9050.0,8753.9,8814.0,8805.4,8873.58,7237,2509,3999,55.26
TTKPRESTIG, EQ, 18-Oct-2021,8805.4,8897.0,8897.0,8805.4,8843.95,8822.65,8828.74,6450,2043,3942,61.12
TTKPRESTIG, EQ, 19-Oct-2021,8822.65,10399.0,10587.15,9769.3,9930.0,9888.9,10161.96,210278,44290,64307,30.58
TTKPRESTIG, EQ, 20-Oct-2021,9888.9,9999.0,10345.55,9650.0,9723.95,9730.4,9982.84,69133,20401,18548,26.83
TTKPRESTIG, EQ, 21-Oct-2021,9730.4,9749.9,9876.4,9554.85,9749.05,9651.25,9667.86,20576,6895,7625,37.06
TTKPRESTIG, EQ, 22-Oct-2021,9651.25,9793.0,10000.0,9378.1,9476.8,9461.6,9690.57,31826,12592,15098,47.44
TTKPRESTIG, EQ, 25-Oct-2021,9461.6,9508.95,9584.65,9161.1,9285.0,9236.75,9303.64,10908,4262,4444,40.74
