SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TVSMOTOR, EQ, 17-Sep-2021,544.7,549.0,560.95,541.5,548.0,547.1,551.62,3038827,54191,678133,22.32
TVSMOTOR, EQ, 20-Sep-2021,547.1,544.8,549.75,535.15,542.7,545.4,544.88,1363420,28080,523950,38.43
TVSMOTOR, EQ, 21-Sep-2021,545.4,545.4,547.65,520.0,534.5,533.15,529.44,2119176,45122,761350,35.93
TVSMOTOR, EQ, 22-Sep-2021,533.15,535.1,541.0,531.0,540.6,540.1,537.2,789554,14787,202923,25.7
TVSMOTOR, EQ, 23-Sep-2021,540.1,543.0,544.9,537.4,537.6,539.7,541.3,1058373,22403,519323,49.07
TVSMOTOR, EQ, 24-Sep-2021,539.7,541.7,543.55,533.05,535.8,537.2,538.17,1374432,21864,683123,49.7
TVSMOTOR, EQ, 27-Sep-2021,537.2,539.5,557.0,538.0,555.5,555.2,550.7,2327317,42368,721867,31.02
TVSMOTOR, EQ, 28-Sep-2021,555.2,560.05,561.95,544.05,554.25,555.6,552.86,1555165,28958,564864,36.32
TVSMOTOR, EQ, 29-Sep-2021,555.6,550.2,557.35,543.05,549.45,550.75,551.32,966528,33407,223942,23.17
TVSMOTOR, EQ, 30-Sep-2021,550.75,550.0,558.75,548.2,549.9,549.45,552.82,1339499,23603,387087,28.9
TVSMOTOR, EQ, 01-Oct-2021,549.45,550.9,569.75,544.95,567.5,563.95,559.75,3518568,58195,1688356,47.98
TVSMOTOR, EQ, 04-Oct-2021,563.95,574.0,575.0,557.7,560.9,560.5,565.57,2842764,58899,989600,34.81
TVSMOTOR, EQ, 05-Oct-2021,560.5,559.0,569.0,554.35,562.0,562.0,561.11,1910687,48909,744461,38.96
TVSMOTOR, EQ, 06-Oct-2021,562.0,565.5,566.0,540.05,541.5,544.0,551.87,2025110,41946,1001635,49.46
TVSMOTOR, EQ, 07-Oct-2021,544.0,547.8,563.2,544.2,556.65,557.75,556.54,2873448,59785,911702,31.73
TVSMOTOR, EQ, 08-Oct-2021,557.75,568.0,568.75,555.05,558.7,559.75,560.35,1781059,41996,627737,35.25
TVSMOTOR, EQ, 11-Oct-2021,559.75,561.0,566.9,556.4,559.5,559.05,561.27,1680108,29954,846627,50.39
TVSMOTOR, EQ, 12-Oct-2021,559.05,559.0,580.0,558.55,572.55,573.85,573.43,4445077,73779,1532158,34.47
TVSMOTOR, EQ, 13-Oct-2021,573.85,579.05,586.6,574.0,577.8,577.2,579.73,1587573,31973,438982,27.65
TVSMOTOR, EQ, 14-Oct-2021,577.2,579.05,588.7,571.05,581.7,583.8,580.48,2413386,48536,888543,36.82
TVSMOTOR, EQ, 18-Oct-2021,583.8,583.8,590.9,573.9,586.5,585.9,585.02,2022170,35383,796814,39.4
TVSMOTOR, EQ, 19-Oct-2021,585.9,592.0,598.8,577.2,583.0,583.25,586.83,2398150,48083,851234,35.5
TVSMOTOR, EQ, 20-Oct-2021,583.25,581.0,590.8,570.85,579.0,579.3,582.29,1094973,27336,245145,22.39
TVSMOTOR, EQ, 21-Oct-2021,579.3,582.9,588.25,566.0,583.25,577.05,575.48,1429062,31413,499300,34.94
TVSMOTOR, EQ, 22-Oct-2021,577.05,614.0,632.85,598.95,618.6,619.8,617.83,18455677,342178,2256431,12.23
TVSMOTOR, EQ, 25-Oct-2021,619.8,619.0,620.0,592.05,597.9,599.5,603.39,2875675,56609,785477,27.31
TVSMOTOR, EQ, 26-Oct-2021,599.5,603.8,629.35,600.0,626.0,625.9,616.22,2525727,48578,898811,35.59
TVSMOTOR, EQ, 27-Oct-2021,625.9,627.8,628.8,620.7,626.55,625.85,624.73,1380261,28703,427734,30.99
TVSMOTOR, EQ, 28-Oct-2021,625.85,624.8,656.5,622.3,653.05,651.95,643.42,7408494,111639,3048501,41.15
TVSMOTOR, EQ, 29-Oct-2021,651.95,653.0,681.7,638.25,661.85,662.55,663.98,6069828,147834,1149729,18.94
TVSMOTOR, EQ, 01-Nov-2021,662.55,662.55,678.7,655.1,677.4,671.3,668.98,3395775,76281,799760,23.55
TVSMOTOR, EQ, 02-Nov-2021,671.3,677.05,706.8,677.0,697.0,698.0,696.48,6921074,138107,1390724,20.09
TVSMOTOR, EQ, 03-Nov-2021,698.0,700.0,715.0,695.95,706.5,706.55,707.8,3662182,66182,847944,23.15
TVSMOTOR, EQ, 08-Nov-2021,708.75,709.0,719.5,705.6,710.1,712.25,714.01,1531643,39884,429492,28.04
TVSMOTOR, EQ, 09-Nov-2021,712.25,755.0,813.95,726.7,730.0,731.45,761.65,25844281,367140,2614178,10.12
TVSMOTOR, EQ, 10-Nov-2021,731.45,731.45,756.85,721.65,752.85,753.5,743.04,3682913,69315,387650,10.53
TVSMOTOR, EQ, 11-Nov-2021,753.5,751.0,765.8,743.05,747.55,747.05,753.41,3344306,67727,711868,21.29
TVSMOTOR, EQ, 12-Nov-2021,747.05,752.0,752.0,718.8,732.0,729.05,727.42,4094224,74020,1415770,34.58
TVSMOTOR, EQ, 15-Nov-2021,729.05,732.5,744.0,730.85,736.0,736.15,737.38,2138789,54134,568909,26.6
TVSMOTOR, EQ, 16-Nov-2021,736.15,740.0,750.75,733.4,738.75,738.1,741.68,2419607,53936,941129,38.9
TVSMOTOR, EQ, 17-Nov-2021,738.1,738.0,749.25,736.25,737.35,739.7,741.76,1754996,35747,625792,35.66
TVSMOTOR, EQ, 18-Nov-2021,739.7,741.0,742.0,719.5,722.85,723.85,727.6,1834193,49009,723422,39.44
TVSMOTOR, EQ, 22-Nov-2021,723.85,723.85,731.25,705.0,709.25,709.85,718.0,1714646,38347,539534,31.47
TVSMOTOR, EQ, 23-Nov-2021,709.85,696.15,720.0,696.15,713.45,712.75,713.04,1642526,35364,470180,28.63
TVSMOTOR, EQ, 24-Nov-2021,712.75,733.7,733.7,700.3,700.65,702.15,711.92,2966210,63596,688726,23.22
TVSMOTOR, EQ, 25-Nov-2021,702.15,702.0,713.0,699.35,700.25,701.5,706.39,2020161,36914,838723,41.52
TVSMOTOR, EQ, 26-Nov-2021,701.5,699.8,699.9,675.0,677.0,676.8,685.97,1323904,36242,457156,34.53
TVSMOTOR, EQ, 29-Nov-2021,676.8,674.3,694.55,654.0,684.7,684.3,681.05,1687675,41038,442854,26.24
TVSMOTOR, EQ, 30-Nov-2021,684.3,685.0,694.75,674.15,688.95,686.5,685.96,6521283,64126,5061627,77.62
TVSMOTOR, EQ, 01-Dec-2021,686.5,689.8,698.0,675.5,679.9,678.2,686.76,1802639,48754,291694,16.18
TVSMOTOR, EQ, 02-Dec-2021,678.2,676.0,683.0,669.25,679.75,680.25,678.35,1032008,20612,348461,33.77
TVSMOTOR, EQ, 03-Dec-2021,680.25,678.0,685.7,669.7,670.55,672.3,678.87,784522,28099,158869,20.25
TVSMOTOR, EQ, 06-Dec-2021,672.3,671.5,673.6,658.55,663.25,661.15,667.3,1068384,28532,331963,31.07
TVSMOTOR, EQ, 07-Dec-2021,661.15,663.25,677.0,663.25,665.95,666.25,666.74,644440,19500,209967,32.58
TVSMOTOR, EQ, 08-Dec-2021,666.25,674.45,684.55,663.7,681.0,682.55,673.81,879154,19165,234988,26.73
TVSMOTOR, EQ, 09-Dec-2021,682.55,685.0,685.95,674.0,684.5,684.65,680.23,871861,24005,278736,31.97
TVSMOTOR, EQ, 10-Dec-2021,684.65,685.0,691.0,678.55,681.9,682.25,685.07,1066005,31360,331832,31.13
TVSMOTOR, EQ, 13-Dec-2021,682.25,684.0,691.9,673.1,674.6,675.3,679.63,780239,20512,321589,41.22
TVSMOTOR, EQ, 14-Dec-2021,675.3,676.65,676.65,657.8,662.9,660.15,662.16,1294853,22440,599330,46.29
TVSMOTOR, EQ, 15-Dec-2021,660.15,663.0,708.8,662.9,669.4,673.8,688.29,14240307,212736,1923087,13.5
TVSMOTOR, EQ, 16-Dec-2021,673.8,678.5,678.5,633.05,635.35,636.6,644.05,6951407,139225,1429261,20.56
TVSMOTOR, EQ, 17-Dec-2021,636.6,634.0,635.05,610.0,614.25,615.55,619.73,3261223,64175,644260,19.76
TVSMOTOR, EQ, 20-Dec-2021,615.55,605.0,614.0,590.0,608.5,607.1,602.35,2559927,53500,434643,16.98
TVSMOTOR, EQ, 21-Dec-2021,607.1,608.5,619.3,607.1,615.7,614.7,614.1,1412370,39137,405776,28.73
TVSMOTOR, EQ, 22-Dec-2021,614.7,619.1,624.7,613.55,617.35,617.25,618.62,1160140,39709,338701,29.19
TVSMOTOR, EQ, 23-Dec-2021,617.25,623.0,623.35,616.6,620.6,620.35,619.82,504198,10470,107634,21.35
TVSMOTOR, EQ, 24-Dec-2021,620.35,622.55,622.8,606.0,610.45,610.5,611.12,1040322,25139,230336,22.14
TVSMOTOR, EQ, 27-Dec-2021,610.5,607.8,607.8,600.0,607.8,605.65,605.32,868742,15584,312678,35.99
TVSMOTOR, EQ, 28-Dec-2021,605.65,608.0,614.7,606.65,611.1,610.6,611.13,713046,14172,157097,22.03
TVSMOTOR, EQ, 29-Dec-2021,610.6,610.0,624.65,602.85,623.05,623.25,617.49,1165031,24644,274140,23.53
TVSMOTOR, EQ, 30-Dec-2021,623.25,625.0,626.0,612.75,616.55,615.7,617.03,756389,16012,196338,25.96
TVSMOTOR, EQ, 31-Dec-2021,615.7,615.7,630.5,615.7,625.0,627.0,624.86,728420,16465,157217,21.58
TVSMOTOR, EQ, 03-Jan-2022,627.0,625.0,632.95,616.3,629.8,629.25,626.2,1188070,22012,239905,20.19
TVSMOTOR, EQ, 04-Jan-2022,629.25,631.0,635.55,626.5,631.0,630.45,630.61,574936,14844,132984,23.13
TVSMOTOR, EQ, 05-Jan-2022,630.45,632.8,644.2,629.4,636.75,638.7,637.44,1056096,23738,309836,29.34
TVSMOTOR, EQ, 06-Jan-2022,638.7,635.0,650.0,630.0,648.0,648.9,642.79,1042775,26196,245494,23.54
TVSMOTOR, EQ, 07-Jan-2022,648.9,650.85,654.0,637.25,640.0,641.05,643.73,715951,18165,150409,21.01
TVSMOTOR, EQ, 10-Jan-2022,641.05,645.0,653.0,642.5,648.5,649.8,649.01,771849,21214,241720,31.32
TVSMOTOR, EQ, 11-Jan-2022,649.8,647.0,652.8,641.15,644.45,642.7,646.96,389969,15427,107094,27.46
TVSMOTOR, EQ, 12-Jan-2022,642.7,645.0,658.15,642.5,654.95,654.8,653.21,810304,22470,232906,28.74
TVSMOTOR, EQ, 13-Jan-2022,654.8,657.45,663.05,643.0,659.5,660.45,657.46,1892618,35875,519255,27.44
TVSMOTOR, EQ, 14-Jan-2022,660.45,658.95,664.15,652.7,657.75,658.75,659.27,697133,18961,216466,31.05
TVSMOTOR, EQ, 17-Jan-2022,658.75,657.0,670.6,653.4,658.3,657.45,662.22,1356881,46076,448221,33.03
TVSMOTOR, EQ, 18-Jan-2022,657.45,660.0,660.7,640.2,640.2,643.2,648.43,900906,20321,428852,47.6
TVSMOTOR, EQ, 19-Jan-2022,643.2,640.0,648.95,631.05,641.05,642.8,642.39,519529,15087,78394,15.09
TVSMOTOR, EQ, 20-Jan-2022,642.8,639.0,647.65,629.65,634.0,636.15,638.94,545287,15796,124993,22.92
TVSMOTOR, EQ, 21-Jan-2022,636.15,630.05,652.0,627.3,630.15,631.1,644.74,3144751,70038,775981,24.68
TVSMOTOR, EQ, 24-Jan-2022,631.1,630.5,631.1,607.4,609.95,612.2,616.46,712987,20784,222892,31.26
TVSMOTOR, EQ, 25-Jan-2022,612.2,607.0,623.3,595.0,621.4,620.7,616.03,1227614,47612,515849,42.02
TVSMOTOR, EQ, 27-Jan-2022,620.7,609.0,636.0,600.0,633.0,629.85,620.6,2490371,77230,887088,35.62
TVSMOTOR, EQ, 28-Jan-2022,629.85,640.0,640.0,585.05,602.95,601.95,600.33,6413288,145798,1617511,25.22
TVSMOTOR, EQ, 31-Jan-2022,601.95,608.0,613.5,597.25,606.95,606.3,604.71,2066796,45875,927206,44.86
TVSMOTOR, EQ, 01-Feb-2022,606.3,610.0,629.9,606.6,628.85,626.25,617.09,1547133,36012,373579,24.15
TVSMOTOR, EQ, 02-Feb-2022,626.25,626.0,640.5,621.55,628.05,626.15,632.27,2011120,64444,808934,40.22
TVSMOTOR, EQ, 03-Feb-2022,626.15,628.0,663.0,626.35,653.5,657.25,655.35,4972594,105862,1152352,23.17
TVSMOTOR, EQ, 04-Feb-2022,657.25,655.0,655.0,643.5,651.2,653.0,649.73,1376064,33656,175902,12.78
TVSMOTOR, EQ, 07-Feb-2022,653.0,653.0,653.25,628.6,636.95,636.95,638.21,1305798,30117,236023,18.08
TVSMOTOR, EQ, 08-Feb-2022,636.95,669.0,669.0,638.5,654.0,656.5,652.01,10100060,174129,1699510,16.83
TVSMOTOR, EQ, 09-Feb-2022,656.5,654.0,665.85,648.8,664.05,659.85,659.09,1943723,44064,354784,18.25
TVSMOTOR, EQ, 10-Feb-2022,659.85,668.0,677.0,665.0,665.05,668.45,671.02,3502156,68055,548343,15.66
TVSMOTOR, EQ, 11-Feb-2022,668.45,659.9,673.15,640.6,665.85,660.45,656.71,6277578,86209,1894527,30.18
TVSMOTOR, EQ, 14-Feb-2022,660.45,654.0,668.4,637.15,637.6,641.7,654.58,2853430,62041,781722,27.4
TVSMOTOR, EQ, 15-Feb-2022,641.7,645.1,666.0,630.55,664.0,663.3,651.67,2567801,48084,798432,31.09
TVSMOTOR, EQ, 16-Feb-2022,663.3,665.0,676.75,657.0,663.0,665.1,665.41,2258102,42611,738940,32.72
TVSMOTOR, EQ, 17-Feb-2022,665.1,665.0,679.4,663.1,670.9,671.2,674.69,3282622,57715,1125024,34.27
TVSMOTOR, EQ, 18-Feb-2022,671.2,671.0,681.6,661.85,663.5,663.5,673.94,1962790,48491,483841,24.65
TVSMOTOR, EQ, 21-Feb-2022,663.5,663.5,671.3,657.0,659.1,658.4,663.57,1757845,53250,520375,29.6
TVSMOTOR, EQ, 22-Feb-2022,658.4,640.0,666.5,638.0,665.0,663.5,656.84,1225239,27654,300481,24.52
TVSMOTOR, EQ, 23-Feb-2022,663.5,665.0,671.55,648.85,652.0,651.45,654.55,1558086,48247,414380,26.6
TVSMOTOR, EQ, 24-Feb-2022,651.45,637.0,644.95,615.8,619.4,619.1,628.8,2115554,58787,812069,38.39
TVSMOTOR, EQ, 25-Feb-2022,619.1,626.8,637.9,624.35,631.4,631.95,632.45,2854919,36695,1417891,49.66
TVSMOTOR, EQ, 28-Feb-2022,631.95,625.0,629.95,610.0,615.5,617.6,617.9,1615551,43864,485115,30.03
TVSMOTOR, EQ, 02-Mar-2022,617.6,610.0,611.9,596.0,599.5,597.95,602.01,3546669,77191,2040036,57.52
TVSMOTOR, EQ, 03-Mar-2022,597.95,610.7,611.0,583.2,586.7,585.55,597.64,2284162,41790,1082690,47.4
TVSMOTOR, EQ, 04-Mar-2022,585.55,578.55,578.55,552.95,555.0,554.75,566.28,2215341,57792,815518,36.81
TVSMOTOR, EQ, 08-Mar-2022,530.1,525.0,537.45,519.45,536.1,535.15,528.24,2002029,41945,811270,40.52
TVSMOTOR, EQ, 09-Mar-2022,535.15,539.0,558.95,535.05,557.25,555.45,549.87,1835596,43332,737284,40.17
TVSMOTOR, EQ, 10-Mar-2022,555.45,575.0,578.2,559.7,563.3,565.25,570.13,2099008,34259,911164,43.41
TVSMOTOR, EQ, 11-Mar-2022,565.25,565.0,584.1,557.55,583.0,581.6,575.06,1993394,29967,805841,40.43
TVSMOTOR, EQ, 14-Mar-2022,581.6,581.55,593.3,574.5,591.6,592.25,583.81,1892847,35001,419502,22.16
TVSMOTOR, EQ, 15-Mar-2022,592.25,592.25,600.0,586.2,595.6,594.8,593.81,1578493,42251,508846,32.24
