SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VINATIORGA, EQ, 17-Sep-2021,1899.65,1909.9,1911.85,1855.0,1863.0,1857.15,1870.27,78463,9096,47384,60.39
VINATIORGA, EQ, 20-Sep-2021,1857.15,1850.0,1874.9,1782.85,1796.0,1800.85,1821.13,80858,8344,52757,65.25
VINATIORGA, EQ, 21-Sep-2021,1800.85,1800.0,1850.0,1766.45,1835.0,1826.05,1813.59,95618,10843,47678,49.86
VINATIORGA, EQ, 22-Sep-2021,1826.05,1826.0,1919.3,1826.0,1901.0,1899.4,1882.41,91771,9518,43429,47.32
VINATIORGA, EQ, 23-Sep-2021,1899.4,1913.8,1923.9,1870.0,1874.0,1879.3,1893.62,39830,5539,17353,43.57
VINATIORGA, EQ, 24-Sep-2021,1879.3,1888.85,1888.85,1840.0,1854.0,1847.9,1862.48,26128,4253,13480,51.59
VINATIORGA, EQ, 27-Sep-2021,1847.9,1851.1,1900.05,1851.1,1899.0,1888.0,1874.63,54281,7086,25130,46.3
VINATIORGA, EQ, 28-Sep-2021,1888.0,1897.45,1944.0,1872.5,1938.85,1926.25,1910.34,127219,10372,66401,52.19
VINATIORGA, EQ, 29-Sep-2021,1926.25,1925.0,1927.8,1895.0,1925.0,1918.95,1904.11,222817,11997,199136,89.37
VINATIORGA, EQ, 30-Sep-2021,1918.95,1925.0,1944.9,1905.0,1925.0,1938.05,1922.88,85695,10624,56226,65.61
VINATIORGA, EQ, 01-Oct-2021,1938.05,1929.9,1929.9,1909.0,1921.1,1921.65,1920.31,51099,7326,30173,59.05
VINATIORGA, EQ, 04-Oct-2021,1921.65,1927.8,1980.0,1909.0,1975.0,1970.65,1943.76,119805,12812,62640,52.28
VINATIORGA, EQ, 05-Oct-2021,1970.65,1975.0,2048.0,1935.65,2046.0,2023.7,2004.87,391143,26016,161852,41.38
VINATIORGA, EQ, 06-Oct-2021,2023.7,2065.0,2125.0,2031.0,2060.0,2073.95,2081.97,490198,44221,155142,31.65
VINATIORGA, EQ, 07-Oct-2021,2073.95,2095.0,2167.35,2055.0,2155.0,2153.0,2119.63,267625,23991,106665,39.86
VINATIORGA, EQ, 08-Oct-2021,2153.0,2165.0,2184.0,2094.2,2107.0,2114.7,2142.58,183663,19395,79569,43.32
VINATIORGA, EQ, 11-Oct-2021,2114.7,2118.5,2131.8,2073.3,2078.7,2082.95,2097.5,95171,12219,35863,37.68
VINATIORGA, EQ, 12-Oct-2021,2082.95,2082.95,2093.0,2021.0,2028.0,2031.0,2054.31,85168,10269,50486,59.28
VINATIORGA, EQ, 13-Oct-2021,2031.0,2036.0,2047.8,2010.7,2017.9,2017.0,2023.57,29316,4779,15206,51.87
VINATIORGA, EQ, 14-Oct-2021,2017.0,2026.0,2097.0,2017.4,2074.0,2077.75,2068.05,71897,9541,28568,39.73
VINATIORGA, EQ, 18-Oct-2021,2077.75,2090.0,2105.95,2049.1,2080.25,2074.5,2069.4,77175,7487,46414,60.14
VINATIORGA, EQ, 19-Oct-2021,2074.5,2075.05,2080.1,2000.0,2001.15,2005.3,2032.22,39624,7652,18890,47.67
VINATIORGA, EQ, 20-Oct-2021,2005.3,2005.3,2089.6,1960.0,2061.15,2068.9,2030.15,97823,12340,49173,50.27
VINATIORGA, EQ, 21-Oct-2021,2068.9,2068.9,2076.4,1986.0,2030.0,2021.25,2011.7,76636,9831,40520,52.87
VINATIORGA, EQ, 22-Oct-2021,2021.25,2022.0,2063.7,2017.7,2023.8,2035.8,2039.08,49540,7857,25716,51.91
VINATIORGA, EQ, 25-Oct-2021,2035.8,2030.0,2030.0,1925.0,1940.2,1943.7,1951.69,114262,8056,74503,65.2
VINATIORGA, EQ, 26-Oct-2021,1943.7,1943.7,1979.7,1941.65,1968.0,1971.6,1964.21,41150,6294,11249,27.34
VINATIORGA, EQ, 27-Oct-2021,1971.6,1979.1,1979.15,1936.05,1955.0,1968.25,1963.07,20420,3194,10740,52.6
VINATIORGA, EQ, 28-Oct-2021,1968.25,1969.2,1969.2,1936.5,1959.35,1949.45,1956.48,71965,5453,55447,77.05
VINATIORGA, EQ, 29-Oct-2021,1949.45,1931.35,1959.9,1891.0,1900.0,1911.9,1933.14,36388,7045,20712,56.92
VINATIORGA, EQ, 01-Nov-2021,1911.9,1900.0,2007.9,1892.65,1979.8,1983.4,1941.28,59219,7617,34624,58.47
VINATIORGA, EQ, 02-Nov-2021,1983.4,1993.35,2042.2,1974.6,2005.5,2005.45,2007.65,52026,10532,27379,52.63
VINATIORGA, EQ, 03-Nov-2021,2005.45,1990.8,2024.15,1944.05,1988.05,1991.8,1978.84,29362,5709,12353,42.07
VINATIORGA, EQ, 08-Nov-2021,2027.0,1999.0,2044.35,1999.0,2010.6,2017.45,2031.5,30478,5421,13921,45.68
VINATIORGA, EQ, 09-Nov-2021,2017.45,2025.0,2032.2,2001.5,2015.0,2014.3,2018.07,31046,2790,23017,74.14
VINATIORGA, EQ, 10-Nov-2021,2014.3,2001.0,2022.3,2000.0,2006.0,2006.1,2007.64,15881,2191,8478,53.38
VINATIORGA, EQ, 11-Nov-2021,2006.1,1960.0,2003.4,1920.0,1970.0,1978.8,1957.44,79892,9793,32312,40.44
VINATIORGA, EQ, 12-Nov-2021,1978.8,1990.8,2056.0,1983.35,2005.5,2018.7,2014.54,37621,5284,16448,43.72
VINATIORGA, EQ, 15-Nov-2021,2018.7,2032.55,2052.95,1995.05,1997.95,1999.0,2025.59,48321,7452,25517,52.81
VINATIORGA, EQ, 16-Nov-2021,1999.0,2013.9,2013.9,1960.2,1966.0,1970.7,1984.06,22836,3629,11843,51.86
VINATIORGA, EQ, 17-Nov-2021,1970.7,1960.0,1998.0,1960.0,1985.5,1981.9,1980.09,27968,3426,17647,63.1
