SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VIPIND, EQ, 17-Sep-2021,492.95,494.9,517.45,490.6,498.7,498.75,504.46,1633678,48494,346917,21.24
VIPIND, EQ, 20-Sep-2021,498.75,496.4,502.7,485.3,490.0,490.6,493.59,548508,16679,173707,31.67
VIPIND, EQ, 21-Sep-2021,490.6,490.6,496.75,483.75,485.2,487.1,490.16,387450,16159,126196,32.57
VIPIND, EQ, 22-Sep-2021,487.1,490.4,498.5,487.0,489.1,488.9,492.2,374265,12289,87149,23.29
VIPIND, EQ, 23-Sep-2021,488.9,493.4,505.0,491.05,495.6,495.95,498.01,456697,15731,171320,37.51
VIPIND, EQ, 24-Sep-2021,495.95,495.0,509.8,493.0,501.0,505.9,502.39,963601,26856,253302,26.29
VIPIND, EQ, 27-Sep-2021,505.9,505.95,516.7,492.2,498.5,500.5,507.55,803745,24745,190704,23.73
VIPIND, EQ, 28-Sep-2021,500.5,503.65,504.8,491.7,494.0,494.3,496.93,475091,16500,153865,32.39
VIPIND, EQ, 29-Sep-2021,494.3,493.5,507.6,485.0,505.0,500.5,494.2,524040,16379,191749,36.59
VIPIND, EQ, 30-Sep-2021,500.5,504.0,511.0,500.9,505.0,506.6,505.85,489999,13874,153793,31.39
VIPIND, EQ, 01-Oct-2021,506.6,501.5,508.75,500.0,503.0,504.65,504.07,342823,15651,99621,29.06
VIPIND, EQ, 04-Oct-2021,504.65,508.9,509.9,496.5,497.5,497.8,502.95,257266,11084,101152,39.32
VIPIND, EQ, 05-Oct-2021,497.8,500.3,504.05,492.0,493.2,494.15,498.29,233056,9691,82057,35.21
VIPIND, EQ, 06-Oct-2021,494.15,496.9,507.0,493.0,498.0,499.25,500.54,421925,12909,163161,38.67
VIPIND, EQ, 07-Oct-2021,499.25,499.4,552.85,497.7,546.0,545.55,529.76,2743684,72370,727073,26.5
VIPIND, EQ, 08-Oct-2021,545.55,548.0,551.0,531.2,539.05,539.7,540.15,1024422,34819,276779,27.02
VIPIND, EQ, 11-Oct-2021,539.7,541.8,573.1,536.45,540.85,544.4,554.15,1195435,42497,337395,28.22
VIPIND, EQ, 12-Oct-2021,544.4,548.9,573.0,535.3,567.5,565.75,554.51,1131780,34451,297635,26.3
VIPIND, EQ, 13-Oct-2021,565.75,573.0,592.55,566.0,582.05,583.6,578.64,1415702,47324,545040,38.5
VIPIND, EQ, 14-Oct-2021,583.6,583.8,588.4,570.1,575.0,575.6,579.93,488821,21183,204012,41.74
VIPIND, EQ, 18-Oct-2021,575.6,576.0,580.85,564.0,566.1,572.5,572.86,336685,18001,139357,41.39
VIPIND, EQ, 19-Oct-2021,572.5,575.0,580.0,550.0,562.0,564.95,572.72,533548,32677,315641,59.16
VIPIND, EQ, 20-Oct-2021,564.95,566.4,585.0,545.05,558.15,551.15,561.32,748354,33088,355236,47.47
VIPIND, EQ, 21-Oct-2021,551.15,554.55,557.75,521.1,529.9,531.1,534.77,358073,18759,117189,32.73
