SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VMART, EQ, 17-Sep-2021,3494.35,3520.0,3551.95,3401.35,3429.0,3423.45,3482.12,27943,9916,13879,49.67
VMART, EQ, 20-Sep-2021,3423.45,3421.95,3475.5,3389.2,3400.0,3404.7,3437.85,14005,5202,5882,42.0
VMART, EQ, 21-Sep-2021,3404.7,3419.0,3449.0,3307.15,3413.15,3426.45,3362.85,18020,5408,7702,42.74
VMART, EQ, 22-Sep-2021,3426.45,3426.45,3497.0,3388.85,3473.0,3461.05,3444.01,44006,8957,26459,60.13
VMART, EQ, 23-Sep-2021,3461.05,3478.4,3775.0,3462.95,3610.0,3589.45,3625.74,72471,15299,24537,33.86
VMART, EQ, 24-Sep-2021,3589.45,3685.0,3685.0,3509.0,3540.0,3535.7,3611.04,32155,6168,18711,58.19
VMART, EQ, 27-Sep-2021,3535.7,3552.0,3599.95,3482.0,3520.2,3496.55,3539.03,10483,3095,4244,40.48
VMART, EQ, 28-Sep-2021,3496.55,3529.0,3566.1,3492.05,3502.55,3510.8,3522.97,8934,2961,3390,37.94
VMART, EQ, 29-Sep-2021,3510.8,3475.0,3579.45,3474.7,3552.0,3523.7,3539.14,12242,4336,4645,37.94
VMART, EQ, 30-Sep-2021,3523.7,3541.35,3580.0,3519.25,3546.4,3549.3,3550.77,15323,7035,7595,49.57
VMART, EQ, 01-Oct-2021,3549.3,3567.05,3719.0,3529.55,3658.0,3654.65,3666.19,59104,12312,20421,34.55
VMART, EQ, 04-Oct-2021,3654.65,3739.0,3749.95,3640.05,3707.0,3699.45,3706.39,28917,7012,11176,38.65
VMART, EQ, 05-Oct-2021,3699.45,3699.45,3860.0,3699.45,3804.0,3807.0,3795.74,55405,11909,18230,32.9
VMART, EQ, 06-Oct-2021,3807.0,3840.0,3940.0,3656.0,3717.7,3722.35,3843.83,60174,13778,18347,30.49
VMART, EQ, 07-Oct-2021,3722.35,3725.0,3963.0,3725.0,3815.0,3809.9,3836.57,24286,5682,10664,43.91
VMART, EQ, 08-Oct-2021,3809.9,3849.0,3856.9,3747.6,3805.45,3802.95,3810.1,12630,4071,6295,49.84
VMART, EQ, 11-Oct-2021,3802.95,3825.5,3924.6,3815.6,3870.0,3873.35,3889.1,28567,5627,17623,61.69
VMART, EQ, 12-Oct-2021,3873.35,3879.0,3992.4,3861.3,3930.05,3958.9,3939.16,19550,5399,9524,48.72
VMART, EQ, 13-Oct-2021,3958.9,3958.9,4290.0,3940.95,4193.0,4199.8,4163.38,128546,25566,22215,17.28
VMART, EQ, 14-Oct-2021,4199.8,4199.8,4396.0,4199.8,4326.35,4325.65,4322.1,72302,15803,30395,42.04
VMART, EQ, 18-Oct-2021,4325.65,4397.5,4564.0,4311.6,4480.0,4496.6,4452.15,50669,15064,13969,27.57
VMART, EQ, 19-Oct-2021,4496.6,4525.0,4525.0,4251.0,4430.1,4430.0,4412.99,42099,10831,18129,43.06
VMART, EQ, 20-Oct-2021,4430.0,4381.0,4429.45,4061.9,4144.0,4115.3,4224.3,84114,10907,64399,76.56
VMART, EQ, 21-Oct-2021,4115.3,4060.0,4144.7,4060.0,4125.0,4128.65,4112.04,14450,4827,5130,35.5
VMART, EQ, 22-Oct-2021,4128.65,4150.0,4198.0,3982.6,4050.0,4003.45,4100.87,9082,3532,3266,35.96
VMART, EQ, 25-Oct-2021,4003.45,4023.5,4177.9,3810.0,3821.05,3840.25,3956.31,16705,5713,5327,31.89
VMART, EQ, 26-Oct-2021,3840.25,3849.85,4080.0,3825.0,4050.0,4038.2,4004.58,16308,5672,4263,26.14
VMART, EQ, 27-Oct-2021,4038.2,4040.0,4186.85,4020.0,4040.0,4040.6,4130.97,26260,6000,8818,33.58
VMART, EQ, 28-Oct-2021,4040.6,4060.85,4177.9,4003.45,4024.4,4052.7,4114.06,22663,7298,6025,26.59
VMART, EQ, 29-Oct-2021,4052.7,4052.7,4180.0,3920.0,4042.0,4062.1,4117.66,21644,6380,5210,24.07
VMART, EQ, 01-Nov-2021,4062.1,4149.95,4149.95,3964.55,3975.0,4010.6,4084.5,26498,6698,12494,47.15
VMART, EQ, 02-Nov-2021,4010.6,4030.7,4069.45,3960.6,4005.7,4018.1,4014.73,32132,10603,16622,51.73
VMART, EQ, 03-Nov-2021,4018.1,4069.95,4125.0,3974.25,4100.0,4064.4,4071.9,44711,14297,19254,43.06
VMART, EQ, 08-Nov-2021,4038.1,4089.95,4098.55,3990.55,4010.0,4042.75,4057.91,63376,7307,53322,84.14
VMART, EQ, 09-Nov-2021,4042.75,4054.0,4148.0,4023.0,4080.0,4100.5,4086.48,38977,8093,20904,53.63
VMART, EQ, 10-Nov-2021,4100.5,4119.8,4260.0,4091.2,4248.0,4216.35,4178.23,39037,6429,22742,58.26
