SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ZEEL, EQ, 17-Sep-2021,247.15,247.6,262.0,242.2,256.3,255.45,254.12,76050862,442980,14385278,18.92
ZEEL, EQ, 20-Sep-2021,255.45,251.9,267.7,250.2,254.3,255.45,259.84,52771511,301655,8493195,16.09
ZEEL, EQ, 21-Sep-2021,255.45,257.95,261.15,248.05,259.5,255.7,254.31,23976844,139279,2902708,12.11
ZEEL, EQ, 22-Sep-2021,255.7,281.25,355.35,281.25,333.7,336.8,323.14,191544190,1226291,33663250,17.57
ZEEL, EQ, 23-Sep-2021,336.8,343.0,362.9,315.0,318.95,318.2,335.82,138183537,1124663,28692048,20.76
ZEEL, EQ, 24-Sep-2021,318.2,322.0,333.0,306.4,319.1,318.9,320.65,73023126,566446,13370812,18.31
ZEEL, EQ, 27-Sep-2021,318.9,305.0,327.95,302.0,319.9,322.25,317.74,47746149,399015,8922148,18.69
ZEEL, EQ, 28-Sep-2021,322.25,322.8,323.0,307.35,308.65,309.15,312.67,29276423,234043,8428027,28.79
ZEEL, EQ, 29-Sep-2021,309.15,306.0,312.7,304.0,309.8,309.9,309.93,26734801,149399,11361415,42.5
ZEEL, EQ, 30-Sep-2021,309.9,302.9,309.6,300.0,304.05,303.2,304.79,30872327,218024,8129760,26.33
ZEEL, EQ, 01-Oct-2021,303.2,300.0,302.8,284.0,294.3,295.85,296.19,36734296,256738,7653467,20.83
ZEEL, EQ, 04-Oct-2021,295.85,295.5,306.45,291.9,300.15,301.25,300.0,21838276,161838,4179357,19.14
ZEEL, EQ, 05-Oct-2021,301.25,299.9,303.2,294.15,298.5,299.45,298.84,18671616,128186,5832173,31.24
ZEEL, EQ, 06-Oct-2021,299.45,300.45,306.8,292.5,292.8,294.7,298.63,20947344,125607,6419037,30.64
ZEEL, EQ, 07-Oct-2021,294.7,295.2,297.5,291.5,292.25,292.7,294.61,9513397,77303,2770007,29.12
ZEEL, EQ, 08-Oct-2021,292.7,295.0,299.1,292.25,297.0,294.65,294.81,11723263,78576,4085949,34.85
ZEEL, EQ, 11-Oct-2021,294.65,295.0,315.4,285.35,312.3,306.25,298.41,26910318,169300,8773036,32.6
ZEEL, EQ, 12-Oct-2021,306.25,308.9,313.6,297.0,303.2,306.15,304.3,35716451,230785,9389806,26.29
ZEEL, EQ, 13-Oct-2021,306.15,302.9,321.75,298.55,318.9,317.0,312.6,45042091,286928,7211633,16.01
